"Alpha","Iteration","BestLambda"
1,1,0.0216866056187211
1,2,0.0138518873140216
1,3,0.0216866056187211
1,4,0.00565123915048856
1,5,0.000940617726523887
1,6,0.0138518873140216
1,7,0.00565123915048856
1,8,0.0138518873140216
1,9,0.0138518873140216
1,10,0.00230557058486079
1,11,0.0138518873140216
1,12,0.00360961642745875
1,13,0.00147263728116332
1,14,0.0138518873140216
1,15,0.00884761707450966
1,16,0.0216866056187211
1,17,0.00360961642745875
1,18,0.00565123915048856
1,19,0.0138518873140216
1,20,0.00884761707450966
1,21,0.00884761707450966
1,22,0.0216866056187211
1,23,0.00360961642745875
1,24,0.00884761707450966
1,25,0.00565123915048856
1,26,0.0138518873140216
1,27,0.00565123915048856
1,28,0.00230557058486079
1,29,0.00565123915048856
1,30,0.00565123915048856
1,31,0.000940617726523887
1,32,0.0216866056187211
1,33,0.00360961642745875
1,34,0.00360961642745875
1,35,0.0138518873140216
1,36,0.0138518873140216
1,37,0.0138518873140216
1,38,0.00230557058486079
1,39,0.00230557058486079
1,40,0.000940617726523887
1,41,0.0216866056187211
1,42,0.00565123915048856
1,43,0.0216866056187211
1,44,0.00147263728116332
1,45,0.00360961642745875
1,46,0.000600800834508305
1,47,0.0138518873140216
1,48,0.0138518873140216
1,49,0.00230557058486079
1,50,0.0138518873140216
1,51,0.0216866056187211
1,52,0.00565123915048856
1,53,0.00360961642745875
1,54,0.00565123915048856
1,55,0.0216866056187211
1,56,0.00230557058486079
1,57,0.0138518873140216
1,58,0.00147263728116332
1,59,0.0138518873140216
1,60,0.00565123915048856
1,61,0.000245112389427443
1,62,0.00147263728116332
1,63,0.0216866056187211
1,64,0.0138518873140216
1,65,0.00230557058486079
1,66,0.00230557058486079
1,67,0.00360961642745875
1,68,0.000940617726523887
1,69,0.00230557058486079
1,70,0.00230557058486079
1,71,0.00360961642745875
1,72,0.00230557058486079
1,73,0.00565123915048856
1,74,0.00565123915048856
1,75,0.00360961642745875
1,76,0.00360961642745875
1,77,0.00565123915048856
1,78,0.0138518873140216
1,79,0.0216866056187211
1,80,0.00884761707450966
1,81,0.0216866056187211
1,82,0.00360961642745875
1,83,0.0216866056187211
1,84,0.0216866056187211
1,85,0.00884761707450966
1,86,0.0216866056187211
1,87,0.0216866056187211
1,88,0.00884761707450966
1,89,0.0216866056187211
1,90,0.00230557058486079
1,91,1e-04
1,92,0.0138518873140216
1,93,0.0138518873140216
1,94,0.00565123915048856
1,95,0.0138518873140216
1,96,0.00230557058486079
1,97,0.0216866056187211
1,98,0.000245112389427443
1,99,0.00565123915048856
1,100,0.0138518873140216
1,101,0.00230557058486079
1,102,0.0216866056187211
1,103,0.00884761707450966
1,104,0.00230557058486079
1,105,0.0216866056187211
1,106,0.0216866056187211
1,107,0.00230557058486079
1,108,0.00360961642745875
1,109,0.00884761707450966
1,110,0.0216866056187211
1,111,0.0138518873140216
1,112,0.000600800834508305
1,113,0.00360961642745875
1,114,0.000600800834508305
1,115,0.0216866056187211
