"Alpha","Iteration","Interaction","TrueBeta","Detected"
1,1,"ASC2_male",0,0
1,1,"ASC3_age",0.7,0
1,1,"cost_income",0.8,0
1,1,"prot25_child",1.2,0
1,1,"prot50_child",0,1
1,1,"invasive_child",0,0
1,2,"ASC2_male",0,0
1,2,"ASC3_age",1.2,0
1,2,"cost_income",0,0
1,2,"prot25_child",0.6,1
1,2,"prot50_child",1.1,0
1,2,"invasive_child",0,0
1,3,"ASC2_male",0,0
1,3,"ASC3_age",-0.9,1
1,3,"cost_income",0,0
1,3,"prot25_child",-0.4,0
1,3,"prot50_child",0.6,1
1,3,"invasive_child",0,1
1,4,"ASC2_male",0,0
1,4,"ASC3_age",0.4,0
1,4,"cost_income",-0.5,1
1,4,"prot25_child",1,0
1,4,"prot50_child",0,1
1,4,"invasive_child",0,0
1,5,"ASC2_male",1.1,0
1,5,"ASC3_age",0,0
1,5,"cost_income",0,0
1,5,"prot25_child",0,0
1,5,"prot50_child",-0.6,0
1,5,"invasive_child",-0.6,0
1,6,"ASC2_male",0.8,0
1,6,"ASC3_age",0,0
1,6,"cost_income",-0.8,0
1,6,"prot25_child",0,0
1,6,"prot50_child",0,1
1,6,"invasive_child",-0.9,0
1,7,"ASC2_male",0,0
1,7,"ASC3_age",0.5,1
1,7,"cost_income",-0.7,0
1,7,"prot25_child",0,0
1,7,"prot50_child",0,0
1,7,"invasive_child",0.5,0
1,8,"ASC2_male",-0.6,0
1,8,"ASC3_age",0,0
1,8,"cost_income",1.1,0
1,8,"prot25_child",-1,0
1,8,"prot50_child",0,1
1,8,"invasive_child",0,1
1,9,"ASC2_male",0.9,0
1,9,"ASC3_age",0.7,1
1,9,"cost_income",-1.1,0
1,9,"prot25_child",0,0
1,9,"prot50_child",0,0
1,9,"invasive_child",0,0
1,10,"ASC2_male",-0.8,1
1,10,"ASC3_age",0.5,0
1,10,"cost_income",0,0
1,10,"prot25_child",0.6,0
1,10,"prot50_child",0,0
1,10,"invasive_child",0,1
1,11,"ASC2_male",0,0
1,11,"ASC3_age",0.8,1
1,11,"cost_income",0.6,1
1,11,"prot25_child",0,0
1,11,"prot50_child",0,0
1,11,"invasive_child",-0.9,1
1,12,"ASC2_male",0,0
1,12,"ASC3_age",-1,1
1,12,"cost_income",0,0
1,12,"prot25_child",0,0
1,12,"prot50_child",0.8,0
1,12,"invasive_child",1.1,0
1,13,"ASC2_male",-1,0
1,13,"ASC3_age",0,1
1,13,"cost_income",0,0
1,13,"prot25_child",1.1,1
1,13,"prot50_child",-0.6,1
1,13,"invasive_child",0,1
1,14,"ASC2_male",-0.6,0
1,14,"ASC3_age",-1.1,0
1,14,"cost_income",0,0
1,14,"prot25_child",0,0
1,14,"prot50_child",0,1
1,14,"invasive_child",0.6,0
1,15,"ASC2_male",-0.5,0
1,15,"ASC3_age",0,1
1,15,"cost_income",0.7,1
1,15,"prot25_child",0,0
1,15,"prot50_child",0.6,0
1,15,"invasive_child",0,1
1,16,"ASC2_male",0,0
1,16,"ASC3_age",1.1,0
1,16,"cost_income",0,0
1,16,"prot25_child",-0.8,1
1,16,"prot50_child",0.7,1
1,16,"invasive_child",0,0
1,17,"ASC2_male",-1.1,0
1,17,"ASC3_age",0,0
1,17,"cost_income",0,0
1,17,"prot25_child",-1.1,0
1,17,"prot50_child",0,0
1,17,"invasive_child",-0.8,1
1,18,"ASC2_male",1,0
1,18,"ASC3_age",-0.8,0
1,18,"cost_income",0,1
1,18,"prot25_child",0,0
1,18,"prot50_child",-0.9,0
1,18,"invasive_child",0,0
1,19,"ASC2_male",0,0
1,19,"ASC3_age",0,0
1,19,"cost_income",0.6,0
1,19,"prot25_child",-0.5,0
1,19,"prot50_child",0,0
1,19,"invasive_child",1.1,0
1,20,"ASC2_male",0.4,0
1,20,"ASC3_age",0,0
1,20,"cost_income",0,0
1,20,"prot25_child",0.8,0
1,20,"prot50_child",1.2,1
1,20,"invasive_child",0,0
1,21,"ASC2_male",-0.8,0
1,21,"ASC3_age",0,0
1,21,"cost_income",0.5,1
1,21,"prot25_child",0,0
1,21,"prot50_child",-1,0
1,21,"invasive_child",0,0
1,22,"ASC2_male",0.9,0
1,22,"ASC3_age",0.8,0
1,22,"cost_income",0,0
1,22,"prot25_child",0,1
1,22,"prot50_child",0,0
1,22,"invasive_child",-0.7,1
1,23,"ASC2_male",-0.9,0
1,23,"ASC3_age",-0.4,0
1,23,"cost_income",0.5,0
1,23,"prot25_child",0,0
1,23,"prot50_child",0,0
1,23,"invasive_child",0,0
1,24,"ASC2_male",-0.9,0
1,24,"ASC3_age",0,1
1,24,"cost_income",0,1
1,24,"prot25_child",0,0
1,24,"prot50_child",-0.7,0
1,24,"invasive_child",0.9,0
1,25,"ASC2_male",0.4,0
1,25,"ASC3_age",-0.7,0
1,25,"cost_income",0,0
1,25,"prot25_child",0,0
1,25,"prot50_child",0,0
1,25,"invasive_child",1.1,0
1,26,"ASC2_male",0,0
1,26,"ASC3_age",0.8,0
1,26,"cost_income",-0.7,0
1,26,"prot25_child",0,0
1,26,"prot50_child",1.1,0
1,26,"invasive_child",0,0
1,27,"ASC2_male",0,0
1,27,"ASC3_age",0.6,0
1,27,"cost_income",0,0
1,27,"prot25_child",0.8,1
1,27,"prot50_child",-0.5,0
1,27,"invasive_child",0,0
1,28,"ASC2_male",0,0
1,28,"ASC3_age",0,0
1,28,"cost_income",-0.6,1
1,28,"prot25_child",0,0
1,28,"prot50_child",-0.6,0
1,28,"invasive_child",-0.9,1
1,29,"ASC2_male",0,1
1,29,"ASC3_age",0,0
1,29,"cost_income",0.7,1
1,29,"prot25_child",0.7,0
1,29,"prot50_child",0,0
1,29,"invasive_child",1,0
1,30,"ASC2_male",0,0
1,30,"ASC3_age",0,0
1,30,"cost_income",1,0
1,30,"prot25_child",1,0
1,30,"prot50_child",1,0
1,30,"invasive_child",0,1
1,31,"ASC2_male",0,1
1,31,"ASC3_age",-0.4,0
1,31,"cost_income",0,0
1,31,"prot25_child",0,0
1,31,"prot50_child",-1,0
1,31,"invasive_child",0.8,0
1,32,"ASC2_male",0,0
1,32,"ASC3_age",-0.6,0
1,32,"cost_income",0.6,0
1,32,"prot25_child",0,1
1,32,"prot50_child",-0.7,1
1,32,"invasive_child",0,0
1,33,"ASC2_male",0.5,0
1,33,"ASC3_age",0.5,0
1,33,"cost_income",0,0
1,33,"prot25_child",-0.9,0
1,33,"prot50_child",0,0
1,33,"invasive_child",0,0
1,34,"ASC2_male",-0.6,0
1,34,"ASC3_age",0,0
1,34,"cost_income",0,0
1,34,"prot25_child",0.7,0
1,34,"prot50_child",0,1
1,34,"invasive_child",0.8,0
1,35,"ASC2_male",-1.1,0
1,35,"ASC3_age",0,1
1,35,"cost_income",0.9,1
1,35,"prot25_child",1.1,0
1,35,"prot50_child",0,0
1,35,"invasive_child",0,0
1,36,"ASC2_male",0,0
1,36,"ASC3_age",-0.9,0
1,36,"cost_income",0,0
1,36,"prot25_child",0,0
1,36,"prot50_child",0.6,1
1,36,"invasive_child",0.6,0
1,37,"ASC2_male",0,0
1,37,"ASC3_age",0.6,0
1,37,"cost_income",0.5,0
1,37,"prot25_child",-0.8,0
1,37,"prot50_child",0,1
1,37,"invasive_child",0,0
1,38,"ASC2_male",0.7,1
1,38,"ASC3_age",0,0
1,38,"cost_income",0,0
1,38,"prot25_child",0.5,0
1,38,"prot50_child",1,0
1,38,"invasive_child",0,1
1,39,"ASC2_male",0,0
1,39,"ASC3_age",0,0
1,39,"cost_income",0.7,0
1,39,"prot25_child",0.8,0
1,39,"prot50_child",0,0
1,39,"invasive_child",1,0
1,40,"ASC2_male",0,0
1,40,"ASC3_age",0,1
1,40,"cost_income",-0.8,0
1,40,"prot25_child",-0.6,0
1,40,"prot50_child",-0.5,0
1,40,"invasive_child",0,0
1,41,"ASC2_male",0,0
1,41,"ASC3_age",1,0
1,41,"cost_income",-0.9,0
1,41,"prot25_child",0,0
1,41,"prot50_child",-0.7,0
1,41,"invasive_child",0,0
1,42,"ASC2_male",-0.6,0
1,42,"ASC3_age",0.9,1
1,42,"cost_income",0,0
1,42,"prot25_child",1.1,0
1,42,"prot50_child",0,1
1,42,"invasive_child",0,1
1,43,"ASC2_male",0,1
1,43,"ASC3_age",-1.1,1
1,43,"cost_income",0,0
1,43,"prot25_child",0.9,0
1,43,"prot50_child",-1,1
1,43,"invasive_child",0,0
1,44,"ASC2_male",0,1
1,44,"ASC3_age",0,1
1,44,"cost_income",0,1
1,44,"prot25_child",-0.8,1
1,44,"prot50_child",-0.6,0
1,44,"invasive_child",-0.5,1
1,45,"ASC2_male",0,0
1,45,"ASC3_age",0,1
1,45,"cost_income",0.5,0
1,45,"prot25_child",-0.9,1
1,45,"prot50_child",0.8,0
1,45,"invasive_child",0,0
1,46,"ASC2_male",-1.1,0
1,46,"ASC3_age",-1.1,1
1,46,"cost_income",0,1
1,46,"prot25_child",0.9,0
1,46,"prot50_child",0,1
1,46,"invasive_child",0,1
1,47,"ASC2_male",1.1,1
1,47,"ASC3_age",0.6,0
1,47,"cost_income",0,0
1,47,"prot25_child",-0.8,0
1,47,"prot50_child",0,1
1,47,"invasive_child",0,1
1,48,"ASC2_male",-1.1,1
1,48,"ASC3_age",0,0
1,48,"cost_income",0,0
1,48,"prot25_child",-1,1
1,48,"prot50_child",1.1,1
1,48,"invasive_child",0,0
1,49,"ASC2_male",0,0
1,49,"ASC3_age",0,0
1,49,"cost_income",1,1
1,49,"prot25_child",-0.5,1
1,49,"prot50_child",0,1
1,49,"invasive_child",-0.6,0
1,50,"ASC2_male",-1,0
1,50,"ASC3_age",0,1
1,50,"cost_income",-1.1,1
1,50,"prot25_child",0,0
1,50,"prot50_child",1.1,0
1,50,"invasive_child",0,0
1,51,"ASC2_male",0,0
1,51,"ASC3_age",0,1
1,51,"cost_income",0.9,1
1,51,"prot25_child",-0.9,1
1,51,"prot50_child",0,0
1,51,"invasive_child",-1.2,1
1,52,"ASC2_male",0.6,1
1,52,"ASC3_age",1,0
1,52,"cost_income",0,0
1,52,"prot25_child",-0.9,1
1,52,"prot50_child",0,0
1,52,"invasive_child",0,0
1,53,"ASC2_male",0,1
1,53,"ASC3_age",0.9,0
1,53,"cost_income",1.1,1
1,53,"prot25_child",0,0
1,53,"prot50_child",-0.5,0
1,53,"invasive_child",0,0
1,54,"ASC2_male",0,1
1,54,"ASC3_age",0.4,0
1,54,"cost_income",-0.9,0
1,54,"prot25_child",0,1
1,54,"prot50_child",0,1
1,54,"invasive_child",-1,1
1,55,"ASC2_male",-0.5,0
1,55,"ASC3_age",0,0
1,55,"cost_income",0,0
1,55,"prot25_child",0.4,0
1,55,"prot50_child",-1,1
1,55,"invasive_child",0,0
1,56,"ASC2_male",1,0
1,56,"ASC3_age",1.1,0
1,56,"cost_income",0,1
1,56,"prot25_child",0,0
1,56,"prot50_child",0,0
1,56,"invasive_child",-1,1
1,57,"ASC2_male",1,0
1,57,"ASC3_age",-0.9,0
1,57,"cost_income",0,1
1,57,"prot25_child",0.6,0
1,57,"prot50_child",0,0
1,57,"invasive_child",0,1
1,58,"ASC2_male",0.7,1
1,58,"ASC3_age",0,0
1,58,"cost_income",0,0
1,58,"prot25_child",0,1
1,58,"prot50_child",-0.7,1
1,58,"invasive_child",-0.8,0
1,59,"ASC2_male",0.9,0
1,59,"ASC3_age",0,1
1,59,"cost_income",-0.8,1
1,59,"prot25_child",1,0
1,59,"prot50_child",0,0
1,59,"invasive_child",0,1
1,60,"ASC2_male",-0.7,0
1,60,"ASC3_age",0.6,0
1,60,"cost_income",0,0
1,60,"prot25_child",0.5,0
1,60,"prot50_child",0,0
1,60,"invasive_child",0,1
1,61,"ASC2_male",0.4,1
1,61,"ASC3_age",0,0
1,61,"cost_income",0,0
1,61,"prot25_child",0,1
1,61,"prot50_child",-0.5,1
1,61,"invasive_child",0.8,1
1,62,"ASC2_male",1.1,0
1,62,"ASC3_age",0,1
1,62,"cost_income",0,1
1,62,"prot25_child",-0.8,0
1,62,"prot50_child",-1.1,0
1,62,"invasive_child",0,0
1,63,"ASC2_male",0.9,1
1,63,"ASC3_age",0.9,1
1,63,"cost_income",0,1
1,63,"prot25_child",0,0
1,63,"prot50_child",-0.6,0
1,63,"invasive_child",0,1
1,64,"ASC2_male",0,1
1,64,"ASC3_age",0,0
1,64,"cost_income",-0.9,1
1,64,"prot25_child",0.6,0
1,64,"prot50_child",0,1
