"Iteration","Interaction","TrueBeta","Detected"
1,"ASC2_male",-0.6,0
1,"ASC3_age",0,0
1,"cost_income",0,0
1,"prot25_child",0,0
1,"prot50_child",-0.4,0
1,"invasive_child",-0.5,0
2,"ASC2_male",0,0
2,"ASC3_age",0.2,0
2,"cost_income",-0.3,0
2,"prot25_child",0.5,0
2,"prot50_child",0,0
2,"invasive_child",0,1
3,"ASC2_male",0,0
3,"ASC3_age",0.4,0
3,"cost_income",0.4,0
3,"prot25_child",-0.5,0
3,"prot50_child",0,0
3,"invasive_child",0,0
4,"ASC2_male",0.4,0
4,"ASC3_age",0,0
4,"cost_income",0,0
4,"prot25_child",-0.6,0
4,"prot50_child",-0.3,0
4,"invasive_child",0,0
5,"ASC2_male",0,0
5,"ASC3_age",0,0
5,"cost_income",0.6,0
5,"prot25_child",0.6,0
5,"prot50_child",0,0
5,"invasive_child",0.3,0
6,"ASC2_male",-0.5,0
6,"ASC3_age",0.5,0
6,"cost_income",0.2,0
6,"prot25_child",0,0
6,"prot50_child",0,0
6,"invasive_child",0,0
7,"ASC2_male",0,0
7,"ASC3_age",0,0
7,"cost_income",-0.5,0
7,"prot25_child",0,0
7,"prot50_child",0.2,0
7,"invasive_child",-0.5,0
8,"ASC2_male",0,0
8,"ASC3_age",0,0
8,"cost_income",0.3,0
8,"prot25_child",0.6,0
8,"prot50_child",0,0
8,"invasive_child",0.4,0
9,"ASC2_male",0,0
9,"ASC3_age",0,0
9,"cost_income",-0.4,0
9,"prot25_child",-0.3,0
9,"prot50_child",0.4,0
9,"invasive_child",0,0
10,"ASC2_male",0.3,0
10,"ASC3_age",-0.3,0
10,"cost_income",0,0
10,"prot25_child",0,0
10,"prot50_child",0,0
10,"invasive_child",-0.4,0
11,"ASC2_male",-0.5,0
11,"ASC3_age",0,0
11,"cost_income",0,0
11,"prot25_child",0.3,0
11,"prot50_child",-0.5,0
11,"invasive_child",0,0
12,"ASC2_male",-0.4,0
12,"ASC3_age",0,0
12,"cost_income",-0.4,0
12,"prot25_child",0,0
12,"prot50_child",0.6,0
12,"invasive_child",0,0
13,"ASC2_male",0,0
13,"ASC3_age",-0.5,0
13,"cost_income",0,0
13,"prot25_child",0.4,0
13,"prot50_child",-0.3,0
13,"invasive_child",0,0
14,"ASC2_male",-0.3,0
14,"ASC3_age",0.3,0
14,"cost_income",0,0
14,"prot25_child",0.3,0
14,"prot50_child",0,0
14,"invasive_child",0,0
15,"ASC2_male",0,0
15,"ASC3_age",0.3,0
15,"cost_income",0,0
15,"prot25_child",0,0
15,"prot50_child",0.3,0
15,"invasive_child",0.2,0
16,"ASC2_male",-0.2,0
16,"ASC3_age",0,0
16,"cost_income",0,0
16,"prot25_child",0.4,0
16,"prot50_child",-0.5,0
16,"invasive_child",0,0
17,"ASC2_male",-0.5,0
17,"ASC3_age",0,0
17,"cost_income",-0.2,0
17,"prot25_child",-0.4,0
17,"prot50_child",0,0
17,"invasive_child",0,0
18,"ASC2_male",-0.3,0
18,"ASC3_age",0,0
18,"cost_income",-0.5,0
18,"prot25_child",0,0
18,"prot50_child",0,0
18,"invasive_child",0.3,0
19,"ASC2_male",0.2,0
19,"ASC3_age",0,0
19,"cost_income",-0.4,0
19,"prot25_child",0,0
19,"prot50_child",0.2,0
19,"invasive_child",0,0
20,"ASC2_male",0,0
20,"ASC3_age",-0.5,0
20,"cost_income",0,0
20,"prot25_child",0,0
20,"prot50_child",-0.4,0
20,"invasive_child",-0.3,0
21,"ASC2_male",-0.4,0
21,"ASC3_age",0,0
21,"cost_income",0,0
21,"prot25_child",0.5,0
21,"prot50_child",0,0
21,"invasive_child",0.3,0
22,"ASC2_male",0,0
22,"ASC3_age",-0.4,0
22,"cost_income",0,0
22,"prot25_child",0.3,0
22,"prot50_child",0.6,0
22,"invasive_child",0,0
23,"ASC2_male",0.4,0
23,"ASC3_age",-0.3,0
23,"cost_income",0,0
23,"prot25_child",0,0
23,"prot50_child",0,0
23,"invasive_child",0.5,0
24,"ASC2_male",-0.6,0
24,"ASC3_age",-0.4,0
24,"cost_income",0,0
24,"prot25_child",0,0
24,"prot50_child",0,0
24,"invasive_child",0.2,0
25,"ASC2_male",-0.2,0
25,"ASC3_age",0.2,0
25,"cost_income",0.4,0
25,"prot25_child",0,0
25,"prot50_child",0,0
25,"invasive_child",0,0
26,"ASC2_male",0.4,0
26,"ASC3_age",0,0
26,"cost_income",0,0
26,"prot25_child",0,0
26,"prot50_child",0.4,0
26,"invasive_child",-0.5,0
27,"ASC2_male",0,0
27,"ASC3_age",0,0
27,"cost_income",-0.3,0
27,"prot25_child",0,0
27,"prot50_child",0.2,0
27,"invasive_child",0.6,0
28,"ASC2_male",-0.2,0
28,"ASC3_age",-0.5,0
28,"cost_income",-0.5,0
28,"prot25_child",0,0
28,"prot50_child",0,0
28,"invasive_child",0,0
29,"ASC2_male",-0.5,0
29,"ASC3_age",0,0
29,"cost_income",0.5,0
29,"prot25_child",0.3,0
29,"prot50_child",0,0
29,"invasive_child",0,0
