"Feature","FP_rate","TN_rate"
"ASC2_male",0.996,0.004
"ASC2_age",0,1
"ASC2_income",0.648,0.352
"ASC2_child",0.62,0.38
"ASC3_male",0.432,0.568
"ASC3_age",1,0
"ASC3_income",0.244,0.756
"ASC3_child",0.42,0.58
"cost_male",0,1
"cost_age",0,1
"cost_income",1,0
"cost_child",0,1
"prot25_male",0.58,0.42
"prot25_age",0,1
"prot25_income",0.772,0.228
"prot25_child",1,0
"prot50_male",0.596,0.404
"prot50_age",0,1
"prot50_income",0.808,0.192
"prot50_child",0.996,0.004
"invasive_male",0.572,0.428
"invasive_age",0,1
"invasive_income",0.94,0.0600000000000001
"invasive_child",1,0
