"Iteration","BestLambda"
1,0.002
2,0.003
3,0.002
4,0.006
5,0.003
6,0.002
7,0.003
8,0.003
9,0.01
10,0.008
11,0.003
12,0.003
13,0.003
14,0.009
15,0.004
16,0.006
17,0.005
18,0.006
19,0.002
20,0.006
21,0.005
22,0.005
23,0.001
24,0.004
25,0.002
26,0.001
27,0.005
28,0.002
29,0.006
30,0.007
31,0.002
32,0.007
33,0.008
34,0.003
35,0.004
36,0.002
37,0.002
38,0.001
39,0.003
40,0.007
41,0.005
42,0.005
43,0.002
44,0.002
45,0.003
46,0.004
47,0.002
48,0.004
49,0.003
50,0.005
51,0.002
52,0.002
53,0.009
54,0.002
55,0.002
56,0.002
57,0.003
58,0.003
59,0.004
60,0.009
61,0.007
62,0.003
63,0.002
64,0.003
65,0.002
66,0.002
67,0.003
68,0.002
69,0.002
70,0.001
71,0.001
72,0.002
73,0.002
74,0.003
75,0.003
76,0.008
77,0.007
78,0.003
79,0.003
80,0.008
81,0.007
82,0.001
83,0.001
84,0.002
85,0.003
86,0.003
87,0.002
88,0.003
89,0.003
90,0.002
91,0.001
92,0.001
93,0.008
94,0.006
95,0.005
96,0.002
97,0.003
98,0.003
99,0.01
100,0.003
101,0.003
102,0.002
103,0.002
104,0.008
105,0.004
106,0.003
107,0.006
108,0.006
109,0.002
110,0.005
111,0.006
112,0.002
113,0.002
114,0.004
115,0.004
116,0.003
117,0.002
118,0.004
119,0.004
120,0.002
121,0.002
122,0.01
123,0.002
124,0.001
125,0.003
126,0.001
127,0.006
128,0.004
129,0.001
130,0.003
131,0.002
132,0.002
133,0.005
134,0.006
135,0.007
136,0.005
137,0.007
138,0.002
139,0.004
140,0.002
141,0.007
142,0.004
143,0.002
144,0.003
145,0.005
146,0.003
147,0.002
148,0.003
149,0.003
150,0.003
151,0.003
152,0.002
153,0.001
154,0.004
155,0.003
156,0.005
157,0.005
158,0.005
159,0.003
160,0.002
161,0.004
162,0.005
163,0.004
164,0.004
165,0.004
166,0.004
167,0.004
168,0.002
169,0.008
170,0.003
171,0.004
172,0.001
173,0.003
174,0.008
175,0.003
176,0.005
177,0.003
178,0.006
179,0.002
180,0.002
181,0.003
182,0.005
183,0.003
184,0.002
185,0.002
186,0.003
187,0.005
188,0.003
189,0.004
190,0.005
191,0.004
192,0.007
193,0.003
194,0.003
195,0.003
196,0.004
197,0.004
198,0.002
199,0.003
200,0.002
201,0.005
202,0.005
203,0.001
204,0.003
205,0.004
206,0.005
207,0.005
208,0.004
209,0.005
210,0.003
211,0.003
212,0.001
213,0.002
214,0.008
215,0.004
216,0.009
217,0.001
218,0.002
219,0.002
220,0.004
221,0.003
222,0.005
223,0.004
224,0.008
225,0.005
226,0.007
227,0.006
228,0.008
229,0.002
230,0.003
231,0.005
232,0.007
233,0.004
234,0.001
235,0.003
236,0.006
237,0.003
238,0.003
239,0.002
240,0.001
241,0.002
242,0.001
243,0.002
244,0.003
245,0.005
246,0.006
247,0.009
248,0.006
249,0.005
250,0.001
