line,invasive1,cost1,y1,spec101,spec251,prot251,prot501,invasive2,cost2,y2,spec102,spec252,prot252,prot502,invasive3,cost3,y3,spec103,spec253,prot253,prot503,respid,male,agegr,block,q20_1,q20_2,q20_3,q20_4,dq21_1,dq21_2,dq21_3,q21_1,q21_2,q21_3,q21_4,q21_5,q21_6,q22_1,q22_2,q22_3,q22_4,q22_5,q22_6,q22_7,q22_8,q22_9,q22_10,q23_1,q23_2,q24_1,q24_2,q24_3,q24_4,q24_5,q24_6,q24_7,q25_1,q25_2,q34,edu,job,age,country,inttime,resumed,income,england,scotland,wales,nireland,protest1,protest2,protest3,id,set
1,0,0,0,0,0,0,0,1,30,1,0,0,1,0,1,30,0,0,1,0,0,105,0,5,4,2,2,1,1,0,0,0,,,,,,,3,3,3,3,3,3,3,3,3,3,1,1,2,4,2,4,4,4,4,4,2,2,6,2,55,1,22.27,1,1500,1,0,0,0,0,0,0,1,1
2,0,0,0,0,0,0,0,0,30,0,0,0,0,1,0,10,1,0,1,1,0,105,0,5,4,2,2,1,1,0,0,0,,,,,,,3,3,3,3,3,3,3,3,3,3,1,1,2,4,2,4,4,4,4,4,2,2,6,2,55,1,22.27,1,1500,1,0,0,0,0,0,0,1,2
3,0,0,1,0,0,0,0,0,30,0,0,1,0,0,0,60,0,0,0,0,1,105,0,5,4,2,2,1,1,0,0,0,,,,,,,3,3,3,3,3,3,3,3,3,3,1,1,2,4,2,4,4,4,4,4,2,2,6,2,55,1,22.27,1,1500,1,0,0,0,0,0,0,1,3
4,0,0,0,0,0,0,0,0,5,1,1,0,1,0,1,20,0,1,0,0,1,105,0,5,4,2,2,1,1,0,0,0,,,,,,,3,3,3,3,3,3,3,3,3,3,1,1,2,4,2,4,4,4,4,4,2,2,6,2,55,1,22.27,1,1500,1,0,0,0,0,0,0,1,4
5,0,0,0,0,0,0,0,1,10,1,0,1,0,1,0,20,0,1,0,0,0,105,0,5,4,2,2,1,1,0,0,0,,,,,,,3,3,3,3,3,3,3,3,3,3,1,1,2,4,2,4,4,4,4,4,2,2,6,2,55,1,22.27,1,1500,1,0,0,0,0,0,0,1,5
6,0,0,0,0,0,0,0,1,60,0,0,1,0,0,0,10,1,1,0,1,0,105,0,5,4,2,2,1,1,0,0,0,,,,,,,3,3,3,3,3,3,3,3,3,3,1,1,2,4,2,4,4,4,4,4,2,2,6,2,55,1,22.27,1,1500,1,0,0,0,0,0,0,1,6
7,0,0,0,0,0,0,0,1,30,1,0,0,1,0,1,30,0,0,1,0,0,109,1,5,4,1,1,1,1,0,0,0,,,,,,,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,5,5,4,5,3,61,1,65.480003,1,4000,1,0,0,0,0,0,0,2,1
8,0,0,1,0,0,0,0,0,30,0,0,0,0,1,0,10,0,0,1,1,0,109,1,5,4,1,1,1,1,0,0,0,,,,,,,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,5,5,4,5,3,61,1,65.480003,1,4000,1,0,0,0,0,0,0,2,2
9,0,0,0,0,0,0,0,0,30,0,0,1,0,0,0,60,1,0,0,0,1,109,1,5,4,1,1,1,1,0,0,0,,,,,,,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,5,5,4,5,3,61,1,65.480003,1,4000,1,0,0,0,0,0,0,2,3
10,0,0,0,0,0,0,0,0,5,1,1,0,1,0,1,20,0,1,0,0,1,109,1,5,4,1,1,1,1,0,0,0,,,,,,,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,5,5,4,5,3,61,1,65.480003,1,4000,1,0,0,0,0,0,0,2,4
