id,idII,choice_set1,treat_see1,sand_nu1,deich_nu1,bepf_nu1,ufer_nu1,ruck_nu1,steil_nu1,cost_nu1,choice1,ASC11,ASCsq1,choice_set2,treat_see2,sand_nu2,deich_nu2,bepf_nu2,ufer_nu2,ruck_nu2,steil_nu2,cost_nu2,choice2,ASC12,ASCsq2,choice_set3,treat_see3,sand_nu3,deich_nu3,bepf_nu3,ufer_nu3,ruck_nu3,steil_nu3,cost_nu3,choice3,ASC13,ASCsq3,age,genderf,northsea_SH,northsea_LS,balticsea_SH,balticsea_MV,choice
27994,25110,10,1,40,150,30,0,3,30,190,0,1,0,10,1,20,150,30,0,6,45,110,1,0,0,10,1,40,50,5,0,1,15,0,0,0,1,21,1,1,0,1,1,2
27994,25769,13,1,60,50,60,0,3,45,110,0,1,0,13,1,20,100,5,0,9,15,8,1,0,0,13,1,40,50,5,0,1,15,0,0,0,1,21,1,1,0,1,1,2
27994,26979,19,1,20,100,5,0,9,45,110,0,1,0,19,1,40,150,30,0,3,30,190,0,0,0,19,1,40,50,5,0,1,15,0,1,0,1,21,1,1,0,1,1,3
27994,27309,20,1,20,50,5,0,1,45,35,1,1,0,20,1,60,100,60,0,9,15,20,0,0,0,20,1,40,50,5,0,1,15,0,0,0,1,21,1,1,0,1,1,1
27994,28006,23,1,20,100,60,0,3,30,70,0,1,0,23,1,60,50,5,0,9,15,8,1,0,0,23,1,40,50,5,0,1,15,0,0,0,1,21,1,1,0,1,1,2
27994,28142,24,1,20,100,5,0,6,15,8,1,1,0,24,1,60,50,60,0,6,45,110,0,0,0,24,1,40,50,5,0,1,15,0,0,0,1,21,1,1,0,1,1,1
27994,28527,25,1,60,100,5,0,1,30,20,1,1,0,25,1,20,50,60,0,6,45,70,0,0,0,25,1,40,50,5,0,1,15,0,0,0,1,21,1,1,0,1,1,1
27994,29111,28,1,40,150,30,0,3,30,190,0,1,0,28,1,20,50,60,0,6,45,110,0,0,0,28,1,40,50,5,0,1,15,0,1,0,1,21,1,1,0,1,1,3
27994,30101,33,1,40,150,5,0,6,15,35,1,1,0,33,1,40,150,30,0,3,30,190,0,0,0,33,1,40,50,5,0,1,15,0,0,0,1,21,1,1,0,1,1,1
27994,30745,36,1,40,150,60,0,6,15,20,1,1,0,36,1,40,150,30,0,3,30,70,0,0,0,36,1,40,50,5,0,1,15,0,0,0,1,21,1,1,0,1,1,1
27994,31021,37,1,40,150,30,0,3,15,190,0,1,0,37,1,40,150,5,0,3,45,70,1,0,0,37,1,40,50,5,0,1,15,0,0,0,1,21,1,1,0,1,1,2
27994,32945,46,1,40,150,30,0,3,30,190,0,1,0,46,1,40,150,5,0,6,45,110,0,0,0,46,1,40,50,5,0,1,15,0,1,0,1,21,1,1,0,1,1,3
27995,33441,1,2,20,50,5,0,9,45,8,0,1,0,1,2,60,100,60,0,1,30,8,0,0,0,1,2,40,50,5,0,1,15,0,1,0,1,69,1,0,0,0,0,3
27995,34214,5,2,60,100,60,0,6,30,70,0,1,0,5,2,20,50,5,0,1,45,70,0,0,0,5,2,40,50,5,0,1,15,0,1,0,1,69,1,0,0,0,0,3
27995,34536,6,2,60,100,5,0,1,45,20,0,1,0,6,2,20,50,30,0,9,45,20,0,0,0,6,2,40,50,5,0,1,15,0,1,0,1,69,1,0,0,0,0,3
27995,35194,10,2,60,100,5,0,9,0,20,0,1,0,10,2,40,150,30,0,6,30,190,0,0,0,10,2,40,50,5,0,1,15,0,1,0,1,69,1,0,0,0,0,3
27995,36143,15,2,20,100,30,0,1,45,20,0,1,0,15,2,60,50,5,0,9,45,20,0,0,0,15,2,40,50,5,0,1,15,0,1,0,1,69,1,0,0,0,0,3
27995,37882,23,2,60,50,60,0,9,30,70,0,1,0,23,2,20,150,5,0,3,45,110,0,0,0,23,2,40,50,5,0,1,15,0,1,0,1,69,1,0,0,0,0,3
27995,38386,26,2,60,100,30,0,1,0,8,0,1,0,26,2,20,50,60,0,9,0,8,0,0,0,26,2,40,50,5,0,1,15,0,1,0,1,69,1,0,0,0,0,3
27995,38602,27,2,20,50,30,0,9,30,35,0,1,0,27,2,60,100,30,0,1,30,35,0,0,0,27,2,40,50,5,0,1,15,0,1,0,1,69,1,0,0,0,0,3
27995,38803,28,2,60,50,5,0,9,45,35,0,1,0,28,2,20,100,60,0,1,45,35,0,0,0,28,2,40,50,5,0,1,15,0,1,0,1,69,1,0,0,0,0,3
27995,39229,30,2,20,100,5,0,9,0,20,0,1,0,30,2,40,150,30,0,6,30,190,0,0,0,30,2,40,50,5,0,1,15,0,1,0,1,69,1,0,0,0,0,3
27995,40748,37,2,20,50,60,0,1,45,70,0,1,0,37,2,60,100,5,0,9,30,35,0,0,0,37,2,40,50,5,0,1,15,0,1,0,1,69,1,0,0,0,0,3
27995,40804,38,2,40,150,30,0,6,30,190,0,1,0,38,2,60,50,60,0,6,0,20,0,0,0,38,2,40,50,5,0,1,15,0,1,0,1,69,1,0,0,0,0,3
27997,12019,3,4,20,50,60,0,6,0,8,1,1,0,3,4,40,150,30,70,6,0,190,0,0,0,3,4,40,50,5,0,1,0,0,0,0,1,41,0,1,0,0,1,1
27997,12279,4,4,40,150,30,70,3,0,190,0,1,0,4,4,60,100,60,0,1,0,35,1,0,0,4,4,40,50,5,0,1,0,0,0,0,1,41,0,1,0,0,1,2
27997,13070,7,4,20,100,5,45,1,0,8,1,1,0,7,4,60,50,60,0,9,0,20,0,0,0,7,4,40,50,5,0,1,0,0,0,0,1,41,0,1,0,0,1,1
27997,14000,11,4,60,50,60,70,1,0,8,1,1,0,11,4,20,100,5,70,9,0,8,0,0,0,11,4,40,50,5,0,1,0,0,0,0,1,41,0,1,0,0,1,1
27997,14547,13,4,40,150,30,70,3,0,190,0,1,0,13,4,40,150,5,70,3,0,110,0,0,0,13,4,40,50,5,0,1,0,0,1,0,1,41,0,1,0,0,1,3
27997,16001,19,4,20,100,60,70,3,0,35,0,1,0,19,4,60,50,5,70,6,0,35,1,0,0,19,4,40,50,5,0,1,0,0,0,0,1,41,0,1,0,0,1,2
27997,16296,20,4,40,150,5,140,6,0,190,0,1,0,20,4,40,50,60,140,3,0,190,0,0,0,20,4,40,50,5,0,1,0,0,1,0,1,41,0,1,0,0,1,3
27997,16641,21,4,60,100,5,0,9,0,35,1,1,0,21,4,20,100,60,0,1,0,35,0,0,0,21,4,40,50,5,0,1,0,0,0,0,1,41,0,1,0,0,1,1
27997,20998,39,4,40,150,5,140,1,0,110,0,1,0,39,4,40,150,30,140,3,0,190,0,0,0,39,4,40,50,5,0,1,0,0,1,0,1,41,0,1,0,0,1,3
27997,21184,40,4,40,50,60,0,9,0,20,1,1,0,40,4,40,150,30,140,6,0,190,0,0,0,40,4,40,50,5,0,1,0,0,0,0,1,41,0,1,0,0,1,1
27997,22924,47,4,20,50,60,70,9,0,35,0,1,0,47,4,60,100,5,140,1,0,70,0,0,0,47,4,40,50,5,0,1,0,0,1,0,1,41,0,1,0,0,1,3
27997,23299,48,4,20,150,5,140,6,0,70,0,1,0,48,4,60,50,60,140,1,0,70,0,0,0,48,4,40,50,5,0,1,0,0,1,0,1,41,0,1,0,0,1,3
27999,23551,1,1,20,150,60,0,6,30,70,1,1,0,1,1,40,150,30,0,3,15,190,0,0,0,1,1,40,50,5,0,1,15,0,0,0,1,30,1,1,0,1,0,1
27999,24374,6,1,40,150,30,0,3,30,190,0,1,0,6,1,40,150,30,0,1,30,35,1,0,0,6,1,40,50,5,0,1,15,0,0,0,1,30,1,1,0,1,0,2
27999,24905,9,1,40,150,60,0,6,30,110,0,1,0,9,1,40,150,30,0,6,15,70,1,0,0,9,1,40,50,5,0,1,15,0,0,0,1,30,1,1,0,1,0,2
27999,25464,11,1,60,100,60,0,1,45,110,0,1,0,11,1,20,50,5,0,9,45,70,1,0,0,11,1,40,50,5,0,1,15,0,0,0,1,30,1,1,0,1,0,2
27999,26294,15,1,60,50,5,0,6,45,70,1,1,0,15,1,20,100,60,0,3,15,8,0,0,0,15,1,40,50,5,0,1,15,0,0,0,1,30,1,1,0,1,0,1
27999,26725,17,1,60,100,30,0,1,45,110,0,1,0,17,1,20,50,60,0,9,15,20,1,0,0,17,1,40,50,5,0,1,15,0,0,0,1,30,1,1,0,1,0,2
27999,28955,27,1,20,50,60,0,9,15,8,0,1,0,27,1,60,150,5,0,1,30,20,1,0,0,27,1,40,50,5,0,1,15,0,0,0,1,30,1,1,0,1,0,2
27999,29983,32,1,40,100,60,0,1,45,110,0,1,0,32,1,60,50,5,0,9,15,8,1,0,0,32,1,40,50,5,0,1,15,0,0,0,1,30,1,1,0,1,0,2
27999,30437,34,1,60,50,30,0,1,45,70,0,1,0,34,1,20,100,5,0,9,30,35,1,0,0,34,1,40,50,5,0,1,15,0,0,0,1,30,1,1,0,1,0,2
27999,31309,38,1,60,100,30,0,9,15,20,1,1,0,38,1,20,50,30,0,1,45,70,0,0,0,38,1,40,50,5,0,1,15,0,0,0,1,30,1,1,0,1,0,1
27999,31652,39,1,40,150,30,0,3,30,190,0,1,0,39,1,60,100,30,0,6,15,20,1,0,0,39,1,40,50,5,0,1,15,0,0,0,1,30,1,1,0,1,0,2
27999,31691,40,1,20,100,5,0,3,45,8,0,1,0,40,1,60,50,60,0,6,45,35,1,0,0,40,1,40,50,5,0,1,15,0,0,0,1,30,1,1,0,1,0,2
28000,176,1,3,20,150,60,70,6,0,70,0,1,0,1,3,40,150,30,0,3,0,190,0,0,0,1,3,40,50,5,0,1,0,0,1,0,1,33,1,0,0,0,0,3
28000,1357,6,3,40,150,30,70,3,0,190,0,1,0,6,3,40,150,30,70,1,0,35,0,0,0,6,3,40,50,5,0,1,0,0,1,0,1,33,1,0,0,0,0,3
28000,2094,9,3,40,150,60,70,6,0,110,0,1,0,9,3,40,150,30,0,6,0,70,0,0,0,9,3,40,50,5,0,1,0,0,1,0,1,33,1,0,0,0,0,3
28000,2595,11,3,60,100,60,140,1,0,110,0,1,0,11,3,20,50,5,140,9,0,70,0,0,0,11,3,40,50,5,0,1,0,0,1,0,1,33,1,0,0,0,0,3
28000,3463,15,3,60,50,5,140,6,0,70,0,1,0,15,3,20,100,60,0,3,0,8,0,0,0,15,3,40,50,5,0,1,0,0,1,0,1,33,1,0,0,0,0,3
28000,4096,17,3,60,100,30,140,1,0,110,0,1,0,17,3,20,50,60,0,9,0,20,0,0,0,17,3,40,50,5,0,1,0,0,1,0,1,33,1,0,0,0,0,3
28000,6388,27,3,20,50,60,0,9,0,8,0,1,0,27,3,60,150,5,70,1,0,20,0,0,0,27,3,40,50,5,0,1,0,0,1,0,1,33,1,0,0,0,0,3
28000,7522,32,3,40,100,60,140,1,0,110,0,1,0,32,3,60,50,5,0,9,0,8,0,0,0,32,3,40,50,5,0,1,0,0,1,0,1,33,1,0,0,0,0,3
28000,7796,34,3,60,50,30,140,1,0,70,0,1,0,34,3,20,100,5,70,9,0,35,0,0,0,34,3,40,50,5,0,1,0,0,1,0,1,33,1,0,0,0,0,3
28000,8831,38,3,60,100,30,0,9,0,20,0,1,0,38,3,20,50,30,140,1,0,70,0,0,0,38,3,40,50,5,0,1,0,0,1,0,1,33,1,0,0,0,0,3
28000,9058,39,3,40,150,30,70,3,0,190,0,1,0,39,3,60,100,30,0,6,0,20,0,0,0,39,3,40,50,5,0,1,0,0,1,0,1,33,1,0,0,0,0,3
28000,9243,40,3,20,100,5,140,3,0,8,0,1,0,40,3,60,50,60,140,6,0,35,0,0,0,40,3,40,50,5,0,1,0,0,1,0,1,33,1,0,0,0,0,3
28001,13639,9,4,20,150,60,0,6,0,35,0,1,0,9,4,40,150,30,70,3,0,190,1,0,0,9,4,40,50,5,0,1,0,0,0,0,1,48,0,1,0,1,0,2
