"","line","invasive1","cost1","y1","spec101","spec251","prot251","prot501","invasive2","cost2","y2","spec102","spec252","prot252","prot502","invasive3","cost3","y3","spec103","spec253","prot253","prot503","respid","male","agegr","q1","q2","q3","q4","q4_other","q5_1","q5_2","q5_3","q6","q7","q9_1","q9_2","q9_3","q9_4","q9_5","q9_6","q9_7","q10","q11","q12","q13","q14","q15","q16","q17","q18","q19","block","choice1","choice2","choice3","choice4","choice5","choice6","q22_1","q22_2","q22_3","q22_4","q22_5","q22_6","q22_7","q22_8","q22_9","q22_10","q23_1","q23_2","q24_1","q24_2","q24_3","q24_4","q24_5","q24_6","q24_7","q25_1","q25_2","q28","angling","scuba","q31","q32","q33","q34","earner","q36_1","q36_2","q36_3","edu","job","age","country","dist_db","dist_coast","dist_nsea","dist2_db","dist2_coast","dist2_nsea","inttime","resumed","income","lnincome","hhsize","children","child","firstcard","job1","job2","job3","job4","job5","job6","job7","job8","certainty1","certainty2","certainty3","certainty4","certainty5","certainty6","certainty","status","secfish","secrenew","secoil","secmarine","marinesector","coast1m","coast2m","coast4m","coast6m","coast10m","coast25m","coast50m","tottime","lntottime","tottimek","tottimek2","incomek","id","set","ASC21","ASC22","ASC23","ASC31","ASC32","ASC33"
"1",1,1,0,0,0,0,0,0,0,30,1,0,0,1,0,0,30,0,0,1,0,0,105,0,5,0,0,NA,NA,NA,NA,NA,NA,0,1,0,1,0,2,0,3,0,0,NA,3,1,1,1,1,1,1,3,4,2,3,1,2,2,3,3,3,3,3,3,3,3,3,3,3,1,1,2,4,2,4,4,4,4,4,2,1,0,0,3,1,3,2,1,2,2,0,6,2,55,1,659.019958496094,10.9154996871948,304.301696777344,653.618347167969,1.86580049991608,288.577819824219,22.27,1,1500,7.3132205,4,2,1,5,0,1,0,0,0,0,0,0,3,3,3,3,3,3,18,0,0,0,0,0,0,0,1,1,1,1,1,1,1336.2001,7.1975851,1.3362001,1.7854308,1.5,1,1,0,1,0,0,0,1
"2",2,1,0,0,0,0,0,0,1,30,0,0,0,0,1,1,10,1,0,1,1,0,105,0,5,0,0,NA,NA,NA,NA,NA,NA,0,1,0,1,0,2,0,3,0,0,NA,3,1,1,1,1,1,1,3,4,2,3,1,2,2,3,3,3,3,3,3,3,3,3,3,3,1,1,2,4,2,4,4,4,4,4,2,1,0,0,3,1,3,2,1,2,2,0,6,2,55,1,659.019958496094,10.9154996871948,304.301696777344,653.618347167969,1.86580049991608,288.577819824219,22.27,1,1500,7.3132205,4,2,1,5,0,1,0,0,0,0,0,0,3,3,3,3,3,3,18,0,0,0,0,0,0,0,1,1,1,1,1,1,1336.2001,7.1975851,1.3362001,1.7854308,1.5,1,2,0,1,0,0,0,1
"3",3,1,0,1,0,0,0,0,1,30,0,0,1,0,0,1,60,0,0,0,0,1,105,0,5,0,0,NA,NA,NA,NA,NA,NA,0,1,0,1,0,2,0,3,0,0,NA,3,1,1,1,1,1,1,3,4,2,3,1,2,2,3,3,3,3,3,3,3,3,3,3,3,1,1,2,4,2,4,4,4,4,4,2,1,0,0,3,1,3,2,1,2,2,0,6,2,55,1,659.019958496094,10.9154996871948,304.301696777344,653.618347167969,1.86580049991608,288.577819824219,22.27,1,1500,7.3132205,4,2,1,5,0,1,0,0,0,0,0,0,3,3,3,3,3,3,18,0,0,0,0,0,0,0,1,1,1,1,1,1,1336.2001,7.1975851,1.3362001,1.7854308,1.5,1,3,0,1,0,0,0,1
"4",4,1,0,0,0,0,0,0,1,5,1,1,0,1,0,0,20,0,1,0,0,1,105,0,5,0,0,NA,NA,NA,NA,NA,NA,0,1,0,1,0,2,0,3,0,0,NA,3,1,1,1,1,1,1,3,4,2,3,1,2,2,3,3,3,3,3,3,3,3,3,3,3,1,1,2,4,2,4,4,4,4,4,2,1,0,0,3,1,3,2,1,2,2,0,6,2,55,1,659.019958496094,10.9154996871948,304.301696777344,653.618347167969,1.86580049991608,288.577819824219,22.27,1,1500,7.3132205,4,2,1,5,0,1,0,0,0,0,0,0,3,3,3,3,3,3,18,0,0,0,0,0,0,0,1,1,1,1,1,1,1336.2001,7.1975851,1.3362001,1.7854308,1.5,1,4,0,1,0,0,0,1
"5",5,1,0,0,0,0,0,0,0,10,1,0,1,0,1,1,20,0,1,0,0,0,105,0,5,0,0,NA,NA,NA,NA,NA,NA,0,1,0,1,0,2,0,3,0,0,NA,3,1,1,1,1,1,1,3,4,2,3,1,2,2,3,3,3,3,3,3,3,3,3,3,3,1,1,2,4,2,4,4,4,4,4,2,1,0,0,3,1,3,2,1,2,2,0,6,2,55,1,659.019958496094,10.9154996871948,304.301696777344,653.618347167969,1.86580049991608,288.577819824219,22.27,1,1500,7.3132205,4,2,1,5,0,1,0,0,0,0,0,0,3,3,3,3,3,3,18,0,0,0,0,0,0,0,1,1,1,1,1,1,1336.2001,7.1975851,1.3362001,1.7854308,1.5,1,5,0,1,0,0,0,1
"6",6,1,0,0,0,0,0,0,0,60,0,0,1,0,0,1,10,1,1,0,1,0,105,0,5,0,0,NA,NA,NA,NA,NA,NA,0,1,0,1,0,2,0,3,0,0,NA,3,1,1,1,1,1,1,3,4,2,3,1,2,2,3,3,3,3,3,3,3,3,3,3,3,1,1,2,4,2,4,4,4,4,4,2,1,0,0,3,1,3,2,1,2,2,0,6,2,55,1,659.019958496094,10.9154996871948,304.301696777344,653.618347167969,1.86580049991608,288.577819824219,22.27,1,1500,7.3132205,4,2,1,5,0,1,0,0,0,0,0,0,3,3,3,3,3,3,18,0,0,0,0,0,0,0,1,1,1,1,1,1,1336.2001,7.1975851,1.3362001,1.7854308,1.5,1,6,0,1,0,0,0,1
"7",7,1,0,0,0,0,0,0,0,30,1,0,0,1,0,0,30,0,0,1,0,0,109,1,5,1,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,2,0,3,0,1,0,2,0,0,0,1,0,0,1,4,2,1,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,5,5,0,0,0,0,2,3,4,0,0,2,0,5,3,61,1,593.855346679688,28.0511932373047,246.131744384766,597.748291015625,7.575758934021,236.189178466797,65.480003,1,4000,8.2940493,2,0,0,1,0,0,1,0,0,0,0,0,5,5,5,5,5,4,29,0,0,0,0,0,0,0,0,0,1,1,1,1,3928.8003,8.2760897,3.9288003,15.435472,4,2,1,0,1,0,0,0,1
"8",8,1,0,1,0,0,0,0,1,30,0,0,0,0,1,1,10,0,0,1,1,0,109,1,5,1,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,2,0,3,0,1,0,2,0,0,0,1,0,0,1,4,2,1,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,5,5,0,0,0,0,2,3,4,0,0,2,0,5,3,61,1,593.855346679688,28.0511932373047,246.131744384766,597.748291015625,7.575758934021,236.189178466797,65.480003,1,4000,8.2940493,2,0,0,1,0,0,1,0,0,0,0,0,5,5,5,5,5,4,29,0,0,0,0,0,0,0,0,0,1,1,1,1,3928.8003,8.2760897,3.9288003,15.435472,4,2,2,0,1,0,0,0,1
"9",9,1,0,0,0,0,0,0,1,30,0,0,1,0,0,1,60,1,0,0,0,1,109,1,5,1,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,2,0,3,0,1,0,2,0,0,0,1,0,0,1,4,2,1,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,5,5,0,0,0,0,2,3,4,0,0,2,0,5,3,61,1,593.855346679688,28.0511932373047,246.131744384766,597.748291015625,7.575758934021,236.189178466797,65.480003,1,4000,8.2940493,2,0,0,1,0,0,1,0,0,0,0,0,5,5,5,5,5,4,29,0,0,0,0,0,0,0,0,0,1,1,1,1,3928.8003,8.2760897,3.9288003,15.435472,4,2,3,0,1,0,0,0,1
"10",10,1,0,0,0,0,0,0,1,5,1,1,0,1,0,0,20,0,1,0,0,1,109,1,5,1,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,2,0,3,0,1,0,2,0,0,0,1,0,0,1,4,2,1,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,5,5,0,0,0,0,2,3,4,0,0,2,0,5,3,61,1,593.855346679688,28.0511932373047,246.131744384766,597.748291015625,7.575758934021,236.189178466797,65.480003,1,4000,8.2940493,2,0,0,1,0,0,1,0,0,0,0,0,5,5,5,5,5,4,29,0,0,0,0,0,0,0,0,0,1,1,1,1,3928.8003,8.2760897,3.9288003,15.435472,4,2,4,0,1,0,0,0,1
