"Alpha","Iteration","ASC2_male","ASC2_age","ASC2_income","ASC2_child","ASC3_male","ASC3_age","ASC3_income","ASC3_child","prot25_male","prot25_age","prot25_income","prot25_child","prot50_male","prot50_age","prot50_income","prot50_child","invasive_male","invasive_age","invasive_income","invasive_child"
1,1,0,0.7,0,0,0,-1,0,0.5,0,-1,0,1.1,-0.5,0.7,0.7,0,-0.4,0,-0.5,0
1,2,0.5,0,0.5,0,-0.5,0,1,0,0,-0.6,0,-1,0,-1.1,0,0,0.8,0,-0.4,-1.1
1,3,0,0.6,-0.8,0,0,0,0,0,0.6,-1,0,-0.6,0,0,0.5,0,-0.6,1,1.1,1
1,4,0,0.8,0.7,1.1,0,0,0,-1.2,0,0,0.7,-0.4,0,0,0.6,0,-0.7,-0.5,-0.7,0
1,5,0,0,-0.5,0,0.8,0,0,0.6,0.7,0,0,0.7,0.8,0.8,0,0,0.5,0,-0.9,-0.5
1,6,1.2,0.7,-0.5,0,0,-0.7,0,0,0.5,0,0,0,1,-0.7,0,0,0.7,-0.5,0,0.5
1,7,0.5,0,0.9,0,1,-1.2,0.9,0,-0.9,-0.7,0,0,0,-1,-0.8,-0.9,0,0,0,0
1,8,0.7,0,0,-0.7,0,0.9,0,0.8,0,1.2,0,1.1,0,0,0,-1.1,0,-0.5,0.5,-1
1,9,0,0.7,0.7,0,0,0,0,-0.6,0.8,0.6,0,0.5,-0.5,-1,0,-0.9,0,1,0,0
1,10,0,-1.1,0,0,0.9,0,0,0,-1,1.1,-0.9,-0.6,0,0,0,0,0.5,0.7,-0.6,-0.6
1,11,1.1,0,0.4,0,0.8,-1.1,1,-0.9,-1,0,0,0,0,0,0,0,-0.9,0,1,-1.2
1,12,0,-0.6,-0.7,-1.2,-0.8,0.6,0,0,0,0,0,1.1,-0.8,0,0,0,0,0.7,0.8,-0.9
1,13,-0.6,0,0,0,-0.6,-0.5,-0.6,0,0,-0.6,-1.1,0,-0.7,0,0,0,-0.4,1.1,0.7,0
1,14,1.1,0,0,1,-0.7,0,1,0,0,0,0,0,0,1.1,0,-1,0.6,-0.9,0.7,-0.6
1,15,-1,1.2,0,-0.6,-0.8,0,0,1,0,0.8,-0.5,0.7,0,-0.7,0,0.5,0,0,0,0
1,16,0,-0.8,0,-0.9,0,-0.9,0.9,-0.9,0.8,-1,0,0,0.8,-1,0,0,0,0.9,0,0
1,17,0,-1.1,-1,0,0,-1.1,0,-0.7,-1,0,0.8,0,0.5,0.7,0,0,0.9,0,-1.1,0
1,18,0.5,0.8,0,0.8,0.5,0,0.6,0,0,0,0,-0.7,-0.7,0,1.1,0,0,0,-0.4,0.8
1,19,0,0,-0.5,0,0,0.4,-0.9,-1,0,0,0,0.9,-1,0,0.7,1.2,0,0,0.8,-1.2
1,20,0,1,1.1,-1.1,0.9,-1.2,-0.7,-0.9,0,0,0,0.8,0,0,0,0,0,0.7,0,0.5
1,21,-0.7,-0.8,0,1.1,0,0.5,0,0,0.7,0,-1.1,0,-0.7,0,0,-0.8,0,1.2,-0.5,0
1,22,0.8,-0.5,-0.6,0,0,-0.8,0,-0.9,0,0,0.7,0,0,1.1,-1,-1.1,0,0.5,0,0
1,23,0,0.7,0.9,-0.5,0.8,-0.5,0,0,0.9,0.6,0.7,0,0,0,0,0.7,-0.7,0,0,0
1,24,-0.6,-0.6,0,0,0,1.2,0,0,0.6,0,0.9,1.1,0,-0.9,1.2,0,0,1.1,0,1.2
1,25,1.2,0,0,0,-1,-0.5,0,-1.1,1.1,-0.8,0,1,0,0,0,0,0,1.1,-1.2,1.2
1,26,0,-1,-1.2,-0.6,0.9,0,-0.7,0.4,-1,0,0,0,0,0,0.4,0,0,1,-0.9,0
1,27,-1.2,-0.7,0,0,0,0,0,0.9,-0.9,1,0,0.8,0,0,0,0.6,-0.5,-0.5,1.1,0
1,28,-0.8,0,0,0,-1,-0.9,0,-0.8,0,1.1,1.2,0,-0.5,0.9,-0.5,0,0,0,0.6,0
1,29,0,0,-0.4,0,0,1,0,-0.5,0,0,0.9,-0.6,0.6,0.7,0,0.8,0,-0.6,0,1.1
1,30,0,0,0,0.8,0.6,0,0.5,0.4,0,-0.8,0.6,0.9,-0.9,0,0,0,1.1,0,0.6,0
1,31,1.2,0,-0.6,0,0,0,0,0,-0.9,-0.5,0,0,-1,-1,-0.5,-0.7,-1.1,0,0,-0.8
1,32,0.4,0.8,-1.1,0.6,0,0.6,0,0.7,0,-0.8,0,0,0.8,0.5,0,-0.7,0,0,0,0
1,33,0,-0.6,0,0,0,1.1,0,0,1,-0.9,1.1,0,-1.2,0.6,0,0.9,0,-1.2,0.8,0
1,34,0,-0.7,0,1.1,0,-0.5,-0.8,-1,0,0,0,0,0,-0.9,-0.4,0,-1,-1,-1,0
1,35,0,0,-0.5,0,0,0,0,0,0,1.2,-0.5,0.9,-0.9,-0.5,0,0,0.6,0.6,-0.6,-0.7
1,36,-0.8,0,0.4,0,0,0.8,1.2,0,0,0,0.5,0,0,0.9,-0.9,0,-1,0.9,0,-0.9
1,37,0,0,0,0,0,0,0.8,0,-0.9,1,-0.8,0.4,0,1.1,0,-1,0.8,-0.5,1.1,0
1,38,0.9,0,0.9,0.6,0,0,0,0.5,0,0,0,0,0,0.5,1,0,-0.7,1,1.1,-0.5
1,39,1,1.1,0,0.8,0,-0.4,0,-1.1,0,0,1,0,0,1,-0.9,0,0.4,0,0.8,0
1,40,0,0,-1,-0.6,1.2,0,0,0,-0.4,0,-0.5,-0.7,-1.2,0,0,1.1,-0.9,0.7,0,0
1,41,0.4,0,-1.1,-0.7,0.9,-0.8,-0.8,-1.1,0,-1.1,0,0,0,0,0,0,-0.9,-0.7,0,0
1,42,-0.4,1,0,0.6,-0.8,0,0,0,0.4,0.9,0,0,0,1,0,0,-1,0,-1.1,-1.1
1,43,0,-0.9,0,0,-1.2,0,0,0,1.1,0.7,1,1,-0.5,0,-0.5,0.8,0,0,1,0
1,44,1,1.2,0,0,1,0,-0.7,-1.1,-1.1,0,0,1,0,-1.2,-0.7,0,-0.9,0,0,0
1,45,-0.8,0,0,0.5,-0.8,0,0,-0.4,0,-0.9,0,0.6,0,1.2,0,-0.5,-1,0,-0.5,0
1,46,-0.5,0,-0.6,0,0,0,0,0,0,0.9,0.6,0.7,0.8,0.7,-0.7,0.8,0,0,0,0.8
1,47,0,0,-0.9,1,0,1.1,0,0,1.2,1,0,0.7,-0.4,0,1,0,0,0,-0.5,-1
1,48,0.6,0,-1.1,0,0,1,0.9,1,1.1,0,0.5,0,-0.8,0,0,0.4,0,0,0.8,0
1,49,0,0.8,0,0.7,0,0.7,-0.4,0,1.1,0,0.9,-1.1,0,0.8,0,-1.1,-0.5,0,0,0
1,50,0,0,0.6,0.4,0,0,0,-0.5,-0.6,1.2,-0.7,0,1.1,-0.6,0,0,-1.1,0.6,0,0
1,51,1.2,0,-0.7,0,0,-1.1,-0.7,0,0,-0.9,1,0.9,-1.1,0,0,0,0.9,0,-0.6,0
1,52,0,0.9,0,0,1.1,0,0.5,0,-1,1.1,0,-1.1,0,0,1,-0.4,0.5,0,-0.9,0
1,53,0,0,-0.8,0.9,0,-0.6,0,0,-1.2,-0.6,0,0,0,0.6,0,0,-1.1,0.6,-0.6,0.7
1,54,-1.1,0.7,0,0.5,0.7,-0.5,0,0,0,0,0.6,0,0,1,0,-0.6,0,1,-0.6,0
1,55,1,0,0,1,0,0,0,-1.1,-1,-0.7,0,-0.6,-1,0,1.1,0,0.9,-0.9,0,0
1,56,0,1.1,0,0,0,-1,0.9,0,0,1,0,0,0.7,0,-0.9,-0.6,0,0.9,1.1,0.6
1,57,0,0,1.1,1.1,0,1,0,0,0.4,0,0,-0.7,1.1,-1,0,-0.4,-0.6,1,0,0
1,58,0,-0.7,1.1,0.6,0,-0.8,0,0,0.5,0,0,-0.6,0.7,0,0,-0.9,-1,0.9,0,0
1,59,1.2,1.1,0,0.5,0,1.1,0,0,0.5,0,0.6,0.5,0,0,1.1,1,0,0,0,-0.8
1,60,-1,-0.4,0,-0.6,-1.1,0,0,1.2,-1.1,-0.9,0,0,-0.6,0,0,0,1.1,0,0,-0.6
1,61,-0.7,0,0.5,0.9,0.7,0,0,0,0,-0.7,0,0,0,-0.6,0,-0.8,0,1.2,1.1,0.7
1,62,0,-1.1,-0.8,0,0,0,0.6,-0.4,0,-1,0.7,0.7,-0.9,0,0,1.2,0.5,0,0,0
1,63,1,-0.4,0,0.4,0.6,-0.9,0,0,0,0,-0.4,0,0,1.1,0,-0.5,0,-0.7,0,-0.7
1,64,0,0,1.1,0.7,0,0,1.1,0,0,-1.1,-0.8,-0.9,0,1,-0.7,0,0,-1.1,0.6,0
1,65,0,0,-0.9,0,0,-1,0,0,0.4,-0.9,1,0,0.9,1.2,-1,-1.2,0,0,-1.1,0
1,66,0.9,1,0,0,-0.7,0,-1.2,0,0,-0.6,-0.7,0,0,0,0.5,-0.8,0.7,1,0,0
1,67,0,-1.2,0.8,0.5,0,0,0.8,0,1,0.7,-0.9,0,-0.9,0,-0.5,0,0,0,0,1
1,68,0.5,1,-1.1,0.4,0,0.9,0,-0.6,0,0,0,-0.7,0,0.4,0,0,0,0,0.7,0.6
1,69,0,0,-1,0,0.9,0,0,0,-0.6,-0.9,0,1.2,0,-0.8,0,-0.8,-1.1,0.7,-1,0
1,70,0,-1,1.2,0.6,0,-1,0,0,0,0.5,0,-0.9,0,0,-0.8,0,-0.5,0,-0.8,-0.8
