"Alpha","Threshold","Iteration","Interaction","TrueBeta","Estimate","Detected"
0.5,1e-05,1,"ASC2_male",1,0.578866613060968,1
0.5,1e-05,1,"ASC2_age",0.6,0.564414787548164,1
0.5,1e-05,1,"ASC2_income",0,-0.0574798791530411,1
0.5,1e-05,1,"ASC2_child",0,0.0223329720003861,1
0.5,1e-05,1,"ASC3_male",-1.1,-1.36700821697585,1
0.5,1e-05,1,"ASC3_age",0,0.0076241003885539,1
0.5,1e-05,1,"ASC3_income",0.9,0.720950835103228,1
0.5,1e-05,1,"ASC3_child",0,0.0459671587562886,1
0.5,1e-05,1,"prot25_male",1.2,1.14211532107743,1
0.5,1e-05,1,"prot25_age",0.9,0.803548532930532,1
0.5,1e-05,1,"prot25_income",0,0.213640018686629,1
0.5,1e-05,1,"prot25_child",1.2,1.04598128755729,1
0.5,1e-05,1,"prot50_male",0,-0.197654650195377,1
0.5,1e-05,1,"prot50_age",0,0.0131027548221639,1
0.5,1e-05,1,"prot50_income",-1.2,-0.996801640252298,1
0.5,1e-05,1,"prot50_child",1.1,1.1908581850164,1
0.5,1e-05,1,"invasive_male",0,-0.347440874444916,1
0.5,1e-05,1,"invasive_age",-0.8,-0.673167459943586,1
0.5,1e-05,1,"invasive_income",0,-0.0189440702623713,1
0.5,1e-05,1,"invasive_child",0,0.219887404661035,1
0.5,1e-05,2,"ASC2_male",0,-0.0517504825826867,1
0.5,1e-05,2,"ASC2_age",0.4,0.506936973307024,1
0.5,1e-05,2,"ASC2_income",0.9,0.923191445206832,1
0.5,1e-05,2,"ASC2_child",-0.6,-0.608573559134948,1
0.5,1e-05,2,"ASC3_male",0,0.000352217393058152,1
0.5,1e-05,2,"ASC3_age",0.7,0.744819727241825,1
0.5,1e-05,2,"ASC3_income",-0.9,-0.776628341468221,1
0.5,1e-05,2,"ASC3_child",0,0.00563109795705054,1
0.5,1e-05,2,"prot25_male",0.7,0.783709450597916,1
0.5,1e-05,2,"prot25_age",0.9,0.985631051565122,1
0.5,1e-05,2,"prot25_income",0,-0.000230754098369788,1
0.5,1e-05,2,"prot25_child",0,0.00238206617042982,1
0.5,1e-05,2,"prot50_male",0,-0.000577507712675231,1
0.5,1e-05,2,"prot50_age",0,0.0635741346634567,1
0.5,1e-05,2,"prot50_income",0,-0.0648271938007846,1
0.5,1e-05,2,"prot50_child",0,0.0333035849678651,1
0.5,1e-05,2,"invasive_male",1,0.831765989152237,1
0.5,1e-05,2,"invasive_age",-0.4,-0.43997501311319,1
0.5,1e-05,2,"invasive_income",0,0.106251617774705,1
0.5,1e-05,2,"invasive_child",-0.7,-0.645682156844026,1
0.5,1e-05,3,"ASC2_male",-1,-0.637789995863125,1
0.5,1e-05,3,"ASC2_age",-0.6,-0.62786438337544,1
0.5,1e-05,3,"ASC2_income",0,-0.184955972570641,1
0.5,1e-05,3,"ASC2_child",0,-0.467639245905447,1
0.5,1e-05,3,"ASC3_male",-0.9,-0.598487824506825,1
0.5,1e-05,3,"ASC3_age",0,-0.0652863305380504,1
0.5,1e-05,3,"ASC3_income",0,-0.0765396789991324,1
0.5,1e-05,3,"ASC3_child",1.1,0.802242535452017,1
0.5,1e-05,3,"prot25_male",0,-0.107467342727212,1
0.5,1e-05,3,"prot25_age",0,0.201939055682056,1
0.5,1e-05,3,"prot25_income",0,0.0756704479818664,1
0.5,1e-05,3,"prot25_child",0,0.413482145647918,1
0.5,1e-05,3,"prot50_male",0.8,0.734535690811234,1
0.5,1e-05,3,"prot50_age",-0.4,-0.147746206955963,1
0.5,1e-05,3,"prot50_income",-1,-0.985585929056465,1
0.5,1e-05,3,"prot50_child",-0.9,-0.428624851860479,1
0.5,1e-05,3,"invasive_male",0,0.10331671105845,1
0.5,1e-05,3,"invasive_age",0,0.12920148539962,1
0.5,1e-05,3,"invasive_income",-1.2,-1.17675223317516,1
