"Alpha","Threshold","Iteration","Interaction","TrueBeta","Estimate","Detected"
1,1e-05,1,"ASC2_male",0,0.204568472113349,1
1,1e-05,1,"ASC2_age",0.7,0.590597104379389,1
1,1e-05,1,"ASC2_income",0,0.035235614929735,1
1,1e-05,1,"ASC2_child",0,-0.446909499575001,1
1,1e-05,1,"ASC3_male",0,0.229735352319591,1
1,1e-05,1,"ASC3_age",-1,-1.1273570274831,1
1,1e-05,1,"ASC3_income",0,-0.0657872469718734,1
1,1e-05,1,"ASC3_child",0.5,0.328914072229122,1
1,1e-05,1,"prot25_male",0,0.149850836900184,1
1,1e-05,1,"prot25_age",-1,-0.854810286352171,1
1,1e-05,1,"prot25_income",0,-0.0684718468923475,1
1,1e-05,1,"prot25_child",1.1,1.40292344690566,1
1,1e-05,1,"prot50_male",-0.5,-0.561149105319741,1
1,1e-05,1,"prot50_age",0.7,0.798294016075041,1
1,1e-05,1,"prot50_income",0.7,0.507422313352479,1
1,1e-05,1,"prot50_child",0,0.34139281867768,1
1,1e-05,1,"invasive_male",-0.4,-0.263059006463427,1
1,1e-05,1,"invasive_age",0,0.00848499537025004,1
1,1e-05,1,"invasive_income",-0.5,-0.604699321233597,1
1,1e-05,1,"invasive_child",0,-0.256260295501752,1
1,1e-05,2,"ASC2_male",0.5,0.209154315210229,1
1,1e-05,2,"ASC2_age",0,-0.0758938332597807,1
1,1e-05,2,"ASC2_income",0.5,0.44245830726735,1
1,1e-05,2,"ASC2_child",0,2.47500998507192e-06,0
1,1e-05,2,"ASC3_male",-0.5,-0.649981602737923,1
1,1e-05,2,"ASC3_age",0,0.0697520277776745,1
1,1e-05,2,"ASC3_income",1,0.894524488936858,1
1,1e-05,2,"ASC3_child",0,-0.283365971135415,1
1,1e-05,2,"prot25_male",0,0.0916883841106323,1
1,1e-05,2,"prot25_age",-0.6,-0.562767580806038,1
1,1e-05,2,"prot25_income",0,0.016888449449595,1
1,1e-05,2,"prot25_child",-1,-0.815745893079554,1
1,1e-05,2,"prot50_male",0,-0.0601390754172964,1
1,1e-05,2,"prot50_age",-1.1,-1.03248215612416,1
1,1e-05,2,"prot50_income",0,0.132009799032243,1
1,1e-05,2,"prot50_child",0,0.304399123920964,1
1,1e-05,2,"invasive_male",0.8,0.537239737954776,1
1,1e-05,2,"invasive_age",0,0.0837909836106365,1
1,1e-05,2,"invasive_income",-0.4,-0.335530995666413,1
1,1e-05,2,"invasive_child",-1.1,-0.824594639351827,1
1,1e-05,3,"ASC2_male",0,-3.41089038700717e-05,1
1,1e-05,3,"ASC2_age",0.6,0.226788012449544,1
