"Alpha","Threshold","Iteration","Interaction","TrueBeta","Estimate","Detected"
1,1e-05,1,"ASC2_male",0,0.000920331883242744,1
1,1e-05,1,"ASC2_age",0.7,0.590537277239686,1
1,1e-05,1,"ASC2_income",0,0.00311444700154193,1
1,1e-05,1,"ASC2_child",0,1.85782698806603e-06,0
1,1e-05,1,"ASC3_male",0,-0.0193064256034482,1
1,1e-05,1,"ASC3_age",-1,-1.02830528453003,1
1,1e-05,1,"ASC3_income",0,-2.39094288386975e-06,0
1,1e-05,1,"ASC3_child",0.5,0.304945197822586,1
1,1e-05,1,"prot25_male",0,0.00353031830274944,1
1,1e-05,1,"prot25_age",-1,-0.827280570344664,1
1,1e-05,1,"prot25_income",0,-0.000513890433921194,1
1,1e-05,1,"prot25_child",1.1,0.959571087274123,1
1,1e-05,1,"prot50_male",-0.5,-0.517377859940395,1
1,1e-05,1,"prot50_age",0.7,0.719040979295777,1
1,1e-05,1,"prot50_income",0.7,0.595381416979642,1
1,1e-05,1,"prot50_child",0,-5.99503392580897e-06,0
1,1e-05,1,"invasive_male",-0.4,-0.361559599442978,1
1,1e-05,1,"invasive_age",0,-0.0216973833336979,1
1,1e-05,1,"invasive_income",-0.5,-0.453114106014385,1
1,1e-05,1,"invasive_child",0,3.90215959355757e-07,0
1,1e-05,2,"ASC2_male",0.5,0.331354533523173,1
1,1e-05,2,"ASC2_age",0,-0.0610188670414207,1
1,1e-05,2,"ASC2_income",0.5,0.418773954830916,1
1,1e-05,2,"ASC2_child",0,-0.0289694974856554,1
1,1e-05,2,"ASC3_male",-0.5,-0.544315763864319,1
1,1e-05,2,"ASC3_age",0,-0.0228070670345792,1
1,1e-05,2,"ASC3_income",1,0.944614214509693,1
1,1e-05,2,"ASC3_child",0,-6.59824268721954e-05,1
1,1e-05,2,"prot25_male",0,-0.158359035445056,1
1,1e-05,2,"prot25_age",-0.6,-0.486284564376164,1
1,1e-05,2,"prot25_income",0,0.0281320799348073,1
1,1e-05,2,"prot25_child",-1,-0.923876172438136,1
1,1e-05,2,"prot50_male",0,6.63016516640739e-05,1
1,1e-05,2,"prot50_age",-1.1,-0.976128722046736,1
1,1e-05,2,"prot50_income",0,6.97919579029576e-05,1
1,1e-05,2,"prot50_child",0,0.149112684884488,1
1,1e-05,2,"invasive_male",0.8,0.807289570256847,1
1,1e-05,2,"invasive_age",0,-0.0422740891066805,1
1,1e-05,2,"invasive_income",-0.4,-0.423368455120706,1
1,1e-05,2,"invasive_child",-1.1,-0.855409575396712,1
1,1e-05,3,"ASC2_male",0,-0.0826014240417489,1
1,1e-05,3,"ASC2_age",0.6,0.647740898399711,1
