"Alpha","Iteration","BestLambda","FitCode","LogLik"
0.5,1,0.0017099759466767,8,-3585.53689560655
0.5,2,0.00440541340134864,8,-4288.69310772256
0.5,3,0.0017099759466767,8,-4918.08597303584
0.5,4,0.00440541340134864,8,-3990.91962684615
0.5,5,0.00440541340134864,8,-4400.9751432743
0.5,6,0.0017099759466767,8,-4321.26927438227
0.5,7,0.0017099759466767,8,-3488.83174615958
0.5,8,0.000663732883120058,8,-3561.91260925732
0.5,9,0.000663732883120058,8,-4728.47416934993
0.5,10,0.00440541340134864,8,-3854.80276580527
0.5,11,0.0017099759466767,8,-4518.64254705656
0.5,12,0.00440541340134864,8,-4498.68142284392
0.5,13,0.00440541340134864,8,-4234.83743965425
0.5,14,0.00440541340134864,8,-4302.65241575208
0.5,15,0.00440541340134864,8,-4423.77446003979
0.5,16,0.0017099759466767,8,-4139.14290187177
0.5,17,0.0017099759466767,8,-4494.25070219879
0.5,18,0.0017099759466767,8,-4597.54448715948
0.5,19,0.0017099759466767,8,-4208.04157802507
0.5,20,0.0017099759466767,8,-4101.91417246336
0.5,21,0.0017099759466767,8,-4303.1118188885
0.5,22,0.00440541340134864,8,-3988.25614623865
0.5,23,0.0017099759466767,8,-4674.76978136313
0.5,24,0.0017099759466767,8,-4320.496325173
0.5,25,0.00440541340134864,8,-3954.22582734828
0.5,26,0.00440541340134864,8,-4530.14398458908
0.5,27,0.0017099759466767,8,-4393.79556464359
0.5,28,0.0017099759466767,8,-5023.07566131577
0.5,29,0.0017099759466767,8,-4060.05988314131
0.5,30,0.00440541340134864,8,-4279.01901757389
0.5,31,0.00440541340134864,8,-4512.68835256833
0.5,32,0.0017099759466767,8,-4088.81794372367
0.5,33,0.00440541340134864,8,-4418.947689648
0.5,34,0.000663732883120058,8,-4309.99084429005
0.5,35,0.0017099759466767,8,-4506.55090073376
0.5,36,0.00440541340134864,8,-4171.92936135964
0.5,37,0.0017099759466767,8,-4473.58391468089
0.5,38,0.0017099759466767,8,-4403.33671755265
0.5,39,0.0017099759466767,8,-4321.95215438043
0.5,40,0.00440541340134864,8,-4194.22416827651
0.5,41,0.0017099759466767,8,-4602.72232375013
0.5,42,0.00440541340134864,8,-4621.96846558341
0.5,43,0.00440541340134864,8,-4347.99955979989
0.5,44,0.0017099759466767,8,-4267.5303097721
0.5,45,0.0017099759466767,8,-4183.00383317999
0.5,46,0.00440541340134864,8,-4368.28650882223
0.5,47,0.00440541340134864,8,-4336.92916528312
0.5,48,0.0017099759466767,8,-4485.16021112808
0.5,49,0.000663732883120058,8,-4228.67496870343
0.5,50,0.0017099759466767,8,-3904.70341935575
0.5,51,0.00440541340134864,8,-4188.61118447567
0.5,52,0.00440541340134864,8,-4337.0917006865
0.5,53,0.00440541340134864,8,-4325.17686004893
0.5,54,0.0017099759466767,8,-4543.88100880843
0.5,55,0.0017099759466767,8,-4741.00010139477
0.5,56,0.00440541340134864,8,-4090.53039315595
0.5,57,0.00440541340134864,8,-4121.31883810548
0.5,58,0.0017099759466767,8,-4622.58812296745
0.5,59,0.00440541340134864,8,-4177.82465169003
0.5,60,0.0017099759466767,8,-4959.29081740912
0.5,61,0.00440541340134864,8,-4572.01979320654
0.5,62,0.0017099759466767,8,-4778.99351825252
0.5,63,0.00440541340134864,8,-5053.09839735869
0.5,64,0.0017099759466767,8,-4113.64409820897
0.5,65,0.00440541340134864,8,-4155.21066647861
0.5,66,0.00440541340134864,8,-3766.39247660374
0.5,67,0.00440541340134864,8,-3987.71126304801
0.5,68,0.0113496726515367,8,-4599.31963766331
0.5,69,0.00440541340134864,8,-3886.05062134466
0.5,70,0.00440541340134864,8,-3959.1248827948
0.5,71,0.000663732883120058,8,-4278.72720428304
0.5,72,0.00440541340134864,8,-4069.42053177706
0.5,73,0.0017099759466767,8,-4792.39498254643
0.5,74,0.0017099759466767,8,-4179.64319977056
0.5,75,0.00440541340134864,8,-4465.59422086087
0.5,76,0.00440541340134864,8,-5295.69026961002
0.5,77,0.00440541340134864,8,-3814.91500454145
0.5,78,0.0017099759466767,8,-3788.05049891482
0.5,79,0.00440541340134864,8,-3980.45938548103
0.5,80,0.00440541340134864,8,-4320.51479643452
0.5,81,0.00440541340134864,8,-4123.74881542864
0.5,82,0.0017099759466767,8,-4332.24844781942
0.5,83,0.0017099759466767,8,-4465.70858798282
0.5,84,0.0017099759466767,8,-4497.01308582792
0.5,85,0.0017099759466767,8,-4313.60557473503
0.5,86,0.00440541340134864,8,-4063.76515143157
0.5,87,0.000663732883120058,8,-4125.2612561193
0.5,88,0.00440541340134864,8,-4587.26182250944
0.5,89,0.0017099759466767,8,-4210.63284499337
0.5,90,0.00440541340134864,8,-4317.29029903683
0.5,91,0.0017099759466767,8,-3885.28364612968
0.5,92,0.0017099759466767,8,-4215.46642045485
0.5,93,0.00440541340134864,8,-4050.03632936757
0.5,94,0.00440541340134864,8,-4500.10182510065
0.5,95,0.00440541340134864,8,-4559.71381656397
0.5,96,0.00440541340134864,8,-4477.98766139217
0.5,97,0.00440541340134864,8,-4460.78581579673
0.5,98,0.000257630138594082,8,-4759.27017453391
0.5,99,0.000663732883120058,8,-4621.49708485265
0.5,100,0.00440541340134864,8,-4628.10337363705
