"Alpha","Threshold","Iteration","Interaction","TrueBeta","Estimate","Detected"
0.5,1e-05,1,"ASC2_male",1,0.914405601661851,1
0.5,1e-05,1,"ASC2_age",0.6,0.691960347736464,1
0.5,1e-05,1,"ASC2_income",0,0.00301889633593775,1
0.5,1e-05,1,"ASC2_child",0,-0.0946906859306362,1
0.5,1e-05,1,"ASC3_male",-1.1,-1.08492323612767,1
0.5,1e-05,1,"ASC3_age",0,0.0548344102888398,1
0.5,1e-05,1,"ASC3_income",0.9,0.917305448601252,1
0.5,1e-05,1,"ASC3_child",0,-0.177515923427042,1
0.5,1e-05,1,"prot25_male",1.2,1.19284088519842,1
0.5,1e-05,1,"prot25_age",0.9,0.857778617585398,1
0.5,1e-05,1,"prot25_income",0,0.057445901908907,1
0.5,1e-05,1,"prot25_child",1.2,1.18980791543921,1
0.5,1e-05,1,"prot50_male",0,-0.00625201609206797,1
0.5,1e-05,1,"prot50_age",0,-0.0763157061152629,1
0.5,1e-05,1,"prot50_income",-1.2,-1.10228207332278,1
0.5,1e-05,1,"prot50_child",1.1,1.1520983465155,1
0.5,1e-05,1,"invasive_male",0,-0.146603985477878,1
0.5,1e-05,1,"invasive_age",-0.8,-0.789771445021909,1
0.5,1e-05,1,"invasive_income",0,0.0599505806957325,1
0.5,1e-05,1,"invasive_child",0,-0.0819858796080489,1
0.5,1e-05,2,"ASC2_male",0,-6.89268060880932e-06,0
0.5,1e-05,2,"ASC2_age",0.4,0.429770669600214,1
0.5,1e-05,2,"ASC2_income",0.9,0.826045723999588,1
0.5,1e-05,2,"ASC2_child",-0.6,-0.525808635877282,1
0.5,1e-05,2,"ASC3_male",0,-0.0196866413091641,1
0.5,1e-05,2,"ASC3_age",0.7,0.745128307420031,1
0.5,1e-05,2,"ASC3_income",-0.9,-1.00247061140496,1
0.5,1e-05,2,"ASC3_child",0,0.0334859705707655,1
0.5,1e-05,2,"prot25_male",0.7,0.768304871703341,1
0.5,1e-05,2,"prot25_age",0.9,0.932526874832626,1
0.5,1e-05,2,"prot25_income",0,0.0413237532472071,1
0.5,1e-05,2,"prot25_child",0,-2.84902246733993e-05,1
0.5,1e-05,2,"prot50_male",0,0.00115600377485416,1
0.5,1e-05,2,"prot50_age",0,0.000608668745176224,1
0.5,1e-05,2,"prot50_income",0,0.0294420145836366,1
0.5,1e-05,2,"prot50_child",0,2.78176944553844e-05,1
0.5,1e-05,2,"invasive_male",1,0.965913959280131,1
0.5,1e-05,2,"invasive_age",-0.4,-0.330823253924491,1
0.5,1e-05,2,"invasive_income",0,-0.0247253555808355,1
0.5,1e-05,2,"invasive_child",-0.7,-0.735166207835342,1
0.5,1e-05,3,"ASC2_male",-1,-0.811057733926072,1
0.5,1e-05,3,"ASC2_age",-0.6,-0.749015590886207,1
0.5,1e-05,3,"ASC2_income",0,-0.0745905842659959,1
0.5,1e-05,3,"ASC2_child",0,-0.0907236971825109,1
0.5,1e-05,3,"ASC3_male",-0.9,-0.846055082190774,1
0.5,1e-05,3,"ASC3_age",0,-0.120106597132919,1
0.5,1e-05,3,"ASC3_income",0,2.94262055174493e-05,1
0.5,1e-05,3,"ASC3_child",1.1,0.924367948152359,1
0.5,1e-05,3,"prot25_male",0,-0.0857354639249895,1
0.5,1e-05,3,"prot25_age",0,0.132819350259958,1
0.5,1e-05,3,"prot25_income",0,0.0285714140894534,1
0.5,1e-05,3,"prot25_child",0,0.136782532539512,1
0.5,1e-05,3,"prot50_male",0.8,0.659181358794929,1
0.5,1e-05,3,"prot50_age",-0.4,-0.257956697480472,1
