"Alpha","Iteration","BestLambda","FitCode","LogLik"
1,1,0.00440541340134864,8,-3933.15895808236
1,2,0.00440541340134864,8,-4811.51844589788
1,3,0.00440541340134864,8,-4513.67125199113
1,4,0.0017099759466767,8,-4513.03472770722
1,5,0.00440541340134864,8,-4254.74254088292
1,6,0.0017099759466767,8,-3828.53142597991
1,7,0.00440541340134864,8,-4546.96888808134
1,8,0.00440541340134864,8,-4339.75781235606
1,9,0.00440541340134864,8,-4272.81233965505
1,10,0.00440541340134864,8,-4145.86447861438
1,11,0.000663732883120058,8,-3707.94993664926
1,12,0.0017099759466767,8,-4589.28611122403
1,13,0.00440541340134864,8,-4617.86185049103
1,14,0.00440541340134864,8,-3919.84194608727
1,15,0.00440541340134864,8,-4266.23056193074
1,16,0.00440541340134864,8,-4402.5875482924
1,17,0.00440541340134864,8,-4629.87485771805
1,18,0.00440541340134864,8,-4835.56399760712
1,19,0.00440541340134864,8,-4600.14864802242
1,20,0.00440541340134864,8,-3731.45941303186
1,21,0.00440541340134864,8,-4231.76341629082
1,22,0.00440541340134864,8,-4329.37778866592
1,23,0.00440541340134864,8,-3910.31206311756
1,24,0.00440541340134864,8,-4107.39637245499
1,25,0.00440541340134864,8,-3940.76442010707
1,26,0.00440541340134864,8,-4343.79307877904
1,27,0.0017099759466767,8,-4191.37008270819
1,28,0.0017099759466767,8,-4785.95225109396
1,29,0.00440541340134864,8,-4277.41900018594
1,30,0.0017099759466767,8,-4848.42217473163
1,31,0.00440541340134864,8,-4314.78579748369
1,32,0.000663732883120058,8,-4107.2754062198
1,33,0.0017099759466767,8,-3757.71359521041
1,34,0.0017099759466767,8,-3975.98390570904
1,35,0.0017099759466767,8,-4258.62166194742
1,36,0.00440541340134864,8,-3844.86887680795
1,37,0.0017099759466767,8,-4841.43332156929
1,38,0.0017099759466767,8,-4039.73607046268
1,39,0.0017099759466767,8,-3772.66989515453
1,40,0.0017099759466767,8,-4228.93615603491
1,41,0.0017099759466767,8,-4095.29216516534
1,42,0.0017099759466767,8,-4220.10641576137
1,43,0.00440541340134864,8,-4030.36669785611
1,44,0.0017099759466767,8,-3815.01153950367
1,45,0.00440541340134864,8,-4121.2834028032
1,46,0.0017099759466767,8,-4268.88755591849
1,47,0.0017099759466767,8,-3756.99860035744
1,48,0.00440541340134864,8,-3928.67955070629
1,49,0.0017099759466767,8,-4614.05020940092
1,50,0.0017099759466767,8,-3787.66844648614
1,51,0.00440541340134864,8,-4295.94738753811
1,52,0.0017099759466767,8,-4620.94345061978
1,53,0.0017099759466767,8,-4198.45035270067
1,54,0.00440541340134864,8,-4368.77254540551
1,55,0.0017099759466767,8,-4617.30753387985
1,56,0.0017099759466767,8,-3628.90876768087
1,57,0.0017099759466767,8,-3694.44865920548
1,58,0.0017099759466767,8,-4359.42004454281
1,59,0.0017099759466767,8,-4211.11524598667
1,60,0.0017099759466767,8,-4801.34946305895
1,61,0.0017099759466767,8,-4677.65397132384
1,62,0.0017099759466767,8,-4266.28788947959
1,63,0.000663732883120058,8,-4302.98243462067
1,64,0.00440541340134864,8,-4134.83814064344
1,65,0.00440541340134864,8,-3878.12054329185
1,66,0.0017099759466767,8,-4238.2270577694
1,67,0.00440541340134864,8,-4565.26877250526
1,68,0.00440541340134864,8,-4516.92400565073
1,69,0.0017099759466767,8,-4185.05854645011
1,70,0.00440541340134864,8,-4263.80851148011
1,71,0.0017099759466767,8,-4715.2593577515
1,72,0.000663732883120058,8,-3985.56647566369
1,73,0.00440541340134864,8,-4180.24120456754
1,74,0.000257630138594082,8,-4064.0898168783
1,75,0.00440541340134864,8,-4108.45662009448
1,76,0.0113496726515367,8,-3726.01050545367
1,77,0.000663732883120058,8,-4522.08882678867
1,78,0.0017099759466767,8,-4905.26588160159
1,79,0.0017099759466767,8,-3978.78108972363
1,80,0.0017099759466767,8,-4770.96025908234
1,81,0.0017099759466767,8,-4097.28988751565
1,82,0.000663732883120058,8,-4317.78388332065
1,83,0.0017099759466767,8,-4146.35147711746
1,84,0.00440541340134864,8,-4693.92378786554
1,85,0.000663732883120058,8,-4475.6308646792
1,86,0.0017099759466767,8,-4117.42570804966
1,87,0.00440541340134864,8,-4405.37719228839
1,88,0.0017099759466767,8,-4149.08681590043
1,89,0.0017099759466767,8,-4832.50906279803
1,90,0.0017099759466767,8,-4281.31919781659
1,91,0.000663732883120058,8,-4396.61179326591
1,92,0.00440541340134864,8,-4516.72325027411
1,93,0.00440541340134864,8,-4856.45473115408
1,94,0.0017099759466767,8,-4526.12074341756
1,95,0.0017099759466767,8,-4749.96213420586
1,96,0.0017099759466767,8,-4260.35101818088
1,97,0.000663732883120058,8,-3577.28952991611
1,98,0.00440541340134864,8,-3818.60763960637
1,99,0.0017099759466767,8,-3687.29739687232
1,100,0.00440541340134864,8,-4199.0568830492
