"Alpha","NoiseScale","Iteration","BestLambda","FitCode","LogLik"
0.5,1.5,1,0.0113496726515367,4,-1205.75396679571
0.5,1.5,2,0.0292401773821287,4,-1392.56346226126
0.5,1.5,3,0.0113496726515367,7,-1452.41067087362
0.5,1.5,4,0.0292401773821287,7,-1305.93163496569
0.5,1.5,5,0.0113496726515367,8,-1416.00662670736
0.5,1.5,6,0.0292401773821287,8,-1356.55807343632
0.5,1.5,7,0.0292401773821287,7,-1182.40304373598
0.5,1.5,8,0.0292401773821287,8,-1242.50669199831
0.5,1.5,9,0.0292401773821287,8,-1480.70390133565
0.5,1.5,10,0.0292401773821287,4,-1266.13355596121
0.5,1.5,11,0.0292401773821287,7,-1406.43912547151
0.5,1.5,12,0.0292401773821287,7,-1346.177389227
0.5,1.5,13,0.0292401773821287,7,-1381.75297549384
0.5,1.5,14,0.0292401773821287,4,-1379.28259001062
0.5,1.5,15,0.00440541340134864,4,-1299.20176898587
0.5,1.5,16,0.0292401773821287,8,-1347.81041894408
0.5,1.5,17,0.0292401773821287,8,-1424.75798155798
0.5,1.5,18,0.0292401773821287,4,-1444.64460059993
0.5,1.5,19,0.0753315095147334,7,-1426.2396980815
0.5,1.5,20,0.0292401773821287,7,-1320.17667960461
0.5,1.5,21,0.0292401773821287,4,-1412.35859418757
0.5,1.5,22,0.0292401773821287,7,-1330.90782161819
0.5,1.5,23,0.0017099759466767,4,-1439.38090995829
0.5,1.5,24,0.0292401773821287,7,-1369.29569004218
0.5,1.5,25,0.0292401773821287,8,-1336.23267669641
0.5,1.5,26,0.0292401773821287,7,-1378.25129263774
0.5,1.5,27,0.0113496726515367,8,-1354.31743143622
0.5,1.5,28,0.0292401773821287,7,-1505.00255038135
0.5,1.5,29,0.0292401773821287,8,-1338.72238544301
0.5,1.5,30,0.0292401773821287,4,-1336.46318598769
0.5,1.5,31,0.0292401773821287,8,-1356.29312421876
0.5,1.5,32,0.0292401773821287,4,-1346.1913085091
0.5,1.5,33,0.0292401773821287,7,-1415.75056371332
0.5,1.5,34,0.0292401773821287,8,-1398.32496208007
0.5,1.5,35,0.0292401773821287,7,-1364.27311309567
0.5,1.5,36,0.0113496726515367,8,-1278.54571629058
0.5,1.5,37,0.0292401773821287,7,-1385.07302639714
0.5,1.5,38,0.0292401773821287,4,-1405.04383492457
0.5,1.5,39,0.00440541340134864,4,-1331.48120305632
0.5,1.5,40,0.0292401773821287,8,-1324.45376048539
0.5,1.5,41,0.0292401773821287,7,-1431.78993338505
0.5,1.5,42,0.0292401773821287,4,-1432.32355540978
0.5,1.5,43,0.0292401773821287,7,-1373.28608697278
0.5,1.5,44,0.0292401773821287,4,-1410.04190390327
0.5,1.5,45,0.0292401773821287,7,-1374.7232706294
0.5,1.5,46,0.0292401773821287,8,-1384.07672242803
0.5,1.5,47,0.0292401773821287,4,-1391.81005707887
0.5,1.5,48,0.00440541340134864,7,-1386.39779353072
0.5,1.5,49,0.0292401773821287,8,-1371.04097952131
0.5,1.5,50,0.0292401773821287,8,-1301.09416667006
0.5,1.5,51,0.0292401773821287,7,-1418.81782906664
0.5,1.5,52,0.0292401773821287,8,-1364.39617119569
0.5,1.5,53,0.0292401773821287,7,-1421.14984272868
0.5,1.5,54,0.0292401773821287,7,-1412.37505378047
0.5,1.5,55,0.0113496726515367,4,-1435.04274363705
0.5,1.5,56,0.0292401773821287,4,-1362.09405768924
0.5,1.5,57,0.0292401773821287,8,-1398.57340627442
0.5,1.5,58,0.0292401773821287,7,-1461.76182943105
0.5,1.5,59,0.0292401773821287,8,-1372.53549080862
0.5,1.5,60,0.0292401773821287,7,-1494.39974894893
0.5,1.5,61,0.00440541340134864,7,-1389.32235731609
0.5,1.5,62,0.0292401773821287,7,-1384.46877581609
0.5,1.5,63,0.0292401773821287,4,-1501.18705415149
0.5,1.5,64,0.0113496726515367,7,-1371.42886548199
0.5,1.5,65,0.0292401773821287,8,-1339.19553838629
0.5,1.5,66,0.0292401773821287,7,-1232.93391053441
0.5,1.5,67,0.0292401773821287,8,-1300.28739850416
0.5,1.5,68,0.0113496726515367,4,-1416.6389905406
0.5,1.5,69,0.0113496726515367,7,-1251.60341898824
0.5,1.5,70,0.0292401773821287,4,-1294.83814991611
0.5,1.5,71,0.0292401773821287,8,-1348.20339143372
0.5,1.5,72,0.0292401773821287,4,-1367.16105037157
0.5,1.5,73,0.0292401773821287,7,-1444.97009035981
0.5,1.5,74,0.0292401773821287,7,-1357.45437444905
0.5,1.5,75,0.0292401773821287,4,-1372.88103112918
0.5,1.5,76,0.0113496726515367,8,-1517.58547313931
0.5,1.5,77,0.0292401773821287,7,-1319.58302086381
0.5,1.5,78,0.0292401773821287,8,-1269.93819574997
0.5,1.5,79,0.0292401773821287,4,-1284.48904437908
0.5,1.5,80,0.0113496726515367,4,-1356.92263442867
0.5,1.5,81,0.0292401773821287,7,-1313.94560424966
0.5,1.5,82,0.0113496726515367,7,-1363.92312645755
0.5,1.5,83,0.0292401773821287,4,-1376.87109402673
0.5,1.5,84,0.0113496726515367,4,-1358.51894593156
0.5,1.5,85,0.0292401773821287,8,-1362.68554475928
0.5,1.5,86,0.0292401773821287,8,-1321.60872214824
0.5,1.5,87,0.0292401773821287,8,-1389.3351313241
0.5,1.5,88,0.0292401773821287,8,-1454.44470191457
0.5,1.5,89,0.0292401773821287,7,-1388.66846993203
0.5,1.5,90,0.0292401773821287,7,-1370.09232560018
0.5,1.5,91,0.0292401773821287,7,-1245.27274340355
0.5,1.5,92,0.0292401773821287,4,-1367.18712665041
0.5,1.5,93,0.0113496726515367,4,-1285.71231504916
0.5,1.5,94,0.0292401773821287,8,-1471.57145606452
0.5,1.5,95,0.0292401773821287,4,-1365.80551380601
0.5,1.5,96,0.0753315095147334,7,-1426.28515485143
0.5,1.5,97,0.0292401773821287,7,-1395.46685396313
0.5,1.5,98,0.0292401773821287,8,-1478.42518467953
0.5,1.5,99,0.0753315095147334,7,-1486.0277630279
0.5,1.5,100,0.0292401773821287,7,-1462.5960508237
