"Alpha","NoiseScale","Threshold","Iteration","Interaction","TrueBeta","Estimate","Detected"
1,1.75,1e-04,1,"ASC2_male",0,-9.52284676324813e-07,0
1,1.75,1e-04,1,"ASC2_age",0.6,0.39498489415198,1
1,1.75,1e-04,1,"ASC2_income",0,-6.23299261740593e-10,0
1,1.75,1e-04,1,"ASC2_child",0,-0.0590694088407245,1
1,1.75,1e-04,1,"ASC3_male",0,0.0102111327920108,1
1,1.75,1e-04,1,"ASC3_age",-1,-0.481387488903335,1
1,1.75,1e-04,1,"ASC3_income",0,-0.00431351644109209,1
1,1.75,1e-04,1,"ASC3_child",0.2,0.157359002238244,1
1,1.75,1e-04,1,"prot25_male",0,0.194467763068379,1
1,1.75,1e-04,1,"prot25_age",-1,-0.593734535243604,1
1,1.75,1e-04,1,"prot25_income",0,-0.0284218862597479,1
1,1.75,1e-04,1,"prot25_child",1.1,0.494044050047323,1
1,1.75,1e-04,1,"prot50_male",-0.2,-1.00540119393922e-06,0
1,1.75,1e-04,1,"prot50_age",0.5,0.185899440370873,1
1,1.75,1e-04,1,"prot50_income",0.6,0.238396887102497,1
1,1.75,1e-04,1,"prot50_child",0,-3.99210272264459e-07,0
1,1.75,1e-04,1,"invasive_male",-0.2,-3.03656965454997e-06,0
1,1.75,1e-04,1,"invasive_age",0,-0.0429161634372875,1
1,1.75,1e-04,1,"invasive_income",-0.3,-0.257675573702539,1
1,1.75,1e-04,1,"invasive_child",0,-3.81581525421701e-07,0
1,1.75,1e-04,2,"ASC2_male",0.2,-3.37098680682274e-06,0
1,1.75,1e-04,2,"ASC2_age",0,-0.0488035688905954,1
1,1.75,1e-04,2,"ASC2_income",0.2,0.0186892892669175,1
1,1.75,1e-04,2,"ASC2_child",0,-5.14249988037236e-14,0
1,1.75,1e-04,2,"ASC3_male",-0.2,-0.188447942824445,1
1,1.75,1e-04,2,"ASC3_age",0,-6.08729082882766e-08,0
1,1.75,1e-04,2,"ASC3_income",0.9,0.315416164988994,1
1,1.75,1e-04,2,"ASC3_child",0,-0.0826650612808245,1
1,1.75,1e-04,2,"prot25_male",0,4.40737134084335e-06,0
1,1.75,1e-04,2,"prot25_age",-0.4,-0.102780171685085,1
1,1.75,1e-04,2,"prot25_income",0,0.0459898242727918,1
1,1.75,1e-04,2,"prot25_child",-0.9,-0.000536299990793842,1
1,1.75,1e-04,2,"prot50_male",0,-8.32190675288584e-05,0
1,1.75,1e-04,2,"prot50_age",-1,-0.453794119257005,1
1,1.75,1e-04,2,"prot50_income",0,0.144376631164542,1
1,1.75,1e-04,2,"prot50_child",0,0.53236765892362,1
1,1.75,1e-04,2,"invasive_male",0.7,0.00118449532665217,1
1,1.75,1e-04,2,"invasive_age",0,0.0799978704792202,1
1,1.75,1e-04,2,"invasive_income",-0.2,-0.0515862801860576,1
1,1.75,1e-04,2,"invasive_child",-1,-0.284512142106302,1
1,1.75,1e-04,3,"ASC2_male",0,1.46660544679059e-08,0
1,1.75,1e-04,3,"ASC2_age",0.4,-5.15256544030391e-09,0
1,1.75,1e-04,3,"ASC2_income",-0.7,-0.433017120171258,1
1,1.75,1e-04,3,"ASC2_child",0,-0.0251789005793156,1
1,1.75,1e-04,3,"ASC3_male",0,-5.40018004086724e-09,0
1,1.75,1e-04,3,"ASC3_age",0,-0.259693547481904,1
1,1.75,1e-04,3,"ASC3_income",0,-3.82834053697728e-08,0
1,1.75,1e-04,3,"ASC3_child",0,-2.28410490959518e-09,0
1,1.75,1e-04,3,"prot25_male",0.3,0.0952431273440603,1
1,1.75,1e-04,3,"prot25_age",-0.9,-0.517510628546793,1
1,1.75,1e-04,3,"prot25_income",0,-0.0699716114157461,1
1,1.75,1e-04,3,"prot25_child",-0.3,-2.56392145131245e-08,0
1,1.75,1e-04,3,"prot50_male",0,-2.00619634353166e-12,0
1,1.75,1e-04,3,"prot50_age",0,0.0927731120187477,1
1,1.75,1e-04,3,"prot50_income",0.2,0.0992836948969699,1
1,1.75,1e-04,3,"prot50_child",0,-9.99314786620941e-09,0
1,1.75,1e-04,3,"invasive_male",-0.4,-0.236112501220898,1
1,1.75,1e-04,3,"invasive_age",1,0.236485688295069,1
1,1.75,1e-04,3,"invasive_income",1.1,0.502511590828928,1
1,1.75,1e-04,3,"invasive_child",1,0.349592615925832,1
1,1.75,1e-04,4,"ASC2_male",0,0.049080996027512,1
1,1.75,1e-04,4,"ASC2_age",0.7,0.312829256521408,1
1,1.75,1e-04,4,"ASC2_income",0.6,0.343570061350107,1
1,1.75,1e-04,4,"ASC2_child",1,0.303984394793997,1
