"Alpha","NoiseScale","Threshold","Iteration","Interaction","TrueBeta","Estimate","Detected"
1,2,1e-04,1,"ASC2_male",0,-1.14880652311588e-08,0
1,2,1e-04,1,"ASC2_age",0.6,0.308147528653356,1
1,2,1e-04,1,"ASC2_income",0,2.35053524013038e-09,0
1,2,1e-04,1,"ASC2_child",0,-0.0489991710572405,1
1,2,1e-04,1,"ASC3_male",0,0.00735168895696738,1
1,2,1e-04,1,"ASC3_age",-1,-0.457006034892189,1
1,2,1e-04,1,"ASC3_income",0,-8.34409566871079e-09,0
1,2,1e-04,1,"ASC3_child",0.2,0.177922587480486,1
1,2,1e-04,1,"prot25_male",0,0.180107678885899,1
1,2,1e-04,1,"prot25_age",-1,-0.488626802220188,1
1,2,1e-04,1,"prot25_income",0,-0.0204832122207724,1
1,2,1e-04,1,"prot25_child",1.1,0.493716580926236,1
1,2,1e-04,1,"prot50_male",-0.2,-1.32948285866711e-08,0
1,2,1e-04,1,"prot50_age",0.5,0.182126369833234,1
1,2,1e-04,1,"prot50_income",0.6,0.219556074146394,1
1,2,1e-04,1,"prot50_child",0,-1.70157428540207e-08,0
1,2,1e-04,1,"invasive_male",-0.2,-8.23335715790305e-09,0
1,2,1e-04,1,"invasive_age",0,-0.0568983678414117,1
1,2,1e-04,1,"invasive_income",-0.3,-0.231075077709562,1
1,2,1e-04,1,"invasive_child",0,-1.14840952046618e-08,0
1,2,1e-04,2,"ASC2_male",0.2,-1.0863480148965e-08,0
1,2,1e-04,2,"ASC2_age",0,-0.0134820385941316,1
1,2,1e-04,2,"ASC2_income",0.2,0.0467532462598582,1
1,2,1e-04,2,"ASC2_child",0,4.9066543680841e-08,0
1,2,1e-04,2,"ASC3_male",-0.2,-0.146778324280061,1
1,2,1e-04,2,"ASC3_age",0,-3.90346432661611e-07,0
1,2,1e-04,2,"ASC3_income",0.9,0.295519482817772,1
1,2,1e-04,2,"ASC3_child",0,-0.0167623850939254,1
1,2,1e-04,2,"prot25_male",0,3.64099492558328e-09,0
1,2,1e-04,2,"prot25_age",-0.4,-0.0845738031389192,1
1,2,1e-04,2,"prot25_income",0,0.0311991514844113,1
1,2,1e-04,2,"prot25_child",-0.9,-1.75398932818781e-08,0
1,2,1e-04,2,"prot50_male",0,-0.0561092941305007,1
1,2,1e-04,2,"prot50_age",-1,-0.381190883818358,1
1,2,1e-04,2,"prot50_income",0,0.126153856368746,1
1,2,1e-04,2,"prot50_child",0,0.459151217067208,1
1,2,1e-04,2,"invasive_male",0.7,0.000919985782306201,1
1,2,1e-04,2,"invasive_age",0,0.0743875267887272,1
1,2,1e-04,2,"invasive_income",-0.2,-9.63847859921647e-08,0
1,2,1e-04,2,"invasive_child",-1,-0.167498175905212,1
1,2,1e-04,3,"ASC2_male",0,-8.48501697422206e-09,0
1,2,1e-04,3,"ASC2_age",0.4,-4.2085571174103e-09,0
1,2,1e-04,3,"ASC2_income",-0.7,-0.358385950680214,1
1,2,1e-04,3,"ASC2_child",0,-0.0116982470203312,1
1,2,1e-04,3,"ASC3_male",0,-3.9175125370849e-09,0
1,2,1e-04,3,"ASC3_age",0,-0.225511771919483,1
1,2,1e-04,3,"ASC3_income",0,-0.00742712814065713,1
1,2,1e-04,3,"ASC3_child",0,-6.10766488590793e-09,0
1,2,1e-04,3,"prot25_male",0.3,0.0608183058275685,1
1,2,1e-04,3,"prot25_age",-0.9,-0.496800349942995,1
1,2,1e-04,3,"prot25_income",0,-0.0252878190644457,1
