"Alpha","Threshold","Iteration","Interaction","TrueBeta","Estimate","Detected"
0.5,1e-04,1,"ASC2_male",0.9,0.660779914492855,1
0.5,1e-04,1,"ASC2_age",0.3,0.421640191098611,1
0.5,1e-04,1,"ASC2_income",0,-0.337341967871991,1
0.5,1e-04,1,"ASC2_child",0,-0.0721127929461785,1
0.5,1e-04,1,"ASC3_male",-1.1,-0.782871377302664,1
0.5,1e-04,1,"ASC3_age",0,0.00132382514704708,1
0.5,1e-04,1,"ASC3_income",0.8,0.149303269193073,1
0.5,1e-04,1,"ASC3_child",0,-0.332747405128955,1
0.5,1e-04,1,"prot25_male",1.2,1.08651474904276,1
0.5,1e-04,1,"prot25_age",0.7,0.676286380648764,1
0.5,1e-04,1,"prot25_income",0,0.370387215292448,1
0.5,1e-04,1,"prot25_child",1.1,0.291037829636753,1
0.5,1e-04,1,"prot50_male",0,0.198600029589342,1
0.5,1e-04,1,"prot50_age",0,-0.059987888340361,1
0.5,1e-04,1,"prot50_income",-1.2,-0.473869149670309,1
0.5,1e-04,1,"prot50_child",1.1,0.438086167848624,1
0.5,1e-04,1,"invasive_male",0,0.248502674781308,1
0.5,1e-04,1,"invasive_age",-0.6,-0.657552207518391,1
0.5,1e-04,1,"invasive_income",0,0.0995220975782561,1
0.5,1e-04,1,"invasive_child",0,-0.412099513545443,1
0.5,1e-04,2,"ASC2_male",0,-0.100539604678334,1
0.5,1e-04,2,"ASC2_age",0.1,0.0351628559178789,1
0.5,1e-04,2,"ASC2_income",0.7,0.359760153293228,1
0.5,1e-04,2,"ASC2_child",-0.4,-0.0655798815973181,1
0.5,1e-04,2,"ASC3_male",0,0.160967525708668,1
0.5,1e-04,2,"ASC3_age",0.4,0.000455223438394132,1
0.5,1e-04,2,"ASC3_income",-0.8,-0.490007790511166,1
0.5,1e-04,2,"ASC3_child",0,-0.000458579677337023,1
0.5,1e-04,2,"prot25_male",0.5,0.881707909728821,1
0.5,1e-04,2,"prot25_age",0.8,0.596460241609187,1
0.5,1e-04,2,"prot25_income",0,-0.000325333520715956,1
0.5,1e-04,2,"prot25_child",0,-0.0905873571000243,1
0.5,1e-04,2,"prot50_male",0,-0.00370413086403845,1
0.5,1e-04,2,"prot50_age",0,0.000108196849917032,1
0.5,1e-04,2,"prot50_income",0,-0.16543186488093,1
0.5,1e-04,2,"prot50_child",0,0.000192982562155116,1
0.5,1e-04,2,"invasive_male",1,0.196937525708728,1
0.5,1e-04,2,"invasive_age",-0.1,-0.0085143488270729,1
0.5,1e-04,2,"invasive_income",0,0.000139462959476914,1
0.5,1e-04,2,"invasive_child",-0.6,-0.0343751049501344,1
0.5,1e-04,3,"ASC2_male",-0.9,-0.661661314897885,1
0.5,1e-04,3,"ASC2_age",-0.4,-0.471984222738541,1
0.5,1e-04,3,"ASC2_income",0,-0.156555140741522,1
0.5,1e-04,3,"ASC2_child",0,-0.655326322872582,1
0.5,1e-04,3,"ASC3_male",-0.7,-0.748283651083108,1
0.5,1e-04,3,"ASC3_age",0,-0.141510011948787,1
0.5,1e-04,3,"ASC3_income",0,-0.0908936975956933,1
0.5,1e-04,3,"ASC3_child",1,0.769863725808477,1
0.5,1e-04,3,"prot25_male",0,0.45185853146755,1
0.5,1e-04,3,"prot25_age",0,0.162396928208322,1
0.5,1e-04,3,"prot25_income",0,0.190549331687201,1
0.5,1e-04,3,"prot25_child",0,2.93039555542407e-06,0
0.5,1e-04,3,"prot50_male",0.7,0.883643763294283,1
0.5,1e-04,3,"prot50_age",-0.2,-0.119390362000154,1
0.5,1e-04,3,"prot50_income",-1,-1.05645799626478,1
0.5,1e-04,3,"prot50_child",-0.8,-0.847485060794303,1
0.5,1e-04,3,"invasive_male",0,0.201976570701529,1
0.5,1e-04,3,"invasive_age",0,0.112614890335918,1
0.5,1e-04,3,"invasive_income",-1.2,-1.31659234642218,1
0.5,1e-04,3,"invasive_child",1,0.754973171125679,1
0.5,1e-04,4,"ASC2_male",0,0.711233994339876,1
0.5,1e-04,4,"ASC2_age",-0.1,-0.406963614430421,1
0.5,1e-04,4,"ASC2_income",0,0.0955647223149376,1
0.5,1e-04,4,"ASC2_child",-0.6,-1.90353255313574,1
0.5,1e-04,4,"ASC3_male",0,0.0599259894433654,1
0.5,1e-04,4,"ASC3_age",1,1.1054795726012,1
0.5,1e-04,4,"ASC3_income",0,-0.547573408636046,1
0.5,1e-04,4,"ASC3_child",0,-0.932154615809148,1
0.5,1e-04,4,"prot25_male",0,-1.06013314451849,1
0.5,1e-04,4,"prot25_age",-0.5,-0.501269204090903,1
0.5,1e-04,4,"prot25_income",0,0.0651138468118442,1
0.5,1e-04,4,"prot25_child",0,0.578854443834022,1
0.5,1e-04,4,"prot50_male",0.1,-0.628989474173041,1
0.5,1e-04,4,"prot50_age",1,1.57094921732756,1
0.5,1e-04,4,"prot50_income",0,-0.201430215621622,1
0.5,1e-04,4,"prot50_child",-1,-0.0257897932117958,1
0.5,1e-04,4,"invasive_male",-1,-1.10156850175921,1
0.5,1e-04,4,"invasive_age",-0.9,-0.534740803179525,1
0.5,1e-04,4,"invasive_income",-0.3,-0.787724235372839,1
0.5,1e-04,4,"invasive_child",0,-0.0808984883012635,1
0.5,1e-04,5,"ASC2_male",0,0.0813865117845186,1
0.5,1e-04,5,"ASC2_age",0.7,0.730355316482618,1
0.5,1e-04,5,"ASC2_income",-0.4,-0.644588487692536,1
0.5,1e-04,5,"ASC2_child",-0.3,0.108230856551112,1
0.5,1e-04,5,"ASC3_male",0,-0.00967853638036622,1
0.5,1e-04,5,"ASC3_age",0,-0.0858869176795641,1
0.5,1e-04,5,"ASC3_income",0.9,0.821329788048853,1
0.5,1e-04,5,"ASC3_child",-0.6,-0.0020075659758609,1
0.5,1e-04,5,"prot25_male",0.9,0.967587153393382,1
0.5,1e-04,5,"prot25_age",0,-0.113492253648036,1
0.5,1e-04,5,"prot25_income",-0.3,-0.764209826391165,1
0.5,1e-04,5,"prot25_child",0,-0.452375568530885,1
0.5,1e-04,5,"prot50_male",0.4,0.0917840792276905,1
0.5,1e-04,5,"prot50_age",0,0.266149554136685,1
0.5,1e-04,5,"prot50_income",0.5,0.337676012269255,1
0.5,1e-04,5,"prot50_child",0,0.0010216156863775,1
0.5,1e-04,5,"invasive_male",0.7,0.398024099771133,1
0.5,1e-04,5,"invasive_age",0,-0.149258395310555,1
0.5,1e-04,5,"invasive_income",0,0.164878100005412,1
0.5,1e-04,5,"invasive_child",0,0.230964716276055,1
0.5,1e-04,6,"ASC2_male",0.4,-0.490895213769937,1
0.5,1e-04,6,"ASC2_age",0.7,1.19908936273136,1
0.5,1e-04,6,"ASC2_income",0,0.157070794198826,1
0.5,1e-04,6,"ASC2_child",0,-0.187676615783682,1
0.5,1e-04,6,"ASC3_male",0,-0.261205596871626,1
0.5,1e-04,6,"ASC3_age",0,0.0398817404381715,1
0.5,1e-04,6,"ASC3_income",0,0.276714497862664,1
0.5,1e-04,6,"ASC3_child",1.2,1.29171970001751,1
0.5,1e-04,6,"prot25_male",-0.4,0.249134614114144,1
0.5,1e-04,6,"prot25_age",-0.3,-0.956466854274147,1
0.5,1e-04,6,"prot25_income",0,0.376265945569807,1
0.5,1e-04,6,"prot25_child",0,-0.22600250309746,1
0.5,1e-04,6,"prot50_male",0,0.340607494059912,1
0.5,1e-04,6,"prot50_age",-1.1,-1.84393307790583,1
0.5,1e-04,6,"prot50_income",-0.2,-0.0494661895330035,1
0.5,1e-04,6,"prot50_child",-0.2,-0.39820409235567,1
0.5,1e-04,6,"invasive_male",0,-0.562520400430724,1
0.5,1e-04,6,"invasive_age",1,0.992014509034004,1
0.5,1e-04,6,"invasive_income",0,0.271321900248807,1
0.5,1e-04,6,"invasive_child",0.9,0.678711597876258,1
0.5,1e-04,7,"ASC2_male",0.8,0.487235182375887,1
0.5,1e-04,7,"ASC2_age",0,0.00105403303854312,1
0.5,1e-04,7,"ASC2_income",0,0.18752308279432,1
0.5,1e-04,7,"ASC2_child",1.2,1.2736013127956,1
0.5,1e-04,7,"ASC3_male",-0.7,-0.141975922459053,1
0.5,1e-04,7,"ASC3_age",0,0.0293683197739862,1
0.5,1e-04,7,"ASC3_income",0,0.00313960472640259,1
0.5,1e-04,7,"ASC3_child",-1,-0.614645979419304,1
0.5,1e-04,7,"prot25_male",1.2,0.606339020935742,1
0.5,1e-04,7,"prot25_age",0.8,0.33489991962904,1
0.5,1e-04,7,"prot25_income",0,0.292219656638926,1
0.5,1e-04,7,"prot25_child",0.7,0.000998698870560131,1
0.5,1e-04,7,"prot50_male",0,-0.0667928692547486,1
0.5,1e-04,7,"prot50_age",-0.4,-0.814376017111565,1
0.5,1e-04,7,"prot50_income",0,-0.000735955549267906,1
0.5,1e-04,7,"prot50_child",0.6,0.00354644609840986,1
0.5,1e-04,7,"invasive_male",0,0.00122734778427291,1
0.5,1e-04,7,"invasive_age",0,-0.173377015597114,1
0.5,1e-04,7,"invasive_income",1.1,0.563010119322209,1
0.5,1e-04,7,"invasive_child",0,0.00130265357743472,1
0.5,1e-04,8,"ASC2_male",0,-0.21257889484905,1
0.5,1e-04,8,"ASC2_age",-1.2,-0.524077070593915,1
0.5,1e-04,8,"ASC2_income",0,1.18025764656939e-06,0
0.5,1e-04,8,"ASC2_child",0,-0.244133816865901,1
0.5,1e-04,8,"ASC3_male",-0.3,-0.0661629220015594,1
0.5,1e-04,8,"ASC3_age",0.9,1.61933344743591,1
0.5,1e-04,8,"ASC3_income",0,-0.264854054455157,1
0.5,1e-04,8,"ASC3_child",1.2,0.887929175399282,1
0.5,1e-04,8,"prot25_male",0,7.1925067792306e-06,0
0.5,1e-04,8,"prot25_age",-0.2,0.0621525520654191,1
0.5,1e-04,8,"prot25_income",0,0.287228933895269,1
0.5,1e-04,8,"prot25_child",1.1,1.27024894972508,1
0.5,1e-04,8,"prot50_male",1.1,0.908628226135973,1
0.5,1e-04,8,"prot50_age",0,0.0605771264007643,1
0.5,1e-04,8,"prot50_income",-0.2,-0.0754294825366866,1
0.5,1e-04,8,"prot50_child",0,0.0775724551061774,1
0.5,1e-04,8,"invasive_male",0,-0.00111204930314759,1
0.5,1e-04,8,"invasive_age",0.7,0.749819180282729,1
0.5,1e-04,8,"invasive_income",0.3,0.0120235777381828,1
0.5,1e-04,8,"invasive_child",0,0.23951790184762,1
0.5,1e-04,9,"ASC2_male",1,1.06736276873906,1
0.5,1e-04,9,"ASC2_age",0,0.200637585765536,1
0.5,1e-04,9,"ASC2_income",0,0.039099539731942,1
0.5,1e-04,9,"ASC2_child",-1.2,-1.02703936375768,1
0.5,1e-04,9,"ASC3_male",0.9,0.290155432763232,1
0.5,1e-04,9,"ASC3_age",-0.6,-0.363618769318004,1
0.5,1e-04,9,"ASC3_income",0,0.126971148424006,1
0.5,1e-04,9,"ASC3_child",-0.9,-0.849208399313799,1
0.5,1e-04,9,"prot25_male",-0.3,-0.00730748045472189,1
0.5,1e-04,9,"prot25_age",0,-0.324180303830083,1
0.5,1e-04,9,"prot25_income",0,0.0896423865788493,1
0.5,1e-04,9,"prot25_child",0,-0.0551343965596029,1
0.5,1e-04,9,"prot50_male",-0.2,0.212742328084914,1
0.5,1e-04,9,"prot50_age",0.6,0.79999393839628,1
0.5,1e-04,9,"prot50_income",-0.7,-0.88134772346569,1
0.5,1e-04,9,"prot50_child",0,0.091410714775157,1
0.5,1e-04,9,"invasive_male",0,-0.231949729714443,1
0.5,1e-04,9,"invasive_age",0,0.273475156909412,1
0.5,1e-04,9,"invasive_income",-0.7,-0.552398715355511,1
0.5,1e-04,9,"invasive_child",0,0.0152639240870941,1
0.5,1e-04,10,"ASC2_male",0.9,0.884737983206017,1
0.5,1e-04,10,"ASC2_age",0,-0.0944770248107278,1
0.5,1e-04,10,"ASC2_income",1.2,0.961447096699921,1
0.5,1e-04,10,"ASC2_child",-0.8,-0.851730581062126,1
0.5,1e-04,10,"ASC3_male",0.4,-0.000331898909575292,1
0.5,1e-04,10,"ASC3_age",-0.4,-0.321636079613731,1
0.5,1e-04,10,"ASC3_income",0,-0.000252379691836857,1
0.5,1e-04,10,"ASC3_child",0,-0.000112956686513356,1
0.5,1e-04,10,"prot25_male",1,0.688375575537373,1
0.5,1e-04,10,"prot25_age",0,-0.0120061459001166,1
0.5,1e-04,10,"prot25_income",0,0.0166524893584353,1
0.5,1e-04,10,"prot25_child",0,-0.354899561078516,1
0.5,1e-04,10,"prot50_male",0.4,0.0461788628604516,1
0.5,1e-04,10,"prot50_age",0,-0.0607106164660696,1
0.5,1e-04,10,"prot50_income",0,0.000432886329518455,1
0.5,1e-04,10,"prot50_child",0.7,0.924332812406846,1
0.5,1e-04,10,"invasive_male",0,-0.403913807544461,1
0.5,1e-04,10,"invasive_age",0.6,0.885757527876114,1
0.5,1e-04,10,"invasive_income",0,-0.0565656470636618,1
0.5,1e-04,10,"invasive_child",-0.7,-0.262804087838822,1
0.5,1e-04,11,"ASC2_male",1.1,0.398858402695669,1
0.5,1e-04,11,"ASC2_age",-0.5,0.000550194360387755,1
0.5,1e-04,11,"ASC2_income",0,-0.129137123847513,1
0.5,1e-04,11,"ASC2_child",-0.5,0.240463927090635,1
0.5,1e-04,11,"ASC3_male",0,-0.283395758756305,1
0.5,1e-04,11,"ASC3_age",0,0.107674027161736,1
0.5,1e-04,11,"ASC3_income",-0.7,-0.771143372501651,1
0.5,1e-04,11,"ASC3_child",0,0.000746543327139458,1
0.5,1e-04,11,"prot25_male",0,0.690190739043766,1
0.5,1e-04,11,"prot25_age",0.7,0.458071996748048,1
0.5,1e-04,11,"prot25_income",0,-0.0954593210359934,1
0.5,1e-04,11,"prot25_child",0,-0.270786901492407,1
0.5,1e-04,11,"prot50_male",-1,-0.00113332592593218,1
0.5,1e-04,11,"prot50_age",0.7,0.505424411789603,1
0.5,1e-04,11,"prot50_income",0.1,0.000875778500390859,1
0.5,1e-04,11,"prot50_child",1.2,0.784702759117929,1
0.5,1e-04,11,"invasive_male",0,-0.135160045465229,1
0.5,1e-04,11,"invasive_age",0,0.220059920472021,1
0.5,1e-04,11,"invasive_income",-0.2,-0.311105500508403,1
0.5,1e-04,11,"invasive_child",0,-0.239056544417826,1
0.5,1e-04,12,"ASC2_male",0,-0.0179478682457161,1
0.5,1e-04,12,"ASC2_age",0.8,0.710300577628739,1
0.5,1e-04,12,"ASC2_income",0,-0.162300400770007,1
0.5,1e-04,12,"ASC2_child",0,-0.141937726765593,1
0.5,1e-04,12,"ASC3_male",0.6,0.22309096453327,1
0.5,1e-04,12,"ASC3_age",0.2,0.000140795603666703,1
0.5,1e-04,12,"ASC3_income",0,-0.390234464129577,1
0.5,1e-04,12,"ASC3_child",0,-0.272556520569234,1
0.5,1e-04,12,"prot25_male",0,0.369859245614274,1
0.5,1e-04,12,"prot25_age",-0.9,-0.793761187420398,1
0.5,1e-04,12,"prot25_income",0,-0.00696817887926587,1
0.5,1e-04,12,"prot25_child",0.2,0.54745753211734,1
0.5,1e-04,12,"prot50_male",-0.7,-0.553010918944037,1
0.5,1e-04,12,"prot50_age",-0.6,-0.306212939964858,1
0.5,1e-04,12,"prot50_income",0,0.131575826676731,1
0.5,1e-04,12,"prot50_child",0,0.172344655000684,1
0.5,1e-04,12,"invasive_male",-0.7,-1.53262495219543,1
0.5,1e-04,12,"invasive_age",-1.2,-1.1904685001744,1
0.5,1e-04,12,"invasive_income",-1.1,-1.08564382168078,1
0.5,1e-04,12,"invasive_child",0,0.000871071712428165,1
0.5,1e-04,13,"ASC2_male",-0.7,-1.10450487733254,1
0.5,1e-04,13,"ASC2_age",-0.3,-0.148831654223236,1
0.5,1e-04,13,"ASC2_income",0,-0.0010325567313973,1
0.5,1e-04,13,"ASC2_child",0,0.00177218867256507,1
0.5,1e-04,13,"ASC3_male",0,-0.674765394677936,1
0.5,1e-04,13,"ASC3_age",0,-0.00410499318090848,1
0.5,1e-04,13,"ASC3_income",0,-0.128493023441877,1
0.5,1e-04,13,"ASC3_child",-1.1,-0.789929530632653,1
0.5,1e-04,13,"prot25_male",-0.5,-0.444039225367298,1
0.5,1e-04,13,"prot25_age",0,0.256458424749172,1
0.5,1e-04,13,"prot25_income",0.3,0.261801593923815,1
0.5,1e-04,13,"prot25_child",-0.3,0.105517454301447,1
0.5,1e-04,13,"prot50_male",0.9,1.08978126159741,1
0.5,1e-04,13,"prot50_age",1,1.05446783380615,1
0.5,1e-04,13,"prot50_income",-0.5,-0.523472373644539,1
0.5,1e-04,13,"prot50_child",0,0.380363998003313,1
0.5,1e-04,13,"invasive_male",0,-0.35258840962313,1
0.5,1e-04,13,"invasive_age",0,0.451418346473164,1
0.5,1e-04,13,"invasive_income",1,0.954083460346812,1
0.5,1e-04,13,"invasive_child",0,-0.281420248776779,1
0.5,1e-04,14,"ASC2_male",0.7,0.697111307106411,1
0.5,1e-04,14,"ASC2_age",0,-0.155104360346395,1
0.5,1e-04,14,"ASC2_income",0,0.415880215375397,1
0.5,1e-04,14,"ASC2_child",-1.2,-1.12562416860578,1
0.5,1e-04,14,"ASC3_male",-1.1,-1.94292600421856,1
0.5,1e-04,14,"ASC3_age",0,0.454929854580373,1
0.5,1e-04,14,"ASC3_income",0,-0.23118613602101,1
0.5,1e-04,14,"ASC3_child",0,0.471013029109972,1
0.5,1e-04,14,"prot25_male",0,0.539290914119634,1
0.5,1e-04,14,"prot25_age",-0.2,-0.369255675640105,1
0.5,1e-04,14,"prot25_income",-1,-0.682947780528922,1
0.5,1e-04,14,"prot25_child",-0.2,0.0130476807567544,1
0.5,1e-04,14,"prot50_male",0,-0.445895825829122,1
0.5,1e-04,14,"prot50_age",-1,-0.979207834930179,1
0.5,1e-04,14,"prot50_income",1,1.28239510781565,1
0.5,1e-04,14,"prot50_child",0,0.311088020367556,1
0.5,1e-04,14,"invasive_male",0,-0.164250252492338,1
0.5,1e-04,14,"invasive_age",0.6,0.936221522812709,1
0.5,1e-04,14,"invasive_income",0.2,0.203452145025234,1
0.5,1e-04,14,"invasive_child",0,0.291932436960091,1
0.5,1e-04,15,"ASC2_male",-0.1,-0.0635892081043678,1
0.5,1e-04,15,"ASC2_age",-0.6,-0.593386270108205,1
0.5,1e-04,15,"ASC2_income",0.3,0.0967685028414109,1
0.5,1e-04,15,"ASC2_child",0,-0.0296343894271465,1
0.5,1e-04,15,"ASC3_male",0,0.170805691547134,1
0.5,1e-04,15,"ASC3_age",0,0.0123076239010102,1
0.5,1e-04,15,"ASC3_income",1.1,0.716573522158706,1
0.5,1e-04,15,"ASC3_child",1.2,0.569123188888454,1
0.5,1e-04,15,"prot25_male",0,0.187888501195279,1
0.5,1e-04,15,"prot25_age",0,-0.0747306537223899,1
0.5,1e-04,15,"prot25_income",0,-0.241055094253163,1
0.5,1e-04,15,"prot25_child",0.8,1.12422691613352,1
0.5,1e-04,15,"prot50_male",0,-0.109618127957203,1
0.5,1e-04,15,"prot50_age",0.8,0.689418718003094,1
0.5,1e-04,15,"prot50_income",0.2,-0.155682184622471,1
0.5,1e-04,15,"prot50_child",0,-0.0905010016729756,1
0.5,1e-04,15,"invasive_male",0,0.150178252567568,1
0.5,1e-04,15,"invasive_age",-1.2,-1.17024932877685,1
0.5,1e-04,15,"invasive_income",0,-0.206498332014564,1
0.5,1e-04,15,"invasive_child",0.9,0.182488354859808,1
0.5,1e-04,16,"ASC2_male",1,0.298650309398532,1
0.5,1e-04,16,"ASC2_age",1,1.14485807704913,1
0.5,1e-04,16,"ASC2_income",0,-0.0718355044697803,1
0.5,1e-04,16,"ASC2_child",0,-0.810352632431641,1
0.5,1e-04,16,"ASC3_male",0.7,0.434386806513882,1
0.5,1e-04,16,"ASC3_age",0,0.0196847404655812,1
0.5,1e-04,16,"ASC3_income",0,-0.42890886398355,1
0.5,1e-04,16,"ASC3_child",-1,-1.57898058167318,1
0.5,1e-04,16,"prot25_male",0,0.011156795742565,1
0.5,1e-04,16,"prot25_age",0.2,0.34965017627131,1
0.5,1e-04,16,"prot25_income",0,-3.6344290682193e-05,0
0.5,1e-04,16,"prot25_child",0,0.728469356541508,1
0.5,1e-04,16,"prot50_male",0.9,1.44275012691745,1
0.5,1e-04,16,"prot50_age",0.5,0.702750609792084,1
0.5,1e-04,16,"prot50_income",0,-3.77815404895343e-05,0
0.5,1e-04,16,"prot50_child",-0.3,-0.090621294140521,1
0.5,1e-04,16,"invasive_male",-0.4,-0.512654125474968,1
0.5,1e-04,16,"invasive_age",0,2.19520101367867e-08,0
0.5,1e-04,16,"invasive_income",0.2,-2.40919476748235e-06,0
0.5,1e-04,16,"invasive_child",0,-0.426314813686251,1
0.5,1e-04,17,"ASC2_male",0.6,0.113803985878651,1
0.5,1e-04,17,"ASC2_age",-1,-1.1760004742071,1
0.5,1e-04,17,"ASC2_income",1,0.972685194285486,1
0.5,1e-04,17,"ASC2_child",0.8,0.375256522448842,1
0.5,1e-04,17,"ASC3_male",0,-0.429849632070032,1
0.5,1e-04,17,"ASC3_age",0,-0.000127473524078206,1
0.5,1e-04,17,"ASC3_income",0.7,0.793325068471051,1
0.5,1e-04,17,"ASC3_child",-0.4,-0.860209170294049,1
0.5,1e-04,17,"prot25_male",0,-0.00294980420872874,1
0.5,1e-04,17,"prot25_age",0,-0.166786390242639,1
