"Alpha","NoiseScale","Iteration","BestLambda","FitCode","LogLik"
0.5,2,1,0.194076672367821,8,-296.996764982703
0.5,2,2,0.194076672367821,8,-300.459337976601
0.5,2,3,0.0753315095147334,8,-297.919288822193
0.5,2,4,0.0753315095147334,7,-286.056086363259
0.5,2,5,0.194076672367821,8,-295.566041513653
0.5,2,6,0.194076672367821,7,-308.795194783849
0.5,2,7,0.194076672367821,9,-281.453197501718
0.5,2,8,0.0753315095147334,4,-260.366929065887
0.5,2,9,0.194076672367821,8,-315.081369755555
0.5,2,10,0.194076672367821,9,-296.686276179342
0.5,2,11,0.194076672367821,8,-293.80427384552
0.5,2,12,0.194076672367821,8,-308.241999437059
0.5,2,13,0.0753315095147334,8,-290.132080068886
0.5,2,14,0.0753315095147334,4,-286.628151144879
0.5,2,15,0.194076672367821,8,-305.122704565138
0.5,2,16,0.194076672367821,7,-301.998615386078
0.5,2,17,0.0753315095147334,4,-303.8353981246
0.5,2,18,0.0753315095147334,8,-290.715497334774
0.5,2,19,0.194076672367821,9,-306.309739305035
0.5,2,20,0.194076672367821,8,-308.666101020938
0.5,2,21,0.194076672367821,8,-308.411511625965
0.5,2,22,0.194076672367821,8,-295.516256165002
0.5,2,23,0.194076672367821,9,-310.948317285965
0.5,2,24,0.0292401773821287,4,-274.333280235567
0.5,2,25,0.194076672367821,8,-289.10401534008
0.5,2,26,0.194076672367821,8,-298.388389867115
0.5,2,27,0.194076672367821,8,-306.176551301405
0.5,2,28,0.0753315095147334,8,-313.646327085753
0.5,2,29,0.0753315095147334,7,-272.526160726436
0.5,2,30,0.0753315095147334,7,-287.10581656915
0.5,2,31,0.194076672367821,7,-304.633039761271
0.5,2,32,0.194076672367821,8,-300.928464665397
0.5,2,33,0.0753315095147334,7,-299.089412224226
0.5,2,34,0.194076672367821,8,-306.943374971591
0.5,2,35,0.0753315095147334,7,-285.386510613257
0.5,2,36,0.194076672367821,9,-290.500309501769
0.5,2,37,0.194076672367821,8,-319.294100896692
0.5,2,38,0.194076672367821,8,-299.059427847831
0.5,2,39,0.0753315095147334,4,-281.555392557842
0.5,2,40,0.0753315095147334,4,-286.126025197394
0.5,2,41,0.194076672367821,8,-310.004961418006
0.5,2,42,0.0753315095147334,8,-301.02073385363
0.5,2,43,0.0753315095147334,7,-289.052030723252
0.5,2,44,0.194076672367821,9,-311.636424027145
0.5,2,45,0.194076672367821,7,-312.579143449095
0.5,2,46,0.0753315095147334,7,-284.993201586495
0.5,2,47,0.0753315095147334,7,-291.64573415705
0.5,2,48,0.194076672367821,8,-300.760991082206
0.5,2,49,0.194076672367821,7,-301.23484987573
0.5,2,50,0.194076672367821,8,-297.455347887715
0.5,2,51,0.194076672367821,8,-300.37426497294
0.5,2,52,0.194076672367821,8,-299.024724952411
0.5,2,53,0.194076672367821,8,-312.650297423864
0.5,2,54,0.194076672367821,9,-311.083503610152
0.5,2,55,0.194076672367821,7,-311.969024718317
0.5,2,56,0.0292401773821287,4,-290.705109148154
0.5,2,57,0.194076672367821,8,-312.774182041097
0.5,2,58,0.194076672367821,8,-314.177793501784
0.5,2,59,0.194076672367821,7,-303.441410274637
0.5,2,60,0.0753315095147334,4,-298.937420594594
0.5,2,61,0.194076672367821,8,-294.388840301027
0.5,2,62,0.0753315095147334,8,-294.293403670239
0.5,2,63,0.0753315095147334,8,-304.746205937217
0.5,2,64,0.194076672367821,8,-306.706961682872
0.5,2,65,0.0753315095147334,7,-282.881141283767
0.5,2,66,0.194076672367821,8,-297.499837418628
0.5,2,67,0.194076672367821,8,-301.475055865592
0.5,2,68,0.194076672367821,7,-317.549227040054
0.5,2,69,0.194076672367821,9,-302.955079479903
0.5,2,70,0.194076672367821,7,-303.142339704086
0.5,2,71,0.194076672367821,8,-312.976625031153
0.5,2,72,0.194076672367821,8,-305.108713060971
0.5,2,73,0.194076672367821,7,-316.40079069134
0.5,2,74,0.194076672367821,7,-300.242283193253
0.5,2,75,0.194076672367821,7,-296.733774694824
0.5,2,76,0.5,9,-329.583686600432
0.5,2,77,0.194076672367821,8,-304.722188361895
0.5,2,78,0.194076672367821,8,-281.72994474605
0.5,2,79,0.194076672367821,8,-301.984105673206
0.5,2,80,0.194076672367821,7,-315.068571369232
0.5,2,81,0.194076672367821,8,-290.714837623026
0.5,2,82,0.194076672367821,8,-300.97303525002
0.5,2,83,0.194076672367821,8,-299.055825140066
0.5,2,84,0.194076672367821,9,-309.226828150987
0.5,2,85,0.0753315095147334,8,-282.75062754623
0.5,2,86,0.5,8,-310.274509095688
0.5,2,87,0.0753315095147334,8,-301.22793080656
0.5,2,88,0.194076672367821,8,-306.12436600646
0.5,2,89,0.0753315095147334,8,-289.52651557521
0.5,2,90,0.0753315095147334,8,-275.602700042768
0.5,2,91,0.194076672367821,7,-298.737675641698
0.5,2,92,0.194076672367821,9,-295.107945570309
0.5,2,93,0.5,8,-314.23356971366
0.5,2,94,0.194076672367821,8,-314.317484021053
0.5,2,95,0.194076672367821,8,-308.616871396244
0.5,2,96,0.194076672367821,7,-294.593427235989
0.5,2,97,0.0753315095147334,4,-302.668127203454
0.5,2,98,0.0753315095147334,8,-294.17721449456
0.5,2,99,0.194076672367821,9,-297.155107841344
0.5,2,100,0.194076672367821,8,-303.437580707031
