"Alpha","Threshold","Iteration","Interaction","TrueBeta","Estimate","Detected"
1,1e-04,1,"ASC2_male",0,-3.65810018368616e-05,0
1,1e-04,1,"ASC2_age",0.6,0.572973835501577,1
1,1e-04,1,"ASC2_income",0,0.0154710537643638,1
1,1e-04,1,"ASC2_child",0,4.20587976886019e-05,0
1,1e-04,1,"ASC3_male",0,-0.0177046248048551,1
1,1e-04,1,"ASC3_age",-1,-0.974217183801394,1
1,1e-04,1,"ASC3_income",0,0.0114161801397592,1
1,1e-04,1,"ASC3_child",0.2,0.0193093752717875,1
1,1e-04,1,"prot25_male",0,3.37774504222668e-05,0
1,1e-04,1,"prot25_age",-1,-0.852265979405052,1
1,1e-04,1,"prot25_income",0,-6.78522712974654e-06,0
1,1e-04,1,"prot25_child",1.1,1.10409021730321,1
1,1e-04,1,"prot50_male",-0.2,-0.283681795288078,1
1,1e-04,1,"prot50_age",0.5,0.511965523282513,1
1,1e-04,1,"prot50_income",0.6,0.457461222885777,1
1,1e-04,1,"prot50_child",0,0.0460918320195367,1
1,1e-04,1,"invasive_male",-0.2,-0.235700863283872,1
1,1e-04,1,"invasive_age",0,-0.00264733469565275,1
1,1e-04,1,"invasive_income",-0.3,-0.306013938255079,1
1,1e-04,1,"invasive_child",0,2.94498826094377e-05,0
1,1e-04,2,"ASC2_male",0.2,0.0370877449859473,1
1,1e-04,2,"ASC2_age",0,-0.110486025671811,1
1,1e-04,2,"ASC2_income",0.2,0.152329971751576,1
1,1e-04,2,"ASC2_child",0,-0.0404067024320466,1
1,1e-04,2,"ASC3_male",-0.2,-0.332236378305249,1
1,1e-04,2,"ASC3_age",0,-0.0821645533061144,1
1,1e-04,2,"ASC3_income",0.9,0.90809471744757,1
1,1e-04,2,"ASC3_child",0,2.95364379782543e-05,0
1,1e-04,2,"prot25_male",0,-0.150141653994548,1
1,1e-04,2,"prot25_age",-0.4,-0.257829595075175,1
1,1e-04,2,"prot25_income",0,0.0339810365410388,1
1,1e-04,2,"prot25_child",-0.9,-0.730035905394439,1
1,1e-04,2,"prot50_male",0,0.0210303785011389,1
1,1e-04,2,"prot50_age",-1,-0.856308244707018,1
1,1e-04,2,"prot50_income",0,-0.0130425813364384,1
1,1e-04,2,"prot50_child",0,0.197458825990489,1
1,1e-04,2,"invasive_male",0.7,0.721095801546261,1
1,1e-04,2,"invasive_age",0,-0.0386354373400412,1
1,1e-04,2,"invasive_income",-0.2,-0.288165343186097,1
1,1e-04,2,"invasive_child",-1,-0.765447478943924,1
1,1e-04,3,"ASC2_male",0,-0.00738743485297305,1
1,1e-04,3,"ASC2_age",0.4,0.370525523804319,1
1,1e-04,3,"ASC2_income",-0.7,-0.828577725949112,1
1,1e-04,3,"ASC2_child",0,-0.200657755726416,1
1,1e-04,3,"ASC3_male",0,-0.0881072214686449,1
1,1e-04,3,"ASC3_age",0,-0.075229292859739,1
1,1e-04,3,"ASC3_income",0,-0.155275886191778,1
1,1e-04,3,"ASC3_child",0,-0.242168744428655,1
1,1e-04,3,"prot25_male",0.3,0.115803783832632,1
1,1e-04,3,"prot25_age",-0.9,-0.832390814655377,1
1,1e-04,3,"prot25_income",0,0.197424418477485,1
1,1e-04,3,"prot25_child",-0.3,-0.0680311650325393,1
1,1e-04,3,"prot50_male",0,-8.28752620523376e-05,0
1,1e-04,3,"prot50_age",0,-0.000739739083522551,1
1,1e-04,3,"prot50_income",0.2,0.205978222591336,1
1,1e-04,3,"prot50_child",0,0.181894260374792,1
1,1e-04,3,"invasive_male",-0.4,-0.492639051900075,1
1,1e-04,3,"invasive_age",1,0.926714949502376,1
1,1e-04,3,"invasive_income",1.1,0.94677355478581,1
1,1e-04,3,"invasive_child",1,1.19150284066298,1
1,1e-04,4,"ASC2_male",0,1.91105728695971e-05,0
1,1e-04,4,"ASC2_age",0.7,0.723174585080013,1
1,1e-04,4,"ASC2_income",0.6,0.786386120198952,1
1,1e-04,4,"ASC2_child",1,1.11033429683053,1
1,1e-04,4,"ASC3_male",0,-0.0761667150274854,1
1,1e-04,4,"ASC3_age",0,-0.00864025201651142,1
1,1e-04,4,"ASC3_income",0,0.253917831665499,1
1,1e-04,4,"ASC3_child",-1.2,-1.06583189805084,1
1,1e-04,4,"prot25_male",0,-0.21914462699954,1
1,1e-04,4,"prot25_age",0,-0.0497615994842878,1
1,1e-04,4,"prot25_income",0.6,0.461510278011803,1
1,1e-04,4,"prot25_child",-0.2,-0.423640540090225,1
1,1e-04,4,"prot50_male",0,0.137313208498412,1
1,1e-04,4,"prot50_age",0,-0.0743127757762842,1
1,1e-04,4,"prot50_income",0.3,0.182639479650796,1
1,1e-04,4,"prot50_child",0,-0.156993186633941,1
1,1e-04,4,"invasive_male",-0.5,-0.594792277086385,1
1,1e-04,4,"invasive_age",-0.2,-0.168498064988017,1
1,1e-04,4,"invasive_income",-0.6,-0.591829243960156,1
1,1e-04,4,"invasive_child",0,-0.0819905144018825,1
1,1e-04,5,"ASC2_male",0,-0.235118398841623,1
1,1e-04,5,"ASC2_age",0,0.0185572974985957,1
1,1e-04,5,"ASC2_income",-0.3,-0.184512438195901,1
1,1e-04,5,"ASC2_child",0,-0.305352248330007,1
1,1e-04,5,"ASC3_male",0.7,0.388334834905146,1
1,1e-04,5,"ASC3_age",0,0.0241882340610281,1
1,1e-04,5,"ASC3_income",0,0.0140610531999291,1
1,1e-04,5,"ASC3_child",0.3,0.185884308135967,1
1,1e-04,5,"prot25_male",0.5,0.268183617405805,1
1,1e-04,5,"prot25_age",0,-0.0457625132229034,1
1,1e-04,5,"prot25_income",0,-7.00911244508553e-06,0
1,1e-04,5,"prot25_child",0.5,0.590749099422557,1
1,1e-04,5,"prot50_male",0.7,0.313233714279488,1
1,1e-04,5,"prot50_age",0.7,0.677147542977756,1
1,1e-04,5,"prot50_income",0,-0.000742394999233973,1
1,1e-04,5,"prot50_child",0,-0.0695285855048124,1
1,1e-04,5,"invasive_male",0.3,0.000433224434735882,1
1,1e-04,5,"invasive_age",0,0.011946314466593,1
1,1e-04,5,"invasive_income",-0.8,-0.654716713034955,1
1,1e-04,5,"invasive_child",-0.2,-0.0546244464624537,1
1,1e-04,6,"ASC2_male",1.2,1.19109508434974,1
1,1e-04,6,"ASC2_age",0.5,0.452407388679238,1
1,1e-04,6,"ASC2_income",-0.2,-0.11199719407762,1
1,1e-04,6,"ASC2_child",0,-0.108577320670709,1
1,1e-04,6,"ASC3_male",0,-0.105230363494009,1
1,1e-04,6,"ASC3_age",-0.5,-0.448484123209034,1
1,1e-04,6,"ASC3_income",0,0.135619200880381,1
1,1e-04,6,"ASC3_child",0,0.0192272348584407,1
1,1e-04,6,"prot25_male",0.2,0.109206905080877,1
1,1e-04,6,"prot25_age",0,0.0347559828006597,1
1,1e-04,6,"prot25_income",0,-0.000744782297651491,1
1,1e-04,6,"prot25_child",0,-0.000273251768764801,1
1,1e-04,6,"prot50_male",1,0.895945009818314,1
1,1e-04,6,"prot50_age",-0.5,-0.504966771122539,1
1,1e-04,6,"prot50_income",0,-0.0049884213864281,1
1,1e-04,6,"prot50_child",0,-0.211981177948247,1
1,1e-04,6,"invasive_male",0.5,0.378830091316196,1
1,1e-04,6,"invasive_age",-0.2,-0.175094333901699,1
1,1e-04,6,"invasive_income",0,0.000535489093947347,1
1,1e-04,6,"invasive_child",0.3,0.0353202227927585,1
