"Alpha","NoiseScale","Threshold","Iteration","Interaction","TrueBeta","Estimate","Detected"
0.5,4,1e-04,1,"ASC2_male",0.9,0.160072481180847,1
0.5,4,1e-04,1,"ASC2_age",0.3,0.0973853213500656,1
0.5,4,1e-04,1,"ASC2_income",0,-0.0110008548209245,1
0.5,4,1e-04,1,"ASC2_child",0,0.0167096599661151,1
0.5,4,1e-04,1,"ASC3_male",-1.1,-0.338177846239977,1
0.5,4,1e-04,1,"ASC3_age",0,0.000789631964892554,1
0.5,4,1e-04,1,"ASC3_income",0.8,0.185269699448692,1
0.5,4,1e-04,1,"ASC3_child",0,0.000385308185664263,1
0.5,4,1e-04,1,"prot25_male",1.2,0.398425891188456,1
0.5,4,1e-04,1,"prot25_age",0.7,0.209590275995645,1
0.5,4,1e-04,1,"prot25_income",0,0.0444405676782148,1
0.5,4,1e-04,1,"prot25_child",1.1,0.222123668487893,1
0.5,4,1e-04,1,"prot50_male",0,0.0324262895252975,1
0.5,4,1e-04,1,"prot50_age",0,0.0230835405243663,1
0.5,4,1e-04,1,"prot50_income",-1.2,-0.235734989504188,1
0.5,4,1e-04,1,"prot50_child",1.1,0.104844154196525,1
0.5,4,1e-04,1,"invasive_male",0,0.0187507604840326,1
0.5,4,1e-04,1,"invasive_age",-0.6,-0.104133908923492,1
0.5,4,1e-04,1,"invasive_income",0,0.00389029175756366,1
0.5,4,1e-04,1,"invasive_child",0,-7.57300337942607e-09,0
0.5,4,1e-04,2,"ASC2_male",0,0.0155496437852548,1
0.5,4,1e-04,2,"ASC2_age",0.1,-0.0208284560006817,1
0.5,4,1e-04,2,"ASC2_income",0.7,0.198757477779462,1
0.5,4,1e-04,2,"ASC2_child",-0.4,-0.0809023580577638,1
0.5,4,1e-04,2,"ASC3_male",0,0.0621257370904077,1
0.5,4,1e-04,2,"ASC3_age",0.4,0.068091797517465,1
0.5,4,1e-04,2,"ASC3_income",-0.8,-0.13234231671739,1
0.5,4,1e-04,2,"ASC3_child",0,0.015138658691898,1
0.5,4,1e-04,2,"prot25_male",0.5,0.182426587197477,1
0.5,4,1e-04,2,"prot25_age",0.8,0.224456615411086,1
0.5,4,1e-04,2,"prot25_income",0,-0.0644516860777708,1
0.5,4,1e-04,2,"prot25_child",0,-0.0175517084850197,1
0.5,4,1e-04,2,"prot50_male",0,-0.162075487687409,1
0.5,4,1e-04,2,"prot50_age",0,0.0771152170141207,1
0.5,4,1e-04,2,"prot50_income",0,-0.0730327803102878,1
0.5,4,1e-04,2,"prot50_child",0,0.00925274139255295,1
0.5,4,1e-04,2,"invasive_male",1,0.0609350542569636,1
0.5,4,1e-04,2,"invasive_age",-0.1,-1.5429169667397e-06,0
0.5,4,1e-04,2,"invasive_income",0,-0.00199476272868093,1
0.5,4,1e-04,2,"invasive_child",-0.6,-0.0629513949765765,1
0.5,4,1e-04,3,"ASC2_male",-0.9,-1.66497469065678e-08,0
0.5,4,1e-04,3,"ASC2_age",-0.4,-0.175457591123333,1
0.5,4,1e-04,3,"ASC2_income",0,0.0173140349647249,1
0.5,4,1e-04,3,"ASC2_child",0,-0.146304716778211,1
0.5,4,1e-04,3,"ASC3_male",-0.7,-0.063740069960726,1
0.5,4,1e-04,3,"ASC3_age",0,-1.91437073932119e-08,0
0.5,4,1e-04,3,"ASC3_income",0,-1.67628243028476e-08,0
0.5,4,1e-04,3,"ASC3_child",1,0.0695094168608922,1
0.5,4,1e-04,3,"prot25_male",0,-2.14339359838302e-08,0
0.5,4,1e-04,3,"prot25_age",0,0.0198208699383897,1
0.5,4,1e-04,3,"prot25_income",0,-0.0256245291009127,1
0.5,4,1e-04,3,"prot25_child",0,0.0869522239657836,1
0.5,4,1e-04,3,"prot50_male",0.7,0.0206420371180494,1
0.5,4,1e-04,3,"prot50_age",-0.2,-9.03930511462693e-09,0
0.5,4,1e-04,3,"prot50_income",-1,-0.171458575045361,1
