"Alpha","NoiseScale","Iteration","BestLambda"
0.5,1.5,1,0.0017099759466767
0.5,1.5,2,0.0113496726515367
0.5,1.5,3,0.00440541340134864
0.5,1.5,4,0.0113496726515367
0.5,1.5,5,0.00440541340134864
0.5,1.5,6,0.0113496726515367
0.5,1.5,7,0.0113496726515367
0.5,1.5,8,0.00440541340134864
0.5,1.5,9,0.00440541340134864
0.5,1.5,10,0.0113496726515367
0.5,1.5,11,0.0113496726515367
0.5,1.5,12,0.0113496726515367
0.5,1.5,13,0.0113496726515367
0.5,1.5,14,0.0113496726515367
0.5,1.5,15,0.00440541340134864
0.5,1.5,16,0.0017099759466767
0.5,1.5,17,0.00440541340134864
0.5,1.5,18,0.00440541340134864
0.5,1.5,19,0.00440541340134864
0.5,1.5,20,0.0113496726515367
0.5,1.5,21,0.0113496726515367
0.5,1.5,22,0.00440541340134864
0.5,1.5,23,0.0017099759466767
0.5,1.5,24,0.00440541340134864
0.5,1.5,25,0.0113496726515367
0.5,1.5,26,0.0113496726515367
0.5,1.5,27,0.00440541340134864
0.5,1.5,28,0.0017099759466767
0.5,1.5,29,0.00440541340134864
0.5,1.5,30,0.0113496726515367
0.5,1.5,31,0.0113496726515367
0.5,1.5,32,0.00440541340134864
0.5,1.5,33,0.0113496726515367
0.5,1.5,34,0.0113496726515367
0.5,1.5,35,0.00440541340134864
0.5,1.5,36,0.00440541340134864
0.5,1.5,37,0.00440541340134864
0.5,1.5,38,0.00440541340134864
0.5,1.5,39,0.00440541340134864
0.5,1.5,40,0.0017099759466767
0.5,1.5,41,0.00440541340134864
0.5,1.5,42,0.00440541340134864
0.5,1.5,43,0.0113496726515367
0.5,1.5,44,0.0113496726515367
0.5,1.5,45,0.00440541340134864
0.5,1.5,46,0.0113496726515367
0.5,1.5,47,0.0113496726515367
0.5,1.5,48,0.0113496726515367
0.5,1.5,49,0.0113496726515367
0.5,1.5,50,0.00440541340134864
0.5,1.5,51,0.00440541340134864
0.5,1.5,52,0.0113496726515367
0.5,1.5,53,0.0017099759466767
0.5,1.5,54,0.0017099759466767
0.5,1.5,55,0.00440541340134864
0.5,1.5,56,0.00440541340134864
0.5,1.5,57,0.0113496726515367
0.5,1.5,58,0.00440541340134864
0.5,1.5,59,0.00440541340134864
0.5,1.5,60,0.00440541340134864
0.5,1.5,61,0.00440541340134864
0.5,1.5,62,0.0113496726515367
0.5,1.5,63,0.00440541340134864
0.5,1.5,64,0.0113496726515367
0.5,1.5,65,0.00440541340134864
0.5,1.5,66,0.0113496726515367
0.5,1.5,67,0.0113496726515367
0.5,1.5,68,0.0113496726515367
0.5,1.5,69,0.0113496726515367
0.5,1.5,70,0.0113496726515367
0.5,1.5,71,0.000663732883120058
0.5,1.5,72,0.00440541340134864
0.5,1.5,73,0.00440541340134864
0.5,1.5,74,0.0017099759466767
0.5,1.5,75,0.00440541340134864
0.5,1.5,76,0.00440541340134864
0.5,1.5,77,0.0113496726515367
0.5,1.5,78,0.00440541340134864
0.5,1.5,79,0.0292401773821287
0.5,1.5,80,0.0113496726515367
0.5,1.5,81,0.00440541340134864
0.5,1.5,82,0.0017099759466767
0.5,1.5,83,0.00440541340134864
0.5,1.5,84,0.0017099759466767
0.5,1.5,85,0.00440541340134864
0.5,1.5,86,0.00440541340134864
0.5,1.5,87,0.0113496726515367
0.5,1.5,88,0.0017099759466767
0.5,1.5,89,0.00440541340134864
0.5,1.5,90,0.0113496726515367
0.5,1.5,91,0.0017099759466767
0.5,1.5,92,0.0017099759466767
0.5,1.5,93,0.00440541340134864
0.5,1.5,94,0.0113496726515367
0.5,1.5,95,0.0113496726515367
0.5,1.5,96,0.0113496726515367
0.5,1.5,97,0.00440541340134864
0.5,1.5,98,0.0017099759466767
0.5,1.5,99,0.000663732883120058
0.5,1.5,100,0.00440541340134864
