"Alpha","NoiseScale","Threshold","Iteration","Interaction","TrueBeta","Estimate","Detected"
0.5,1.75,1e-04,1,"ASC2_male",0.9,0.48938207964184,1
0.5,1.75,1e-04,1,"ASC2_age",0.3,0.200817448011453,1
0.5,1.75,1e-04,1,"ASC2_income",0,0.0531292031509227,1
0.5,1.75,1e-04,1,"ASC2_child",0,-0.15822219159082,1
0.5,1.75,1e-04,1,"ASC3_male",-1.1,-0.614447889883075,1
0.5,1.75,1e-04,1,"ASC3_age",0,0.0120636975802964,1
0.5,1.75,1e-04,1,"ASC3_income",0.8,0.536005340736859,1
0.5,1.75,1e-04,1,"ASC3_child",0,-0.120212355508658,1
0.5,1.75,1e-04,1,"prot25_male",1.2,0.70946495537743,1
0.5,1.75,1e-04,1,"prot25_age",0.7,0.331164466584033,1
0.5,1.75,1e-04,1,"prot25_income",0,0.0205110629174012,1
0.5,1.75,1e-04,1,"prot25_child",1.1,0.621378725000349,1
0.5,1.75,1e-04,1,"prot50_male",0,-0.0531298840724657,1
0.5,1.75,1e-04,1,"prot50_age",0,-0.0868655037105363,1
0.5,1.75,1e-04,1,"prot50_income",-1.2,-0.638489889037328,1
0.5,1.75,1e-04,1,"prot50_child",1.1,0.679342829982759,1
0.5,1.75,1e-04,1,"invasive_male",0,-0.0803564003245204,1
0.5,1.75,1e-04,1,"invasive_age",-0.6,-0.296299532437189,1
0.5,1.75,1e-04,1,"invasive_income",0,0.0170456916665592,1
0.5,1.75,1e-04,1,"invasive_child",0,-0.0415716252955362,1
0.5,1.75,1e-04,2,"ASC2_male",0,-0.026407473719823,1
0.5,1.75,1e-04,2,"ASC2_age",0.1,0.0488741271384499,1
0.5,1.75,1e-04,2,"ASC2_income",0.7,0.317419411295751,1
0.5,1.75,1e-04,2,"ASC2_child",-0.4,-0.173419906169452,1
0.5,1.75,1e-04,2,"ASC3_male",0,-0.0199363540961853,1
0.5,1.75,1e-04,2,"ASC3_age",0.4,0.239531972743844,1
0.5,1.75,1e-04,2,"ASC3_income",-0.8,-0.472773158839553,1
0.5,1.75,1e-04,2,"ASC3_child",0,2.33396441981666e-06,0
0.5,1.75,1e-04,2,"prot25_male",0.5,0.30337781068574,1
0.5,1.75,1e-04,2,"prot25_age",0.8,0.46765654170575,1
0.5,1.75,1e-04,2,"prot25_income",0,1.0513019348507e-08,0
0.5,1.75,1e-04,2,"prot25_child",0,0.0698574225337804,1
