"Alpha","NoiseScale","Iteration","BestLambda","FitCode","LogLik"
1,1.75,1,0.0113496726515367,7,-5324.1774447984
1,1.75,2,0.0113496726515367,8,-5734.73172513398
1,1.75,3,0.00440541340134864,7,-5585.33277601996
1,1.75,4,0.0017099759466767,4,-5606.78347541273
1,1.75,5,0.00440541340134864,8,-5546.99052046319
1,1.75,6,0.0017099759466767,7,-5393.21364837386
1,1.75,7,0.0113496726515367,4,-5607.27097995086
1,1.75,8,0.0113496726515367,7,-5537.0928831109
1,1.75,9,0.00440541340134864,4,-5488.74820837235
1,1.75,10,0.0113496726515367,8,-5449.4562965963
1,1.75,11,0.0017099759466767,4,-5124.28028293936
1,1.75,12,0.0017099759466767,4,-5700.41729189394
1,1.75,13,0.0113496726515367,4,-5761.87480597263
1,1.75,14,0.0113496726515367,9,-5305.64128451958
1,1.75,15,0.0113496726515367,8,-5581.54788714398
1,1.75,16,0.00440541340134864,7,-5509.93004367155
1,1.75,17,0.00440541340134864,7,-5717.07724508681
1,1.75,18,0.00440541340134864,7,-5796.12102433258
1,1.75,19,0.0113496726515367,8,-5710.68012485478
1,1.75,20,0.0113496726515367,7,-5225.05504936016
1,1.75,21,0.00440541340134864,7,-5473.95354390454
1,1.75,22,0.0113496726515367,8,-5620.91959756541
1,1.75,23,0.0113496726515367,8,-5442.32938355324
1,1.75,24,0.000663732883120058,8,-5377.41225683809
1,1.75,25,0.00440541340134864,7,-5257.90532452265
1,1.75,26,0.00440541340134864,8,-5532.87880957286
1,1.75,27,0.0113496726515367,8,-5557.94968411505
1,1.75,28,0.00440541340134864,8,-5716.34626365492
1,1.75,29,0.00440541340134864,8,-5551.07805210495
1,1.75,30,0.00440541340134864,7,-5890.37795980684
1,1.75,31,0.00440541340134864,7,-5516.44079360006
1,1.75,32,0.0017099759466767,4,-5482.34002008442
1,1.75,33,0.000663732883120058,4,-5190.32895353933
1,1.75,34,0.0113496726515367,9,-5456.34228682631
1,1.75,35,0.00440541340134864,7,-5674.73818334928
1,1.75,36,0.00440541340134864,8,-5303.47476504834
1,1.75,37,0.00440541340134864,7,-5764.92675676
1,1.75,38,0.00440541340134864,4,-5350.77422381027
1,1.75,39,0.0292401773821287,8,-5342.0959928831
1,1.75,40,0.00440541340134864,8,-5410.52757279615
1,1.75,41,0.00440541340134864,4,-5465.22654627608
1,1.75,42,0.0017099759466767,4,-5304.83625972972
1,1.75,43,0.00440541340134864,7,-5390.05238517476
1,1.75,44,0.000663732883120058,4,-5203.62204142171
1,1.75,45,0.00440541340134864,4,-5403.89288661534
1,1.75,46,0.00440541340134864,7,-5617.07595852392
1,1.75,47,0.0017099759466767,7,-5094.78429334099
1,1.75,48,0.0113496726515367,8,-5378.41694216953
1,1.75,49,0.0017099759466767,8,-5624.76507998461
1,1.75,50,0.00440541340134864,7,-5229.00689041936
1,1.75,51,0.00440541340134864,7,-5487.52407104655
1,1.75,52,0.00440541340134864,8,-5465.80099436923
1,1.75,53,0.00440541340134864,7,-5514.05507896916
1,1.75,54,0.00440541340134864,7,-5752.78154096559
1,1.75,55,0.00440541340134864,7,-5682.66587311717
1,1.75,56,0.0017099759466767,4,-5043.92344821911
1,1.75,57,0.0113496726515367,8,-5147.97087519239
1,1.75,58,0.00440541340134864,7,-5455.10257343563
1,1.75,59,0.0113496726515367,7,-5378.07787111245
1,1.75,60,0.0017099759466767,4,-5832.32749999233
1,1.75,61,0.0113496726515367,8,-5756.17838074381
1,1.75,62,0.00440541340134864,7,-5534.75570525452
1,1.75,63,0.0113496726515367,4,-5564.34679942629
1,1.75,64,0.0113496726515367,7,-5444.90379811731
1,1.75,65,0.00440541340134864,4,-5208.87315831106
1,1.75,66,0.0017099759466767,4,-5451.12763312815
1,1.75,67,0.00440541340134864,8,-5694.39532998079
1,1.75,68,0.0113496726515367,8,-5704.84409845736
1,1.75,69,0.0017099759466767,4,-5339.52230295955
1,1.75,70,0.00440541340134864,7,-5493.49206683979
1,1.75,71,0.00440541340134864,4,-5738.84600696911
1,1.75,72,0.00440541340134864,7,-5620.25229881521
1,1.75,73,0.0113496726515367,8,-5375.38253121744
1,1.75,74,0.000663732883120058,4,-5419.10141197397
1,1.75,75,0.00440541340134864,7,-5406.14805562445
1,1.75,76,0.0113496726515367,4,-5290.28362143932
1,1.75,77,0.0017099759466767,7,-5706.87313935264
1,1.75,78,0.00440541340134864,7,-5887.96040672434
1,1.75,79,0.0113496726515367,7,-5430.77742336387
1,1.75,80,0.00440541340134864,7,-5644.75434384104
1,1.75,81,0.0113496726515367,7,-5553.74662943156
1,1.75,82,0.000663732883120058,8,-5499.38258634569
1,1.75,83,0.0113496726515367,7,-5393.60107569875
1,1.75,84,0.00440541340134864,4,-5759.5177428005
1,1.75,85,0.0017099759466767,4,-5609.68741983687
1,1.75,86,0.00440541340134864,7,-5339.17198615315
1,1.75,87,0.0113496726515367,7,-5557.27769891921
1,1.75,88,0.0113496726515367,4,-5543.62141173063
1,1.75,89,0.00440541340134864,7,-5769.29524832018
1,1.75,90,0.0017099759466767,4,-5436.02497627584
1,1.75,91,0.0017099759466767,4,-5699.10490647758
1,1.75,92,0.00440541340134864,7,-5583.24096408602
1,1.75,93,0.0113496726515367,7,-5740.53469793338
1,1.75,94,0.00440541340134864,4,-5552.76562515538
1,1.75,95,0.0113496726515367,7,-5918.13982076578
1,1.75,96,0.00440541340134864,7,-5585.39499478555
1,1.75,97,0.0017099759466767,7,-5061.06618088313
1,1.75,98,0.0113496726515367,8,-5175.3458213196
1,1.75,99,0.0113496726515367,7,-5210.43691110772
1,1.75,100,0.0113496726515367,4,-5475.92445088039
