"Alpha","NoiseScale","Iteration","BestLambda"
1,1.75,1,0.0113496726515367
1,1.75,2,0.0113496726515367
1,1.75,3,0.00440541340134864
1,1.75,4,0.0017099759466767
1,1.75,5,0.00440541340134864
1,1.75,6,0.0017099759466767
1,1.75,7,0.0113496726515367
1,1.75,8,0.0113496726515367
1,1.75,9,0.00440541340134864
1,1.75,10,0.0113496726515367
1,1.75,11,0.0017099759466767
1,1.75,12,0.0017099759466767
1,1.75,13,0.0113496726515367
1,1.75,14,0.0113496726515367
1,1.75,15,0.0113496726515367
1,1.75,16,0.00440541340134864
1,1.75,17,0.00440541340134864
1,1.75,18,0.00440541340134864
1,1.75,19,0.0113496726515367
1,1.75,20,0.0113496726515367
1,1.75,21,0.00440541340134864
1,1.75,22,0.0113496726515367
1,1.75,23,0.0113496726515367
1,1.75,24,0.000663732883120058
1,1.75,25,0.00440541340134864
1,1.75,26,0.00440541340134864
1,1.75,27,0.0113496726515367
1,1.75,28,0.00440541340134864
1,1.75,29,0.00440541340134864
1,1.75,30,0.00440541340134864
1,1.75,31,0.00440541340134864
1,1.75,32,0.0017099759466767
1,1.75,33,0.000663732883120058
1,1.75,34,0.0113496726515367
1,1.75,35,0.00440541340134864
1,1.75,36,0.00440541340134864
1,1.75,37,0.00440541340134864
1,1.75,38,0.00440541340134864
1,1.75,39,0.0292401773821287
1,1.75,40,0.00440541340134864
1,1.75,41,0.00440541340134864
1,1.75,42,0.0017099759466767
1,1.75,43,0.00440541340134864
1,1.75,44,0.000663732883120058
1,1.75,45,0.00440541340134864
1,1.75,46,0.00440541340134864
1,1.75,47,0.0017099759466767
1,1.75,48,0.0113496726515367
1,1.75,49,0.0017099759466767
1,1.75,50,0.00440541340134864
1,1.75,51,0.00440541340134864
1,1.75,52,0.00440541340134864
1,1.75,53,0.00440541340134864
1,1.75,54,0.00440541340134864
1,1.75,55,0.00440541340134864
1,1.75,56,0.0017099759466767
1,1.75,57,0.0113496726515367
1,1.75,58,0.00440541340134864
1,1.75,59,0.0113496726515367
1,1.75,60,0.0017099759466767
1,1.75,61,0.0113496726515367
1,1.75,62,0.00440541340134864
1,1.75,63,0.0113496726515367
1,1.75,64,0.0113496726515367
1,1.75,65,0.00440541340134864
1,1.75,66,0.0017099759466767
1,1.75,67,0.00440541340134864
1,1.75,68,0.0113496726515367
1,1.75,69,0.0017099759466767
1,1.75,70,0.00440541340134864
1,1.75,71,0.00440541340134864
1,1.75,72,0.00440541340134864
1,1.75,73,0.0113496726515367
1,1.75,74,0.000663732883120058
1,1.75,75,0.00440541340134864
1,1.75,76,0.0113496726515367
1,1.75,77,0.0017099759466767
1,1.75,78,0.00440541340134864
1,1.75,79,0.0113496726515367
1,1.75,80,0.00440541340134864
1,1.75,81,0.0113496726515367
1,1.75,82,0.000663732883120058
1,1.75,83,0.0113496726515367
1,1.75,84,0.00440541340134864
1,1.75,85,0.0017099759466767
1,1.75,86,0.00440541340134864
1,1.75,87,0.0113496726515367
1,1.75,88,0.0113496726515367
1,1.75,89,0.00440541340134864
1,1.75,90,0.0017099759466767
1,1.75,91,0.0017099759466767
1,1.75,92,0.00440541340134864
1,1.75,93,0.0113496726515367
1,1.75,94,0.00440541340134864
1,1.75,95,0.0113496726515367
1,1.75,96,0.00440541340134864
1,1.75,97,0.0017099759466767
1,1.75,98,0.0113496726515367
1,1.75,99,0.0113496726515367
1,1.75,100,0.0113496726515367
