"Alpha","NoiseScale","Iteration","ASC2_male","ASC2_age","ASC2_income","ASC2_child","ASC3_male","ASC3_age","ASC3_income","ASC3_child","prot25_male","prot25_age","prot25_income","prot25_child","prot50_male","prot50_age","prot50_income","prot50_child","invasive_male","invasive_age","invasive_income","invasive_child"
1,2,1,0,0.6,0,0,0,-1,0,0.2,0,-1,0,1.1,-0.2,0.5,0.6,0,-0.2,0,-0.3,0
1,2,2,0.2,0,0.2,0,-0.2,0,0.9,0,0,-0.4,0,-0.9,0,-1,0,0,0.7,0,-0.2,-1
1,2,3,0,0.4,-0.7,0,0,0,0,0,0.3,-0.9,0,-0.3,0,0,0.2,0,-0.4,1,1.1,1
1,2,4,0,0.7,0.6,1,0,0,0,-1.2,0,0,0.6,-0.2,0,0,0.3,0,-0.5,-0.2,-0.6,0
1,2,5,0,0,-0.3,0,0.7,0,0,0.3,0.5,0,0,0.5,0.7,0.7,0,0,0.3,0,-0.8,-0.2
1,2,6,1.2,0.5,-0.2,0,0,-0.5,0,0,0.2,0,0,0,1,-0.5,0,0,0.5,-0.2,0,0.3
1,2,7,0.2,0,0.8,0,0.9,-1.2,0.8,0,-0.8,-0.5,0,0,0,-0.9,-0.7,-0.8,0,0,0,0
1,2,8,0.5,0,0,-0.5,0,0.8,0,0.6,0,1.2,0,1.1,0,0,0,-1,0,-0.3,0.3,-0.9
1,2,9,0,0.5,0.5,0,0,0,0,-0.3,0.7,0.4,0,0.3,-0.2,-1,0,-0.8,0,1,0,0
1,2,10,0,-1,0,0,0.7,0,0,0,-1,1.1,-0.7,-0.3,0,0,0,0,0.2,0.6,-0.4,-0.3
1,2,11,1.1,0,0.1,0,0.6,-1,0.9,-0.8,-0.9,0,0,0,0,0,0,0,-0.7,0,1,-1.2
1,2,12,0,-0.4,-0.6,-1.2,-0.7,0.4,0,0,0,0,0,1,-0.6,0,0,0,0,0.6,0.6,-0.8
1,2,13,-0.4,0,0,0,-0.4,-0.3,-0.3,0,0,-0.4,-1,0,-0.6,0,0,0,-0.2,1,0.5,0
1,2,14,1.1,0,0,0.9,-0.6,0,0.9,0,0,0,0,0,0,1,0,-0.9,0.3,-0.8,0.6,-0.4
1,2,15,-0.9,1.2,0,-0.4,-0.6,0,0,0.9,0,0.7,-0.3,0.5,0,-0.5,0,0.2,0,0,0,0
1,2,16,0,-0.6,0,-0.8,0,-0.8,0.8,-0.8,0.7,-1,0,0,0.6,-1,0,0,0,0.8,0,0
1,2,17,0,-1,-0.9,0,0,-1.1,0,-0.6,-0.9,0,0.6,0,0.2,0.5,0,0,0.8,0,-1.1,0
1,2,18,0.2,0.7,0,0.7,0.2,0,0.4,0,0,0,0,-0.5,-0.6,0,1,0,0,0,-0.2,0.7
1,2,19,0,0,-0.2,0,0,0.2,-0.8,-1,0,0,0,0.7,-1,0,0.5,1.1,0,0,0.6,-1.2
1,2,20,0,0.9,1,-1,0.7,-1.2,-0.6,-0.7,0,0,0,0.7,0,0,0,0,0,0.5,0,0.3
1,2,21,-0.5,-0.6,0,1.1,0,0.3,0,0,0.5,0,-1,0,-0.5,0,0,-0.7,0,1.2,-0.2,0
1,2,22,0.7,-0.2,-0.4,0,0,-0.7,0,-0.7,0,0,0.5,0,0,1,-0.9,-1.1,0,0.3,0,0
1,2,23,0,0.5,0.8,-0.2,0.6,-0.3,0,0,0.8,0.4,0.5,0,0,0,0,0.5,-0.5,0,0,0
1,2,24,-0.3,-0.3,0,0,0,1.2,0,0,0.4,0,0.8,1,0,-0.8,1.1,0,0,1.1,0,1.2
1,2,25,1.2,0,0,0,-1,-0.2,0,-1.1,1.1,-0.6,0,1,0,0,0,0,0,1.1,-1.2,1.2
1,2,26,0,-0.9,-1.2,-0.4,0.8,0,-0.5,0.1,-0.9,0,0,0,0,0,0.1,0,0,0.9,-0.7,0
