"Alpha","NoiseScale","Iteration","BestLambda","FitCode","LogLik"
1,6,1,0.0292401773821287,8,-6330.9662572139
1,6,2,0.0292401773821287,7,-6372.43165678536
1,6,3,0.0113496726515367,8,-6325.68555244506
1,6,4,0.0113496726515367,7,-6338.18675715948
1,6,5,0.0113496726515367,7,-6361.25470186898
1,6,6,0.0292401773821287,8,-6344.20928996257
1,6,7,0.0292401773821287,8,-6346.04836846688
1,6,8,0.0113496726515367,8,-6327.82316767212
1,6,9,0.0292401773821287,8,-6335.6353173439
1,6,10,0.0292401773821287,8,-6344.73282652717
1,6,11,0.00440541340134864,8,-6276.22504557488
1,6,12,0.00440541340134864,7,-6330.38724401668
1,6,13,0.0113496726515367,7,-6332.68036768996
1,6,14,0.0113496726515367,8,-6278.17310568406
1,6,15,0.0292401773821287,8,-6355.70034892028
1,6,16,0.0113496726515367,7,-6316.23456517701
1,6,17,0.0292401773821287,7,-6363.0371919373
1,6,18,0.0113496726515367,4,-6346.53980093941
1,6,19,0.0113496726515367,9,-6338.73333950543
1,6,20,0.0292401773821287,8,-6342.47733551315
1,6,21,0.0292401773821287,8,-6338.84055853187
1,6,22,0.0113496726515367,4,-6329.91832066498
1,6,23,0.0113496726515367,8,-6290.52626819571
1,6,24,0.0113496726515367,7,-6301.16607645693
1,6,25,0.0113496726515367,4,-6291.61718657995
1,6,26,0.0113496726515367,8,-6326.88232390917
1,6,27,0.0113496726515367,7,-6316.10933361089
1,6,28,0.0292401773821287,8,-6365.79576146059
1,6,29,0.00440541340134864,7,-6307.67467592932
1,6,30,0.0113496726515367,7,-6365.29326651594
1,6,31,0.0292401773821287,7,-6343.32036555381
1,6,32,0.0113496726515367,7,-6312.02603976441
1,6,33,0.0113496726515367,7,-6274.62759305691
1,6,34,0.0292401773821287,7,-6362.41910008537
1,6,35,0.0113496726515367,7,-6334.93135660487
1,6,36,0.0113496726515367,7,-6314.86910652075
1,6,37,0.0113496726515367,8,-6362.11864281969
1,6,38,0.0113496726515367,7,-6287.43992682005
1,6,39,0.0113496726515367,4,-6298.89635743658
1,6,40,0.0292401773821287,8,-6343.58966282875
1,6,41,0.0292401773821287,7,-6329.69118337475
1,6,42,0.0113496726515367,7,-6308.95478975909
1,6,43,0.0113496726515367,4,-6324.05442609452
1,6,44,0.0113496726515367,7,-6312.05549087437
1,6,45,0.00440541340134864,7,-6310.37771732667
1,6,46,0.0113496726515367,8,-6350.0240596799
1,6,47,0.0113496726515367,7,-6289.07469104354
1,6,48,0.0292401773821287,8,-6335.99695470981
1,6,49,0.0292401773821287,8,-6359.63399772835
1,6,50,0.0292401773821287,9,-6330.08055585912
1,6,51,0.0113496726515367,8,-6332.97359403661
1,6,52,0.0017099759466767,8,-6280.54922657528
1,6,53,0.0292401773821287,8,-6347.1167746068
1,6,54,0.0113496726515367,7,-6357.57438605058
1,6,55,0.0113496726515367,7,-6354.91927565215
1,6,56,0.0113496726515367,7,-6288.08181669161
1,6,57,0.0113496726515367,8,-6234.11576390514
1,6,58,0.0292401773821287,7,-6337.89152326896
1,6,59,0.0292401773821287,8,-6333.86181998227
1,6,60,0.0113496726515367,7,-6364.35141649788
1,6,61,0.0113496726515367,8,-6348.35256142298
1,6,62,0.0113496726515367,7,-6317.03676440046
1,6,63,0.0113496726515367,8,-6340.70409238999
1,6,64,0.0113496726515367,7,-6336.2066816505
1,6,65,0.0113496726515367,7,-6295.75670853344
1,6,66,0.0113496726515367,8,-6321.82598987048
1,6,67,0.0292401773821287,9,-6371.88918004309
1,6,68,0.0292401773821287,8,-6352.36854239668
1,6,69,0.0292401773821287,7,-6327.53662149307
1,6,70,0.0113496726515367,7,-6310.94155436724
1,6,71,0.0113496726515367,4,-6360.09067767135
1,6,72,0.0113496726515367,4,-6342.65362793441
1,6,73,0.0292401773821287,8,-6314.14141834045
1,6,74,0.0113496726515367,7,-6318.16065038175
1,6,75,0.0292401773821287,7,-6347.08949701924
1,6,76,0.0113496726515367,8,-6293.9911502214
1,6,77,0.0113496726515367,4,-6340.97969720742
1,6,78,0.0292401773821287,9,-6372.56988834609
1,6,79,0.0113496726515367,8,-6312.02168452929
1,6,80,0.00440541340134864,4,-6318.5741731411
1,6,81,0.0113496726515367,9,-6330.60814766722
1,6,82,0.0292401773821287,8,-6330.95245562561
1,6,83,0.0292401773821287,8,-6326.48929012629
1,6,84,0.0113496726515367,7,-6363.91032420508
1,6,85,0.00440541340134864,8,-6326.64232321466
1,6,86,0.0113496726515367,8,-6282.6564909558
1,6,87,0.0113496726515367,7,-6306.29720834943
1,6,88,0.0113496726515367,7,-6313.78545994972
1,6,89,0.0113496726515367,8,-6357.18079635827
1,6,90,0.0113496726515367,7,-6304.24805098749
1,6,91,0.00440541340134864,7,-6338.30113256507
1,6,92,0.0113496726515367,4,-6324.79709815946
1,6,93,0.0113496726515367,7,-6346.19330652038
1,6,94,0.0292401773821287,9,-6344.90304650695
1,6,95,0.0113496726515367,7,-6359.21517856077
1,6,96,0.0292401773821287,8,-6351.30017510919
1,6,97,0.0113496726515367,9,-6292.97628519186
1,6,98,0.0113496726515367,4,-6288.16241035158
1,6,99,0.0113496726515367,8,-6311.04910842243
1,6,100,0.0292401773821287,9,-6340.11578313136
