"Alpha","Iteration","BestLambda","FitCode","LogLik"
0.5,1,0.0017099759466767,8,-3702.79748685767
0.5,2,0.00440541340134864,8,-4542.40170968393
0.5,3,0.00440541340134864,8,-5001.02444653882
0.5,4,0.0113496726515367,8,-4261.5796064995
0.5,5,0.00440541340134864,8,-4621.6386804512
0.5,6,0.000257630138594082,8,-4427.99759335214
0.5,7,0.00440541340134864,8,-3669.37971653224
0.5,8,0.00440541340134864,8,-3634.83838930146
0.5,9,0.00440541340134864,8,-4836.59552583847
0.5,10,0.000663732883120058,8,-4059.39222391455
0.5,11,0.00440541340134864,8,-4559.19912310876
0.5,12,0.0113496726515367,8,-4569.72359444622
0.5,13,0.0017099759466767,8,-4364.67644431017
0.5,14,0.0017099759466767,8,-4398.95484301931
0.5,15,0.000663732883120058,8,-4379.46538381663
0.5,16,1e-04,8,-4189.80324738728
0.5,17,0.0017099759466767,8,-4599.63309597781
0.5,18,0.00440541340134864,8,-4777.13011446333
0.5,19,0.000663732883120058,8,-4359.65321182254
0.5,20,0.000257630138594082,8,-4303.50126933084
0.5,21,0.00440541340134864,8,-4538.68446578505
0.5,22,0.00440541340134864,8,-4246.33483364146
0.5,23,0.0017099759466767,8,-4795.79800013559
0.5,24,0.000663732883120058,8,-4468.25267446177
0.5,25,0.00440541340134864,8,-4082.84622850885
0.5,26,0.000257630138594082,8,-4613.64167524251
0.5,27,0.0017099759466767,8,-4596.14245762555
0.5,28,0.00440541340134864,8,-5320.12117967614
0.5,29,0.0113496726515367,8,-4294.6900172912
0.5,30,0.00440541340134864,8,-4412.26025673891
0.5,31,0.00440541340134864,8,-4605.15966450361
0.5,32,0.0017099759466767,8,-4248.01672808933
0.5,33,0.0017099759466767,8,-4613.18404338583
0.5,34,0.0017099759466767,8,-4544.20116610364
0.5,35,0.00440541340134864,8,-4560.28695550275
0.5,36,1e-04,8,-4154.98336398446
0.5,37,0.00440541340134864,8,-4606.83975422786
0.5,38,0.0017099759466767,8,-4689.45846002752
0.5,39,0.00440541340134864,8,-4556.20586917905
0.5,40,0.0017099759466767,8,-4338.5669349246
0.5,41,0.000663732883120058,8,-4803.87158530486
0.5,42,0.0017099759466767,8,-4741.3668472734
0.5,43,0.0017099759466767,8,-4528.9560352781
0.5,44,0.000663732883120058,8,-4562.47193392588
0.5,45,0.00440541340134864,8,-4470.51387933803
0.5,46,0.000663732883120058,8,-4628.76569068868
0.5,47,0.000663732883120058,8,-4641.76303532596
0.5,48,0.0017099759466767,8,-4591.32192937424
0.5,49,0.0017099759466767,8,-4331.16581229656
0.5,50,0.000663732883120058,8,-4087.30702050884
0.5,51,0.00440541340134864,8,-4541.31864723537
0.5,52,0.000663732883120058,8,-4423.72752652957
0.5,53,0.00440541340134864,8,-4561.3383084897
0.5,54,0.0017099759466767,8,-4669.78372127172
0.5,55,0.00440541340134864,8,-4890.60705538209
0.5,56,0.0113496726515367,8,-4321.682053067
0.5,57,0.00440541340134864,8,-4308.23712604122
0.5,58,0.0017099759466767,8,-4929.83493968331
0.5,59,0.0017099759466767,8,-4334.49495181513
0.5,60,0.000663732883120058,8,-5177.28518803906
0.5,61,0.00440541340134864,8,-4773.12680474848
0.5,62,0.00440541340134864,8,-4836.6948677423
0.5,63,0.00440541340134864,8,-5174.67317294311
0.5,64,0.00440541340134864,8,-4397.75809356446
0.5,65,0.0017099759466767,8,-4287.14781389768
0.5,66,0.00440541340134864,8,-3910.50396045658
0.5,67,0.00440541340134864,8,-4162.91319931372
0.5,68,0.0113496726515367,8,-4952.2172528695
0.5,69,0.000257630138594082,8,-3879.98582518431
0.5,70,0.0113496726515367,8,-4164.21470697093
0.5,71,0.000257630138594082,8,-4438.13383969202
0.5,72,0.000663732883120058,8,-4369.85482689836
0.5,73,0.000663732883120058,8,-5019.98112696746
0.5,74,0.00440541340134864,8,-4364.69844253418
0.5,75,0.0017099759466767,8,-4553.84470100771
0.5,76,0.00440541340134864,8,-5265.78925481985
0.5,77,0.0017099759466767,8,-4106.69067347164
0.5,78,0.0017099759466767,8,-4019.69737414951
0.5,79,0.00440541340134864,8,-4103.95580308912
0.5,80,0.000663732883120058,8,-4493.25825574225
0.5,81,1e-04,8,-4190.17273394432
0.5,82,0.000257630138594082,8,-4409.41759565106
0.5,83,0.00440541340134864,8,-4622.89251521268
0.5,84,0.00440541340134864,8,-4709.39097689276
0.5,85,0.00440541340134864,8,-4510.13752984811
0.5,86,0.00440541340134864,8,-4251.26946239835
0.5,87,0.0017099759466767,8,-4383.85292982603
0.5,88,0.0017099759466767,8,-4786.70967901167
0.5,89,0.0113496726515367,8,-4500.96242778077
0.5,90,0.0017099759466767,8,-4378.79396382725
0.5,91,0.0017099759466767,8,-4115.05100419763
0.5,92,0.000257630138594082,8,-4242.35726286574
0.5,93,0.000663732883120058,8,-4258.03646646149
0.5,94,0.00440541340134864,8,-4730.64788054372
0.5,95,0.00440541340134864,8,-4614.11602429768
0.5,96,0.0017099759466767,8,-4629.88584483726
0.5,97,0.0017099759466767,8,-4563.88817143724
0.5,98,0.0017099759466767,8,-4952.17720261165
0.5,99,0.000663732883120058,8,-4690.97881000942
0.5,100,0.00440541340134864,8,-4757.2559950218
