"Alpha","Threshold","Iteration","Interaction","TrueBeta","Estimate","Detected"
0.5,0,1,"ASC2_male",0.9,0.723625676823005,1
0.5,0,1,"ASC2_age",0.3,0.344677032256233,1
0.5,0,1,"ASC2_income",0,0.0399443700827507,1
0.5,0,1,"ASC2_child",0,-0.0408750124304003,1
0.5,0,1,"ASC3_male",-1.1,-1.14537006355419,1
0.5,0,1,"ASC3_age",0,0.0356341608717794,1
0.5,0,1,"ASC3_income",0.8,0.829124679172967,1
0.5,0,1,"ASC3_child",0,-0.121338149745783,1
0.5,0,1,"prot25_male",1.2,1.24273615158261,1
0.5,0,1,"prot25_age",0.7,0.662844595722524,1
0.5,0,1,"prot25_income",0,0.0673969249491402,1
0.5,0,1,"prot25_child",1.1,1.10610512478942,1
0.5,0,1,"prot50_male",0,-0.0290658883871733,1
0.5,0,1,"prot50_age",0,-0.0438161587283611,1
0.5,0,1,"prot50_income",-1.2,-1.09183520427067,1
0.5,0,1,"prot50_child",1.1,1.25339305065202,1
0.5,0,1,"invasive_male",0,-0.069312929346128,1
0.5,0,1,"invasive_age",-0.6,-0.580683576930387,1
0.5,0,1,"invasive_income",0,0.0342773841554372,1
0.5,0,1,"invasive_child",0,-0.0386150641233142,1
0.5,0,2,"ASC2_male",0,-0.094591018341281,1
0.5,0,2,"ASC2_age",0.1,0.10778462757982,1
0.5,0,2,"ASC2_income",0.7,0.571654856170163,1
0.5,0,2,"ASC2_child",-0.4,-0.321630626495579,1
0.5,0,2,"ASC3_male",0,-0.117503535658203,1
0.5,0,2,"ASC3_age",0.4,0.421124583694402,1
0.5,0,2,"ASC3_income",-0.8,-0.937553842661188,1
0.5,0,2,"ASC3_child",0,0.0917591102436008,1
0.5,0,2,"prot25_male",0.5,0.623018130631463,1
0.5,0,2,"prot25_age",0.8,0.797869718829366,1
0.5,0,2,"prot25_income",0,0.0524759480137145,1
0.5,0,2,"prot25_child",0,0.0170462941825261,1
0.5,0,2,"prot50_male",0,0.049560763280454,1
0.5,0,2,"prot50_age",0,-0.00934758523917478,1
0.5,0,2,"prot50_income",0,0.0520155041758539,1
0.5,0,2,"prot50_child",0,0.000674017662442686,1
0.5,0,2,"invasive_male",1,0.889530845169748,1
0.5,0,2,"invasive_age",-0.1,-0.020751784695266,1
0.5,0,2,"invasive_income",0,-0.00819287441313895,1
0.5,0,2,"invasive_child",-0.6,-0.653432906356319,1
0.5,0,3,"ASC2_male",-0.9,-0.708397571598197,1
0.5,0,3,"ASC2_age",-0.4,-0.528310411939437,1
0.5,0,3,"ASC2_income",0,-0.0650474139068557,1
0.5,0,3,"ASC2_child",0,-0.236001977184405,1
0.5,0,3,"ASC3_male",-0.7,-0.624548987135959,1
0.5,0,3,"ASC3_age",0,-0.0946169355714537,1
0.5,0,3,"ASC3_income",0,0.00913766630105622,1
0.5,0,3,"ASC3_child",1,0.719475096820651,1
0.5,0,3,"prot25_male",0,-0.0528147725933425,1
0.5,0,3,"prot25_age",0,0.118579749014781,1
0.5,0,3,"prot25_income",0,0.0140956301393454,1
0.5,0,3,"prot25_child",0,0.20333600939206,1
0.5,0,3,"prot50_male",0.7,0.589707220924153,1
0.5,0,3,"prot50_age",-0.2,-0.0795147858178523,1
0.5,0,3,"prot50_income",-1,-0.896670932264085,1
0.5,0,3,"prot50_child",-0.8,-0.527393094720693,1
0.5,0,3,"invasive_male",0,0.0487855811307321,1
0.5,0,3,"invasive_age",0,-0.00182696089761063,1
0.5,0,3,"invasive_income",-1.2,-1.15222558412011,1
0.5,0,3,"invasive_child",1,0.818392315411876,1
0.5,0,4,"ASC2_male",0,-0.0668173587738811,1
0.5,0,4,"ASC2_age",-0.1,-0.125691638101885,1
0.5,0,4,"ASC2_income",0,-0.0312008452872017,1
0.5,0,4,"ASC2_child",-0.6,-0.518953778662191,1
0.5,0,4,"ASC3_male",0,-0.114747551915634,1
0.5,0,4,"ASC3_age",1,0.89983930129898,1
0.5,0,4,"ASC3_income",0,-0.0539657327719589,1
0.5,0,4,"ASC3_child",0,-0.125971685879947,1
0.5,0,4,"prot25_male",0,-5.2852614958411e-05,1
0.5,0,4,"prot25_age",-0.5,-0.405055800749158,1
0.5,0,4,"prot25_income",0,0.0279235559327702,1
0.5,0,4,"prot25_child",0,0.0726665619987619,1
0.5,0,4,"prot50_male",0.1,0.162879430615337,1
0.5,0,4,"prot50_age",1,1.02745090625334,1
0.5,0,4,"prot50_income",0,-0.0342702168719683,1
0.5,0,4,"prot50_child",-1,-0.945134003285436,1
0.5,0,4,"invasive_male",-1,-1.03439807037356,1
0.5,0,4,"invasive_age",-0.9,-0.867573597757998,1
0.5,0,4,"invasive_income",-0.3,-0.346233010005221,1
0.5,0,4,"invasive_child",0,3.6823768875919e-05,1
0.5,0,5,"ASC2_male",0,-0.0184229778151764,1
0.5,0,5,"ASC2_age",0.7,0.743599573017701,1
0.5,0,5,"ASC2_income",-0.4,-0.412377180898641,1
0.5,0,5,"ASC2_child",-0.3,-0.277656457349813,1
0.5,0,5,"ASC3_male",0,9.72900621565855e-05,1
0.5,0,5,"ASC3_age",0,0.0178766547374751,1
0.5,0,5,"ASC3_income",0.9,0.872479934327629,1
0.5,0,5,"ASC3_child",-0.6,-0.661908566810509,1
0.5,0,5,"prot25_male",0.9,1.00869430723585,1
0.5,0,5,"prot25_age",0,-0.0257940626094415,1
0.5,0,5,"prot25_income",-0.3,-0.322339700577948,1
0.5,0,5,"prot25_child",0,0.0675083386790195,1
0.5,0,5,"prot50_male",0.4,0.428252702671151,1
0.5,0,5,"prot50_age",0,0.0191228079079382,1
0.5,0,5,"prot50_income",0.5,0.516499871671397,1
0.5,0,5,"prot50_child",0,0.0326758112285846,1
0.5,0,5,"invasive_male",0.7,0.735851824226798,1
0.5,0,5,"invasive_age",0,-0.028876263414471,1
0.5,0,5,"invasive_income",0,0.00110068380223602,1
0.5,0,5,"invasive_child",0,-0.0151424909478329,1
0.5,0,6,"ASC2_male",0.4,0.227234071155084,1
0.5,0,6,"ASC2_age",0.7,0.705450948110752,1
0.5,0,6,"ASC2_income",0,-0.00283661462892764,1
0.5,0,6,"ASC2_child",0,-0.123255178126308,1
0.5,0,6,"ASC3_male",0,-0.108425922563821,1
0.5,0,6,"ASC3_age",0,0.015027343271025,1
0.5,0,6,"ASC3_income",0,-0.0644524772264195,1
0.5,0,6,"ASC3_child",1.2,1.3212960377107,1
0.5,0,6,"prot25_male",-0.4,-0.246894760310229,1
0.5,0,6,"prot25_age",-0.3,-0.354883768326905,1
