"Alpha","Threshold","Iteration","Interaction","TrueBeta","Estimate","Detected"
1,0,1,"ASC2_male",0,-3.5486034944591e-05,1
1,0,1,"ASC2_age",0.6,0.489726302569438,1
1,0,1,"ASC2_income",0,5.48159650924171e-05,1
1,0,1,"ASC2_child",0,-0.000243015301552977,1
1,0,1,"ASC3_male",0,0.0114869816249206,1
1,0,1,"ASC3_age",-1,-0.984897275305944,1
1,0,1,"ASC3_income",0,0.0237827726969406,1
1,0,1,"ASC3_child",0.2,0.225889389134541,1
1,0,1,"prot25_male",0,0.0925775934341893,1
1,0,1,"prot25_age",-1,-0.941574854812519,1
1,0,1,"prot25_income",0,-0.0259771418864747,1
1,0,1,"prot25_child",1.1,0.813977800927036,1
1,0,1,"prot50_male",-0.2,-0.129819530058668,1
1,0,1,"prot50_age",0.5,0.56152824692449,1
1,0,1,"prot50_income",0.6,0.507636892744688,1
1,0,1,"prot50_child",0,-0.0746817033116886,1
1,0,1,"invasive_male",-0.2,-0.00883003166626963,1
1,0,1,"invasive_age",0,0.0505465114108498,1
1,0,1,"invasive_income",-0.3,-0.224091621495952,1
1,0,1,"invasive_child",0,6.14418750785384e-05,1
1,0,2,"ASC2_male",0.2,0.213797297273845,1
1,0,2,"ASC2_age",0,6.93164954170202e-06,1
1,0,2,"ASC2_income",0.2,0.216194784298873,1
1,0,2,"ASC2_child",0,-8.48450709561302e-05,1
1,0,2,"ASC3_male",-0.2,-0.167856623250743,1
1,0,2,"ASC3_age",0,-0.00220907395246394,1
1,0,2,"ASC3_income",0.9,0.885033424138071,1
1,0,2,"ASC3_child",0,0.0466411422972378,1
1,0,2,"prot25_male",0,0.0395544901498544,1
1,0,2,"prot25_age",-0.4,-0.372829144545982,1
1,0,2,"prot25_income",0,-0.0403229366934737,1
1,0,2,"prot25_child",-0.9,-0.716587182766554,1
1,0,2,"prot50_male",0,0.0209075358125195,1
1,0,2,"prot50_age",-1,-0.987262646067177,1
1,0,2,"prot50_income",0,-0.0148815107815355,1
1,0,2,"prot50_child",0,0.177481922417566,1
1,0,2,"invasive_male",0.7,0.778105920775469,1
1,0,2,"invasive_age",0,-0.0422007247434406,1
1,0,2,"invasive_income",-0.2,-0.156056063095742,1
1,0,2,"invasive_child",-1,-0.789280918852735,1
1,0,3,"ASC2_male",0,0.0515008099393515,1
1,0,3,"ASC2_age",0.4,0.359337888240108,1
1,0,3,"ASC2_income",-0.7,-0.68762260898116,1
1,0,3,"ASC2_child",0,-0.0107259573909534,1
1,0,3,"ASC3_male",0,0.0232077426404632,1
1,0,3,"ASC3_age",0,-0.0462116263991394,1
1,0,3,"ASC3_income",0,0.0292609117211095,1
1,0,3,"ASC3_child",0,0.0215422257615559,1
1,0,3,"prot25_male",0.3,0.187388426448962,1
1,0,3,"prot25_age",-0.9,-0.87672329157252,1
1,0,3,"prot25_income",0,0.0984712632968723,1
1,0,3,"prot25_child",-0.3,-0.379499935281499,1
1,0,3,"prot50_male",0,-0.0921977819632459,1
1,0,3,"prot50_age",0,0.0835320736407825,1
1,0,3,"prot50_income",0.2,0.211299760489423,1
1,0,3,"prot50_child",0,0.0080938013785592,1
1,0,3,"invasive_male",-0.4,-0.476665300399275,1
1,0,3,"invasive_age",1,1.00794653349778,1
1,0,3,"invasive_income",1.1,1.20188987663593,1
1,0,3,"invasive_child",1,1.0411943891631,1
1,0,4,"ASC2_male",0,0.158348741340894,1
1,0,4,"ASC2_age",0.7,0.54569692486719,1
1,0,4,"ASC2_income",0.6,0.479300311520945,1
1,0,4,"ASC2_child",1,0.806146301002872,1
1,0,4,"ASC3_male",0,0.14948024152647,1
1,0,4,"ASC3_age",0,-0.133153197544564,1
1,0,4,"ASC3_income",0,-0.129970546762911,1
1,0,4,"ASC3_child",-1.2,-1.30538246698925,1
1,0,4,"prot25_male",0,-0.0864576321547307,1
1,0,4,"prot25_age",0,0.0479799691987785,1
1,0,4,"prot25_income",0.6,0.605205271888676,1
1,0,4,"prot25_child",-0.2,-0.084632863846518,1
1,0,4,"prot50_male",0,-0.194568628270309,1
1,0,4,"prot50_age",0,0.060394975921373,1
1,0,4,"prot50_income",0.3,0.31487533636029,1
1,0,4,"prot50_child",0,0.139600774893979,1
1,0,4,"invasive_male",-0.5,-0.490188959453706,1
1,0,4,"invasive_age",-0.2,-0.246513708633736,1
1,0,4,"invasive_income",-0.6,-0.626194186593483,1
1,0,4,"invasive_child",0,-0.117649666525776,1
1,0,5,"ASC2_male",0,-0.409513210560204,1
1,0,5,"ASC2_age",0,-0.040527883880369,1
1,0,5,"ASC2_income",-0.3,-0.357142339871586,1
1,0,5,"ASC2_child",0,0.0094063702717344,1
1,0,5,"ASC3_male",0.7,0.349786690222636,1
1,0,5,"ASC3_age",0,-5.27949070389034e-05,1
1,0,5,"ASC3_income",0,-0.0224970542638648,1
1,0,5,"ASC3_child",0.3,0.348217665236099,1
1,0,5,"prot25_male",0.5,0.729259589188909,1
1,0,5,"prot25_age",0,0.0300931551993279,1
1,0,5,"prot25_income",0,0.0586931514764643,1
1,0,5,"prot25_child",0.5,0.364057143552466,1
1,0,5,"prot50_male",0.7,0.82451070910009,1
