"Alpha","NoiseScale","Iteration","BestLambda","FitCode","LogLik"
1,2.5,1,0,4,-1422.29508140805
1,2.5,2,0,4,-1528.87887704192
1,2.5,3,0,4,-1548.8920632485
1,2.5,4,0,4,-1435.9315292832
1,2.5,5,0,4,-1522.19514671159
1,2.5,6,0,4,-1485.33906664321
1,2.5,7,0,4,-1424.06312245074
1,2.5,8,0,4,-1446.65883356049
1,2.5,9,0,4,-1573.89755801148
1,2.5,10,0,4,-1465.90411139035
1,2.5,11,0,4,-1538.4988693192
1,2.5,12,0,4,-1493.77937789181
1,2.5,13,0,4,-1530.67454836965
1,2.5,14,0,4,-1525.9771854845
1,2.5,15,0,4,-1491.50187253279
1,2.5,16,0,4,-1475.2853761108
1,2.5,17,0,4,-1530.8552504952
1,2.5,18,0,4,-1551.48055215912
1,2.5,19,0,4,-1510.91981132905
1,2.5,20,0,4,-1475.70025670263
1,2.5,21,0,4,-1539.85786534331
1,2.5,22,0,4,-1492.04609470096
1,2.5,23,0,4,-1555.09397600758
1,2.5,24,0,4,-1507.14122146746
1,2.5,25,0,4,-1500.574179482
1,2.5,26,0,4,-1519.95081852466
1,2.5,27,0,4,-1521.34682502978
1,2.5,28,0,4,-1561.77116293553
1,2.5,29,0,4,-1484.34877520842
1,2.5,30,0,4,-1489.0654190729
1,2.5,31,0,4,-1480.82231722206
1,2.5,32,0,4,-1490.48309805426
1,2.5,33,0,4,-1527.86170586592
1,2.5,34,0,4,-1535.44591113222
1,2.5,35,0,4,-1523.70439306609
1,2.5,36,0,4,-1472.01981868995
1,2.5,37,0,4,-1500.20857462932
1,2.5,38,0,4,-1553.3663309453
1,2.5,39,0,4,-1479.80448691384
1,2.5,40,0,4,-1478.02554283382
1,2.5,41,0,4,-1538.22132987792
1,2.5,42,0,4,-1544.61371274704
1,2.5,43,0,4,-1523.34188598033
1,2.5,44,0,4,-1515.486790607
1,2.5,45,0,4,-1513.04872696628
1,2.5,46,0,4,-1526.86409857265
1,2.5,47,0,4,-1521.14732134831
1,2.5,48,0,4,-1520.23858657973
1,2.5,49,0,4,-1511.86544810627
1,2.5,50,0,4,-1459.61705791695
1,2.5,51,0,4,-1547.68679796956
1,2.5,52,0,4,-1511.65139497329
1,2.5,53,0,4,-1525.81994582415
1,2.5,54,0,4,-1520.83879036711
1,2.5,55,0,4,-1550.64400499175
1,2.5,56,0,4,-1505.20732675747
1,2.5,57,0,4,-1520.1044260642
1,2.5,58,0,4,-1561.10491905898
1,2.5,59,0,4,-1508.08096581607
1,2.5,60,0,4,-1548.34355805836
1,2.5,61,0,4,-1544.67219226098
1,2.5,62,0,4,-1529.67587564936
1,2.5,63,0,4,-1570.66042708954
1,2.5,64,0,4,-1530.91978985717
1,2.5,65,0,4,-1464.41714321244
1,2.5,66,0,4,-1429.44294196945
1,2.5,67,0,4,-1485.03429087878
1,2.5,68,0,4,-1543.83371932597
1,2.5,69,0,4,-1445.68385214753
1,2.5,70,0,4,-1469.83203282678
1,2.5,71,0,4,-1486.8394009708
1,2.5,72,0,4,-1523.06783550078
1,2.5,73,0,4,-1543.30024584153
1,2.5,74,0,4,-1497.54501734244
1,2.5,75,0,4,-1501.63842465594
1,2.5,76,0,4,-1587.00885665323
1,2.5,77,0,4,-1471.11866476832
1,2.5,78,0,4,-1436.9166649927
1,2.5,79,0,4,-1477.87931635871
1,2.5,80,0,4,-1507.59685872971
1,2.5,81,0,4,-1455.51240925493
1,2.5,82,0,4,-1510.65660418995
1,2.5,83,0,4,-1504.4181743128
1,2.5,84,0,4,-1512.58460747809
1,2.5,85,0,4,-1509.11904913708
1,2.5,86,0,4,-1480.39602431472
1,2.5,87,0,4,-1522.15793732392
1,2.5,88,0,4,-1551.58516557487
1,2.5,89,0,4,-1511.40686668699
1,2.5,90,0,4,-1513.91896282074
1,2.5,91,0,4,-1414.39830730374
1,2.5,92,0,4,-1494.9667695818
1,2.5,93,0,4,-1478.85420964841
1,2.5,94,0,4,-1569.14313809069
1,2.5,95,0,4,-1485.36872385884
1,2.5,96,0,4,-1527.81641997791
1,2.5,97,0,4,-1534.95990439745
1,2.5,98,0,4,-1560.02836205055
1,2.5,99,0,4,-1565.71167983179
1,2.5,100,0,4,-1566.54003814623
