"Alpha","NoiseScale","Iteration","BestLambda","FitCode","LogLik"
1,4,1,0,4,-1533.32907933299
1,4,2,0,4,-1589.29304092579
1,4,3,0,4,-1593.21842272861
1,4,4,0,4,-1531.45757974983
1,4,5,0,4,-1587.86800477287
1,4,6,0,4,-1573.81954636703
1,4,7,0,4,-1543.1909133819
1,4,8,0,4,-1554.46684814255
1,4,9,0,4,-1618.97301348315
1,4,10,0,4,-1559.9449386266
1,4,11,0,4,-1590.23302009735
1,4,12,0,4,-1571.8314136605
1,4,13,0,4,-1597.35835909534
1,4,14,0,4,-1598.85223813573
1,4,15,0,4,-1565.48070680849
1,4,16,0,4,-1559.60886699978
1,4,17,0,4,-1576.09609935142
1,4,18,0,4,-1599.45844355913
1,4,19,0,4,-1579.69202905293
1,4,20,0,4,-1557.9530991173
1,4,21,0,4,-1602.39220325827
1,4,22,0,4,-1587.14843725137
1,4,23,0,4,-1611.00143587598
1,4,24,0,4,-1570.42119629489
1,4,25,0,4,-1572.29692568393
1,4,26,0,4,-1587.36456332585
1,4,27,0,4,-1585.84211477448
1,4,28,0,4,-1603.74238453172
1,4,29,0,4,-1574.97665914853
1,4,30,0,4,-1575.48915257138
1,4,31,0,4,-1568.51416901492
1,4,32,0,4,-1575.37456786071
1,4,33,0,4,-1584.2377704995
1,4,34,0,4,-1591.84838779037
1,4,35,0,4,-1586.66408436919
1,4,36,0,4,-1573.24681052339
1,4,37,0,4,-1568.94841380624
1,4,38,0,4,-1604.2450359183
1,4,39,0,4,-1578.49379110343
1,4,40,0,4,-1566.14134541361
1,4,41,0,4,-1585.12948630679
1,4,42,0,4,-1594.50774780257
1,4,43,0,4,-1584.65135649472
1,4,44,0,4,-1584.79394272382
1,4,45,0,4,-1581.48421016283
1,4,46,0,4,-1591.59555068702
1,4,47,0,4,-1576.95479118008
1,4,48,0,4,-1581.06819070144
1,4,49,0,4,-1587.12963259511
1,4,50,0,4,-1542.55204281845
1,4,51,0,4,-1603.26052892347
1,4,52,0,4,-1586.97111585169
1,4,53,0,4,-1586.44429454115
1,4,54,0,4,-1583.03635963262
1,4,55,0,4,-1604.5926885795
1,4,56,0,4,-1586.77287387916
1,4,57,0,4,-1592.31633819267
1,4,58,0,4,-1606.94519866889
1,4,59,0,4,-1577.23552936985
1,4,60,0,4,-1603.2009968627
1,4,61,0,4,-1599.19482507823
1,4,62,0,4,-1594.50991881278
1,4,63,0,4,-1609.45794293764
1,4,64,0,4,-1585.93372930895
1,4,65,0,4,-1551.38737702934
1,4,66,0,4,-1551.48356818658
1,4,67,0,4,-1568.76333410218
1,4,68,0,4,-1590.09986843947
1,4,69,0,4,-1557.46924689063
1,4,70,0,4,-1570.20809513447
1,4,71,0,4,-1580.64809343
1,4,72,0,4,-1584.56995228334
1,4,73,0,4,-1607.78220937622
1,4,74,0,4,-1566.09142996676
1,4,75,0,4,-1562.71362441361
1,4,76,0,4,-1611.88554948396
1,4,77,0,4,-1563.66979097112
1,4,78,0,4,-1553.52615973078
1,4,79,0,4,-1566.3448569928
1,4,80,0,4,-1585.34931220747
1,4,81,0,4,-1546.66622332514
1,4,82,0,4,-1578.6231111518
1,4,83,0,4,-1561.26126768686
1,4,84,0,4,-1574.94938186648
1,4,85,0,4,-1572.04632791182
1,4,86,0,4,-1552.41201175354
1,4,87,0,4,-1586.24464855451
1,4,88,0,4,-1599.69966266244
1,4,89,0,4,-1576.09567211802
1,4,90,0,4,-1589.62559825594
1,4,91,0,4,-1531.78198566109
1,4,92,0,4,-1572.60591283004
1,4,93,0,4,-1556.55900293692
1,4,94,0,4,-1617.10851833404
1,4,95,0,4,-1552.15816515343
1,4,96,0,4,-1589.94298375858
1,4,97,0,4,-1590.84382740869
1,4,98,0,4,-1608.40138013194
1,4,99,0,4,-1614.57486847709
1,4,100,0,4,-1612.70469760142
