"Alpha","NoiseScale","Threshold","Iteration","Interaction","TrueBeta","Estimate","Detected"
1,6,1e-04,1,"ASC2_male",0.9,-0.0288991167220653,1
1,6,1e-04,1,"ASC2_age",0.3,0.0751018045794141,1
1,6,1e-04,1,"ASC2_income",0,-0.0643941468589505,1
1,6,1e-04,1,"ASC2_child",0,0.132082971326609,1
1,6,1e-04,1,"ASC3_male",-1.1,-0.476244742528071,1
1,6,1e-04,1,"ASC3_age",0,0.0995830845912048,1
1,6,1e-04,1,"ASC3_income",0.8,0.142412581637392,1
1,6,1e-04,1,"ASC3_child",0,0.377185894631754,1
1,6,1e-04,1,"prot25_male",1.2,0.356014864927813,1
1,6,1e-04,1,"prot25_age",0.7,0.0698982605575057,1
1,6,1e-04,1,"prot25_income",0,-0.0203178143921823,1
1,6,1e-04,1,"prot25_child",1.1,0.200579428002091,1
1,6,1e-04,1,"prot50_male",0,0.203036882489843,1
1,6,1e-04,1,"prot50_age",0,-0.0850304666813747,1
1,6,1e-04,1,"prot50_income",-1.2,-0.248615065150813,1
1,6,1e-04,1,"prot50_child",1.1,0.197053371290841,1
1,6,1e-04,1,"invasive_male",0,-0.233149779821162,1
1,6,1e-04,1,"invasive_age",-0.6,-0.0918324238665041,1
1,6,1e-04,1,"invasive_income",0,-0.0820000956906406,1
1,6,1e-04,1,"invasive_child",0,0.222980571336491,1
1,6,1e-04,2,"ASC2_male",0,-0.209160543089903,1
1,6,1e-04,2,"ASC2_age",0.1,-0.0442077722052993,1
1,6,1e-04,2,"ASC2_income",0.7,0.26982658490024,1
1,6,1e-04,2,"ASC2_child",-0.4,0.0269372974270911,1
1,6,1e-04,2,"ASC3_male",0,-0.058509190185804,1
1,6,1e-04,2,"ASC3_age",0.4,-0.129728317174211,1
1,6,1e-04,2,"ASC3_income",-0.8,0.00509800851086143,1
1,6,1e-04,2,"ASC3_child",0,0.12557636720998,1
1,6,1e-04,2,"prot25_male",0.5,0.312721860905566,1
1,6,1e-04,2,"prot25_age",0.8,0.237250020219171,1
1,6,1e-04,2,"prot25_income",0,0.0334412028065558,1
1,6,1e-04,2,"prot25_child",0,-0.115666360713369,1
1,6,1e-04,2,"prot50_male",0,0.0528366142881579,1
1,6,1e-04,2,"prot50_age",0,0.192149318295442,1
1,6,1e-04,2,"prot50_income",0,0.00387830269280122,1
1,6,1e-04,2,"prot50_child",0,-0.0206680408079103,1
1,6,1e-04,2,"invasive_male",1,0.199037524001022,1
1,6,1e-04,2,"invasive_age",-0.1,-0.0578604279603903,1
1,6,1e-04,2,"invasive_income",0,0.155007663232414,1
1,6,1e-04,2,"invasive_child",-0.6,-0.164668124705499,1
