"Alpha","Iteration","BestLambda","FitCode","LogLik"
1,1,0,8,-2515.69151580254
1,2,0,8,-2954.55033834615
1,3,0,8,-2855.26331570388
1,4,0,8,-2795.53474200957
1,5,0,8,-2723.34196809874
1,6,0,8,-2567.77795629279
1,7,0,8,-2761.03626239831
1,8,0,8,-2688.50638779448
1,9,0,8,-2618.48717126846
1,10,0,8,-2649.25477993032
1,11,0,8,-2319.64107222606
1,12,0,8,-2990.37884695366
1,13,0,8,-2989.65267536883
1,14,0,8,-2472.75696645211
1,15,0,8,-2665.25941928979
1,16,0,8,-2714.27543802612
1,17,0,8,-2954.72744420056
1,18,0,8,-3105.76514566496
1,19,0,8,-2856.73216755701
1,20,0,8,-2335.95320944602
1,21,0,8,-2785.44096428834
1,22,0,8,-2716.65056353681
1,23,0,8,-2592.47592764952
1,24,0,8,-2641.70770312281
1,25,0,8,-2515.91168844781
1,26,0,8,-2733.16427290188
1,27,0,8,-2640.57799704796
1,28,0,8,-2929.94402594601
1,29,0,8,-2741.70421572721
1,30,0,8,-3080.08023500246
1,31,0,8,-2676.4149455962
1,32,0,8,-2710.49228815369
1,33,0,8,-2565.4658023291
1,34,0,8,-2503.07269586938
1,35,0,8,-2736.54744374012
1,36,0,8,-2415.3646221379
1,37,0,8,-3085.59696656188
1,38,0,8,-2645.02194063425
1,39,0,8,-2367.74148506436
1,40,0,8,-2622.94446710092
1,41,0,8,-2667.40479902627
1,42,0,8,-2539.86091183448
1,43,0,8,-2572.30035037619
1,44,0,8,-2362.74007593583
1,45,0,8,-2592.17908102662
1,46,0,8,-2756.46175331785
1,47,0,8,-2273.58371251638
1,48,0,8,-2423.31757277031
1,49,0,8,-2956.52291352281
1,50,0,8,-2414.32610244324
1,51,0,8,-2758.0482181048
1,52,0,8,-2740.89292405403
1,53,0,8,-2650.56239106895
1,54,0,8,-2804.1315473461
1,55,0,8,-2861.39850868523
1,56,0,8,-2326.32633542417
1,57,0,8,-2318.23251765761
1,58,0,8,-2702.91844048054
1,59,0,8,-2622.84546284251
1,60,0,8,-2955.9855294218
1,61,0,8,-2916.71168011596
1,62,0,8,-2827.0950030285
1,63,0,8,-2729.36293006292
1,64,0,8,-2625.60680446467
1,65,0,8,-2407.77702731466
1,66,0,8,-2597.7697169847
1,67,0,8,-2853.2314123909
1,68,0,8,-2919.59615927203
1,69,0,8,-2621.34518677716
1,70,0,8,-2627.38654747027
1,71,0,8,-2911.94464344115
1,72,0,8,-2664.28730510241
1,73,0,8,-2633.97127701289
1,74,0,8,-2664.90977685816
1,75,0,8,-2596.4032844202
1,76,0,8,-2335.95004475413
1,77,0,8,-2856.95747382768
1,78,0,8,-3083.05353749988
1,79,0,8,-2691.12895450789
1,80,0,8,-2977.8768491088
1,81,0,8,-2624.76618610072
1,82,0,8,-2686.45687427923
1,83,0,8,-2541.16158925762
1,84,0,8,-3038.87920010668
1,85,0,8,-2779.6092427362
1,86,0,8,-2628.8117384906
1,87,0,8,-2788.97035359899
1,88,0,8,-2751.42081658401
1,89,0,8,-3023.92302961271
1,90,0,8,-2701.31575471235
1,91,0,8,-3001.6695330275
1,92,0,8,-2828.04907686928
1,93,0,8,-2914.87629748938
1,94,0,8,-2830.39902507943
1,95,0,8,-3061.27691011653
1,96,0,8,-2837.72442757203
1,97,0,8,-2347.86799220368
1,98,0,8,-2337.9313925045
1,99,0,8,-2356.03819787714
1,100,0,8,-2655.00051860565
