"Alpha","NoiseScale","Threshold","Iteration","Interaction","TrueBeta","Estimate","Detected"
1,0.5,1e-04,1,"ASC2_male",0.9,1.36505786667198,1
1,0.5,1e-04,1,"ASC2_age",0.3,0.530465579221389,1
1,0.5,1e-04,1,"ASC2_income",0,0.0763687987729108,1
1,0.5,1e-04,1,"ASC2_child",0,0.5181186294299,1
1,0.5,1e-04,1,"ASC3_male",-1.1,-2.65207878197388,1
1,0.5,1e-04,1,"ASC3_age",0,-0.094791849705337,1
1,0.5,1e-04,1,"ASC3_income",0.8,1.69198314167632,1
1,0.5,1e-04,1,"ASC3_child",0,0.462111522401175,1
1,0.5,1e-04,1,"prot25_male",1.2,2.45859403382547,1
1,0.5,1e-04,1,"prot25_age",0.7,1.4906498998119,1
1,0.5,1e-04,1,"prot25_income",0,0.0154430070601557,1
1,0.5,1e-04,1,"prot25_child",1.1,1.77429738101984,1
1,0.5,1e-04,1,"prot50_male",0,0.311935324660049,1
1,0.5,1e-04,1,"prot50_age",0,0.18623422214939,1
1,0.5,1e-04,1,"prot50_income",-1.2,-2.3549965875583,1
1,0.5,1e-04,1,"prot50_child",1.1,2.09658593671892,1
1,0.5,1e-04,1,"invasive_male",0,-0.189200974785083,1
1,0.5,1e-04,1,"invasive_age",-0.6,-1.31137652853306,1
1,0.5,1e-04,1,"invasive_income",0,0.117464436033272,1
1,0.5,1e-04,1,"invasive_child",0,0.0422606126025518,1
1,0.5,1e-04,2,"ASC2_male",0,-0.0993422323090925,1
1,0.5,1e-04,2,"ASC2_age",0.1,0.165068553011853,1
1,0.5,1e-04,2,"ASC2_income",0.7,1.03244182154735,1
1,0.5,1e-04,2,"ASC2_child",-0.4,-0.557654506643694,1
1,0.5,1e-04,2,"ASC3_male",0,-0.0825480354703432,1
1,0.5,1e-04,2,"ASC3_age",0.4,0.710393564383371,1
1,0.5,1e-04,2,"ASC3_income",-0.8,-1.8455369695264,1
1,0.5,1e-04,2,"ASC3_child",0,0.171616235231292,1
1,0.5,1e-04,2,"prot25_male",0.5,1.16469549277404,1
1,0.5,1e-04,2,"prot25_age",0.8,1.55976476376178,1
1,0.5,1e-04,2,"prot25_income",0,0.147946476708621,1
1,0.5,1e-04,2,"prot25_child",0,0.0596597368698288,1
1,0.5,1e-04,2,"prot50_male",0,0.00832712916720889,1
1,0.5,1e-04,2,"prot50_age",0,-0.026795030778136,1
1,0.5,1e-04,2,"prot50_income",0,0.09528415385162,1
1,0.5,1e-04,2,"prot50_child",0,0.0278932315093904,1
1,0.5,1e-04,2,"invasive_male",1,1.65869542920155,1
1,0.5,1e-04,2,"invasive_age",-0.1,-0.222058139061831,1
