"Alpha","Iteration","BestLambda","FitCode","LogLik"
0.5,1,0,8,-3685.64090051926
0.5,2,0,8,-4512.54891547242
0.5,3,0,8,-4965.49890212403
0.5,4,0,8,-4178.73684486242
0.5,5,0,8,-4591.31307725027
0.5,6,0,8,-4426.0203585177
0.5,7,0,8,-3628.46420777744
0.5,8,0,8,-3598.42722580341
0.5,9,0,8,-4807.38434393629
0.5,10,0,8,-4054.34710587529
0.5,11,0,8,-4528.13490545873
0.5,12,0,8,-4496.47890668583
0.5,13,0,8,-4352.51482298598
0.5,14,0,8,-4384.19457669327
0.5,15,0,8,-4373.80765798326
0.5,16,0,8,-4189.00939674576
0.5,17,0,8,-4582.98052430655
0.5,18,0,8,-4749.05826272079
0.5,19,0,8,-4354.87311978789
0.5,20,0,8,-4301.33050223732
0.5,21,0,8,-4513.28401774372
0.5,22,0,8,-4216.42692015851
0.5,23,0,8,-4780.68663316121
0.5,24,0,8,-4462.92015970161
0.5,25,0,8,-4049.4604882578
0.5,26,0,8,-4611.8330891225
0.5,27,0,8,-4581.8549592321
0.5,28,0,8,-5288.40124856498
0.5,29,0,8,-4215.30107315119
0.5,30,0,8,-4385.82311539536
0.5,31,0,8,-4571.18761810086
0.5,32,0,8,-4233.9822109528
0.5,33,0,8,-4600.88706903287
0.5,34,0,8,-4531.81442259469
0.5,35,0,8,-4527.54434966031
0.5,36,0,8,-4154.1088631286
0.5,37,0,8,-4568.13186506437
0.5,38,0,8,-4678.06679424168
0.5,39,0,8,-4519.17880237225
0.5,40,0,8,-4325.52477853546
0.5,41,0,8,-4799.25343829739
0.5,42,0,8,-4727.09731570881
0.5,43,0,8,-4516.15510061849
0.5,44,0,8,-4557.34393228502
0.5,45,0,8,-4440.89832963918
0.5,46,0,8,-4624.0494373977
0.5,47,0,8,-4636.41396300578
0.5,48,0,8,-4578.73477505026
0.5,49,0,8,-4318.83388474691
0.5,50,0,8,-4081.90858699304
0.5,51,0,8,-4513.41118458514
0.5,52,0,8,-4418.94594936297
0.5,53,0,8,-4529.52828111791
0.5,54,0,8,-4655.24441165962
0.5,55,0,8,-4858.02803755036
0.5,56,0,8,-4244.57260894255
0.5,57,0,8,-4277.18821797892
0.5,58,0,8,-4917.36809876678
0.5,59,0,8,-4320.60229856495
0.5,60,0,8,-5171.5008091405
0.5,61,0,8,-4739.63897778723
0.5,62,0,8,-4808.7894976548
0.5,63,0,8,-5143.26840152017
0.5,64,0,8,-4369.22230918509
0.5,65,0,8,-4274.46013511431
0.5,66,0,8,-3875.02076695416
0.5,67,0,8,-4130.70827854951
0.5,68,0,8,-4868.26476520822
0.5,69,0,8,-3878.09746362232
0.5,70,0,8,-4084.60818012327
0.5,71,0,8,-4435.83921360215
0.5,72,0,8,-4365.1964210378
0.5,73,0,8,-5014.28510964022
0.5,74,0,8,-4328.69800922366
0.5,75,0,8,-4539.3728152586
0.5,76,0,8,-5238.38146902631
0.5,77,0,8,-4092.53329323428
0.5,78,0,8,-4006.6122879503
0.5,79,0,8,-4076.17345208414
0.5,80,0,8,-4487.26575501141
0.5,81,0,8,-4189.39284958349
0.5,82,0,8,-4407.44033446992
0.5,83,0,8,-4587.83351491457
0.5,84,0,8,-4679.55218618759
0.5,85,0,8,-4483.33249815667
0.5,86,0,8,-4220.54415257394
0.5,87,0,8,-4370.40479318077
0.5,88,0,8,-4772.30235431913
0.5,89,0,8,-4427.79379232069
0.5,90,0,8,-4364.43009158923
0.5,91,0,8,-4102.2459315437
0.5,92,0,8,-4239.79764023385
0.5,93,0,8,-4252.95796335573
0.5,94,0,8,-4705.61653490953
0.5,95,0,8,-4578.4063115709
0.5,96,0,8,-4616.77986556465
0.5,97,0,8,-4552.83120646773
0.5,98,0,8,-4936.08655100201
0.5,99,0,8,-4685.55520029641
0.5,100,0,8,-4725.38882221256
