"Alpha","Threshold","Iteration","Interaction","TrueBeta","Estimate","Detected"
0.5,1e-04,1,"ASC2_male",0.9,0.733272867652391,1
0.5,1e-04,1,"ASC2_age",0.3,0.338544025300517,1
0.5,1e-04,1,"ASC2_income",0,0.0547586547050887,1
0.5,1e-04,1,"ASC2_child",0,-0.131487491327275,1
0.5,1e-04,1,"ASC3_male",-1.1,-1.1608790254257,1
0.5,1e-04,1,"ASC3_age",0,0.0260412861187848,1
0.5,1e-04,1,"ASC3_income",0.8,0.853402608290606,1
0.5,1e-04,1,"ASC3_child",0,-0.224621905196623,1
0.5,1e-04,1,"prot25_male",1.2,1.25047498275986,1
0.5,1e-04,1,"prot25_age",0.7,0.676580771414528,1
0.5,1e-04,1,"prot25_income",0,0.0569808470246528,1
0.5,1e-04,1,"prot25_child",1.1,1.19870677791639,1
0.5,1e-04,1,"prot50_male",0,-0.0384227773960418,1
0.5,1e-04,1,"prot50_age",0,-0.037818362307423,1
0.5,1e-04,1,"prot50_income",-1.2,-1.11186144082254,1
0.5,1e-04,1,"prot50_child",1.1,1.33725961296454,1
0.5,1e-04,1,"invasive_male",0,-0.083722033069792,1
0.5,1e-04,1,"invasive_age",-0.6,-0.590713450207329,1
0.5,1e-04,1,"invasive_income",0,0.0412290579767231,1
0.5,1e-04,1,"invasive_child",0,-0.0666672561568,1
0.5,1e-04,2,"ASC2_male",0,-0.121399204639346,1
0.5,1e-04,2,"ASC2_age",0.1,0.116232791908245,1
0.5,1e-04,2,"ASC2_income",0.7,0.555167303612304,1
0.5,1e-04,2,"ASC2_child",-0.4,-0.331428667432876,1
0.5,1e-04,2,"ASC3_male",0,-0.139254560738026,1
0.5,1e-04,2,"ASC3_age",0.4,0.436980147157713,1
0.5,1e-04,2,"ASC3_income",-0.8,-0.992979038710607,1
0.5,1e-04,2,"ASC3_child",0,0.109187663097053,1
0.5,1e-04,2,"prot25_male",0.5,0.664234129001316,1
0.5,1e-04,2,"prot25_age",0.8,0.799982399249674,1
0.5,1e-04,2,"prot25_income",0,0.0871240944662174,1
0.5,1e-04,2,"prot25_child",0,0.0146204266569646,1
0.5,1e-04,2,"prot50_male",0,0.0898044934995195,1
0.5,1e-04,2,"prot50_age",0,-0.0237521132554169,1
0.5,1e-04,2,"prot50_income",0,0.0884138360406282,1
0.5,1e-04,2,"prot50_child",0,-0.0200537069948875,1
0.5,1e-04,2,"invasive_male",1,0.940185918194093,1
0.5,1e-04,2,"invasive_age",-0.1,-0.0283808684569705,1
0.5,1e-04,2,"invasive_income",0,-0.0233998440583194,1
0.5,1e-04,2,"invasive_child",-0.6,-0.685126429004507,1
0.5,1e-04,3,"ASC2_male",-0.9,-0.714922555904218,1
