"Alpha","NoiseScale","Iteration","ASC2_male","ASC2_age","ASC2_income","ASC2_child","ASC3_male","ASC3_age","ASC3_income","ASC3_child","prot25_male","prot25_age","prot25_income","prot25_child","prot50_male","prot50_age","prot50_income","prot50_child","invasive_male","invasive_age","invasive_income","invasive_child"
1,2,1,0.9,0.3,0,0,-1.1,0,0.8,0,1.2,0.7,0,1.1,0,0,-1.2,1.1,0,-0.6,0,0
1,2,2,0,0.1,0.7,-0.4,0,0.4,-0.8,0,0.5,0.8,0,0,0,0,0,0,1,-0.1,0,-0.6
1,2,3,-0.9,-0.4,0,0,-0.7,0,0,1,0,0,0,0,0.7,-0.2,-1,-0.8,0,0,-1.2,1
1,2,4,0,-0.1,0,-0.6,0,1,0,0,0,-0.5,0,0,0.1,1,0,-1,-1,-0.9,-0.3,0
1,2,5,0,0.7,-0.4,-0.3,0,0,0.9,-0.6,0.9,0,-0.3,0,0.4,0,0.5,0,0.7,0,0,0
1,2,6,0.4,0.7,0,0,0,0,0,1.2,-0.4,-0.3,0,0,0,-1.1,-0.2,-0.2,0,1,0,0.9
1,2,7,0.8,0,0,1.2,-0.7,0,0,-1,1.2,0.8,0,0.7,0,-0.4,0,0.6,0,0,1.1,0
1,2,8,0,-1.2,0,0,-0.3,0.9,0,1.2,0,-0.2,0,1.1,1.1,0,-0.2,0,0,0.7,0.3,0
1,2,9,1,0,0,-1.2,0.9,-0.6,0,-0.9,-0.3,0,0,0,-0.2,0.6,-0.7,0,0,0,-0.7,0
1,2,10,0.9,0,1.2,-0.8,0.4,-0.4,0,0,1,0,0,0,0.4,0,0,0.7,0,0.6,0,-0.7
1,2,11,1.1,-0.5,0,-0.5,0,0,-0.7,0,0,0.7,0,0,-1,0.7,0.1,1.2,0,0,-0.2,0
1,2,12,0,0.8,0,0,0.6,0.2,0,0,0,-0.9,0,0.2,-0.7,-0.6,0,0,-0.7,-1.2,-1.1,0
1,2,13,-0.7,-0.3,0,0,0,0,0,-1.1,-0.5,0,0.3,-0.3,0.9,1,-0.5,0,0,0,1,0
1,2,14,0.7,0,0,-1.2,-1.1,0,0,0,0,-0.2,-1,-0.2,0,-1,1,0,0,0.6,0.2,0
1,2,15,-0.1,-0.6,0.3,0,0,0,1.1,1.2,0,0,0,0.8,0,0.8,0.2,0,0,-1.2,0,0.9
1,2,16,1,1,0,0,0.7,0,0,-1,0,0.2,0,0,0.9,0.5,0,-0.3,-0.4,0,0.2,0
1,2,17,0.6,-1,1,0.8,0,0,0.7,-0.4,0,0,0,-0.7,0,0,0.4,-1.1,0,0,0,0.8
1,2,18,0,0,0.2,0,0.3,0,0.7,0,0,0.2,0,0.9,-0.9,0,0,0,-0.9,0.1,-0.5,-0.2
1,2,19,0,1.2,0,0,0.1,0,0.7,0,0,0.2,-0.1,0.6,0.4,0,0,0,0.6,0,0.2,-0.8
1,2,20,-1,1,-0.8,0,0,0,0,0,0,0,0.3,0.3,0.4,-0.9,-1.1,0,0,-0.3,-0.7,0
1,2,21,-0.1,0,0,0.4,0,-0.8,0,-0.3,-0.8,-0.4,0,-0.3,0.5,0,0,0.1,0,-0.3,0,0
1,2,22,0.9,0,0,-0.7,-0.7,0,0,0,0,-0.2,0.4,0,0.4,-1,0,0.9,0,-0.8,0,-0.1
1,2,23,-0.1,-0.3,0,0,-0.9,0,0,1,0,0,0,-1.1,-1.1,-0.8,0,0,-0.4,-0.4,0.8,0
1,2,24,0.6,-1.1,0,0,0,0,-0.6,0.4,-0.3,0,0,-0.4,0,0,-0.5,0,0.9,-0.7,1.2,0
1,2,25,-0.8,1,0,0,0.9,0,-0.7,-0.9,0,0,-0.9,0,0,0,0.3,0,-1.2,0.2,0,-0.3
1,2,26,0,0,-0.2,0,0.2,0,-0.6,-0.4,0,0.3,-1.1,0.6,0,1.2,0,-0.3,0,0,0,0.9
1,2,27,0.2,-0.9,0.7,0,0,0,0.5,-0.7,0.8,0,0,0,0,0.7,0,-1,0,0,1,0.9
1,2,28,0,0,0,-0.9,-0.9,-0.3,0,0,-0.7,-0.3,0,0,-0.3,0.2,0,0,0.5,0,-1,0.6
1,2,29,0.3,0.9,1.2,0.5,1.1,0,0,0.1,-1.1,0,0,-0.5,0,-0.9,-0.8,0,0,0,0,0
1,2,30,0.4,0,0,0.7,1.1,0,0.4,0.9,-0.2,0.1,0.3,0,0,0,0,0,-0.6,0,-1,0
1,2,31,-0.3,1.2,1,0,0,1.1,-0.6,0,0,-0.2,0,-0.2,-0.3,0,0,0,0,0.2,0.9,0
1,2,32,0.6,0,1.1,0,-0.7,-1.1,0,-0.3,0.7,0,-0.5,-1.1,0,-0.6,0,0,0,0,0,0.2
1,2,33,-0.4,0,0,0,0.6,0,-1,0,0,0,0,1.1,0,0.4,0.3,-0.4,0.3,0,0.6,0.8
1,2,34,0,0,-0.8,-0.4,0,0,0,0.4,0,0,1,1.2,0.1,0.2,-0.5,0,0,0,-1,0.2
1,2,35,0,0,0.9,0,0,1.1,0,0,-0.2,0.3,0,-1.1,-0.4,0,-0.3,0.5,0.1,0,-1.1,0
1,2,36,-0.4,-1,-0.5,-0.9,0,1.1,0,0,0,0,1.1,-0.5,0,0,1.1,0,0.3,0,-0.5,0
1,2,37,0.6,0,0.9,0,0,0.6,1.1,-0.8,-1.2,0,1.1,0,0,0.5,0,0,0,1.1,0,0.6
1,2,38,0.3,0.3,0,0.9,0,-0.6,0,0,0,0,0.7,0,0,0,0.2,-0.8,0.1,0,-0.6,-0.6
1,2,39,0.9,0,0,0,-0.9,0,-0.7,-1.1,-1,-0.6,0.7,-0.3,0,0,0,0,1.1,0,0,-0.6
1,2,40,0,-0.3,1.1,0,0.5,0,-0.9,-1,-0.5,-0.3,0,0,0,-1,0,0,0,-0.3,-0.1,0
1,2,41,-0.5,0.9,1.1,0,0.3,0,0,0,0,0,-0.2,0.7,-0.8,-0.4,0,0,0,0,0.3,0.5
1,2,42,0.6,0,0.6,0.8,0,-0.3,0,-1,0,0.6,0,0,0,0.7,-0.9,-0.7,1.2,0,0,0
1,2,43,-0.7,0,0,0.2,0.5,0,1,-0.3,0,-0.9,0,0,0,0,-1.2,0.6,0.7,0,-0.6,0
1,2,44,0,-0.5,-1,-0.8,-1.1,0,0,0,-1.1,-0.3,0,-0.6,0,0,-0.8,0,-0.3,0,0,-0.4
1,2,45,0,0.7,1.1,0.3,0,0.4,-0.1,0,0,0,0,1.1,0,-0.4,0,0.4,-0.3,-0.2,0,0
1,2,46,0.4,0,0,-0.5,-0.9,0,-1,0.7,0,-0.9,0,0,0,0.3,1,0,0.3,0,0.2,0
1,2,47,0,0,0.8,-1.2,0.2,0,0,0,0,0.5,0.4,0.9,0,-0.3,-0.7,-1.1,0,0.5,0,0
1,2,48,1.1,0,0,-0.3,0,0,0.8,0,-0.6,0,-0.2,0,0,-0.4,0,0,0.7,-0.6,-0.3,-0.7
1,2,49,0.7,0,-0.8,-0.9,0,0,-0.5,0,0.8,0,0,0.5,-0.1,0.8,0,0,-0.9,0,0,0.3
1,2,50,0,0.8,0,0,-0.5,-0.4,1.1,0.5,1.1,0.8,0,0,-0.6,0,-0.3,0,0,0,0.6,0
1,2,51,-0.3,-0.5,0,-0.7,0,0.5,0,0,-1.1,0.3,0.2,0,0,0,0,1.2,-0.1,0,0,0.3
1,2,52,-0.5,-0.5,1.1,-0.5,0.3,0,0,0,-0.3,1,0,-1.2,0,0,0,0.3,0.1,0,0,0
1,2,53,-0.4,0,-0.7,0,0.3,0.6,0,0,0,0.4,0,0,-0.6,0.9,0,-1.1,-0.5,0,0,-0.6
1,2,54,0,-0.5,-0.7,0,1.1,0,0,-0.5,0,0.3,0,0,0,0.2,0.5,-0.7,0,0.1,-1.2,0
