"Alpha","NoiseScale","Threshold","TrueStatus","Predicted","Count"
1,6,1e-04,"Induced","Detected",1000
1,6,1e-04,"Induced","Not Detected",0
1,6,1e-04,"Not Induced","Detected",998
1,6,1e-04,"Not Induced","Not Detected",2
1,6,0.001,"Induced","Detected",992
1,6,0.001,"Induced","Not Detected",8
1,6,0.001,"Not Induced","Detected",993
1,6,0.001,"Not Induced","Not Detected",7
1,6,0.01,"Induced","Detected",950
1,6,0.01,"Induced","Not Detected",50
1,6,0.01,"Not Induced","Detected",890
1,6,0.01,"Not Induced","Not Detected",110
1,6,0.05,"Induced","Detected",765
1,6,0.05,"Induced","Not Detected",235
1,6,0.05,"Not Induced","Detected",480
1,6,0.05,"Not Induced","Not Detected",520
1,6,0.1,"Induced","Detected",541
1,6,0.1,"Induced","Not Detected",459
1,6,0.1,"Not Induced","Detected",192
1,6,0.1,"Not Induced","Not Detected",808
1,6,0.5,"Induced","Detected",0
1,6,0.5,"Induced","Not Detected",1000
1,6,0.5,"Not Induced","Detected",0
1,6,0.5,"Not Induced","Not Detected",1000
