"Alpha","Iteration","b1","b2","b3","b4","b5","b6","b7","b8","b9","b10","b11","b12","b13","b14"
0.5,1,0.59588868420149,0.544315852364676,0.448484517212271,0.354277593688562,0.44226773037758,0.373185567818997,0.402416589696982,0.162697105729731,0.38181499292772,NA,NA,NA,0.49362745097477,0.548021852787166
0.5,2,0.663651949199424,0.578934081789288,0.486085457300859,0.347903605349662,0.473674411294374,0.354210650419399,0.353758818476532,0.19178201866663,0.414803060231675,0.236161108844867,0.21937081702533,NA,NA,NA
0.5,3,0.579195520280851,0.562093730283569,0.484118100661782,0.334492423968125,0.43861127440113,0.389414253455031,0.319314247018666,0.172273602378108,NA,0.214156058023003,NA,0.551718448628558,0.526919794906926,NA
0.5,4,0.556224613309874,0.532252533994406,0.44225946753111,0.338526487513125,0.426074775331046,0.366466526491502,0.33202741434839,0.162590045614826,NA,NA,NA,0.533775214210422,0.584443362224831,0.538988432163938
0.5,5,0.666677337133099,0.671788312432438,0.593121186893318,0.382709325187457,0.377449862725605,0.433838322874534,0.38666864265098,0.200578884202084,0.392749895618314,NA,NA,NA,0.574796382682762,0.634698736573009
0.5,6,0.599695668227332,0.5701259778269,0.487561428062869,0.373387386318831,0.419461136515541,0.371978260982593,0.316339680564084,0.174346369764428,0.388808006079601,0.220809430673177,NA,0.628022083107745,NA,NA
0.5,7,0.687146284236757,0.62806985929208,0.533503503365024,0.360960743333372,0.378484990734299,0.35215593729344,0.355538127617027,0.185624918606202,0.366964074113835,NA,0.230336244300093,NA,NA,0.551838234701021
0.5,8,0.687679703806842,0.712825655992102,0.576881386732646,0.408656678884501,0.420301353093636,0.439441267476186,0.365583957572584,0.211783678035994,0.424101410232386,0.238275527773843,0.297433447267597,NA,NA,NA
0.5,9,0.618249838802921,0.566549186595188,0.475661987143464,0.386315091002334,0.458926841561885,0.423048268133239,0.344764186606624,0.18923790623043,NA,0.219630560909006,0.250252123188218,NA,0.547493235501558,NA
0.5,10,0.623131885508185,0.611805898916018,0.555132641545658,0.367687645536171,0.4201621182551,0.383542863291199,0.357090647246068,0.212337414293677,NA,NA,0.295996663907916,NA,0.671022515093141,1.15331564599053
