"Alpha","Iteration","SimSeed","SplitSeed","BestLambda","PenLogLik","PenCode","RefitLogLik","RefitCode"
0.5,1,1124,2000,0.0017099759466767,-135.513048776186,8,-134.490197227061,8
0.5,2,1125,2001,0.0753315095147334,-111.480854946554,8,-117.321037313824,8
0.5,3,1126,2002,0.0113496726515367,-118.610241066748,4,-128.104408605593,8
0.5,4,1127,2003,0.0292401773821287,-121.277952658763,4,-144.740296852034,8
0.5,5,1128,2004,0.0113496726515367,-114.479573341528,8,-107.691356276656,8
0.5,6,1129,2005,0.194076672367821,-152.897632378863,8,-125.986077467267,8
0.5,7,1130,2006,0.0753315095147334,-139.223925273935,8,-122.984535766302,8
0.5,8,1131,2007,0.0753315095147334,-104.836718071228,8,-99.7078276125406,8
0.5,9,1132,2008,0.00440541340134864,-113.325754599773,8,-115.457246621497,8
0.5,10,1133,2009,0.0292401773821287,-126.269401156897,8,-98.8332792130541,8
