"Alpha","Iteration","ASC2_male","ASC3_age","cost_income","prot25_child","prot50_child","invasive_child"
1,1,NA,NA,1.08317798237766,1.23155273967128,-0.659074228145687,NA
1,2,0.0973381754358154,0.900595067365145,NA,NA,NA,-0.620535854527823
1,3,NA,-1.26573245528576,-0.0593580764187601,NA,1.06893102362022,NA
1,4,-0.0579610176786194,0.195578407541709,-0.58191089830184,NA,NA,NA
1,5,1.54545077494382,NA,NA,-1.33197599818533,NA,-0.83827452354112
1,6,NA,-0.286114424639037,-0.522615747123963,NA,NA,-1.2612360527551
1,7,-0.336693729790443,0.331175047528674,-0.70814324920591,NA,NA,NA
1,8,-0.351084079948716,0.188931126109589,1.35691632074954,NA,NA,NA
1,9,0.660829127088668,NA,-1.02217356697256,NA,0.643217559932465,NA
1,10,-0.772041441456336,0.485575989353558,NA,0.415719331469134,NA,NA
