"Alpha","Iteration","Interaction","TrueBeta","Detected"
1,1,"ASC2_male",0,0
1,1,"ASC3_age",0.7,1
1,1,"cost_income",0.8,1
1,1,"prot25_child",1.2,0
1,1,"prot50_child",0,0
1,1,"invasive_child",0,0
1,2,"ASC2_male",0,0
1,2,"ASC3_age",1.2,1
1,2,"cost_income",0,0
1,2,"prot25_child",0.6,0
1,2,"prot50_child",1.1,0
1,2,"invasive_child",0,0
1,3,"ASC2_male",0,0
1,3,"ASC3_age",-0.9,1
1,3,"cost_income",0,0
1,3,"prot25_child",-0.4,0
1,3,"prot50_child",0.6,0
1,3,"invasive_child",0,0
1,4,"ASC2_male",0,0
1,4,"ASC3_age",0.4,0
1,4,"cost_income",-0.5,0
1,4,"prot25_child",1,0
1,4,"prot50_child",0,0
1,4,"invasive_child",0,0
1,5,"ASC2_male",1.1,1
1,5,"ASC3_age",0,0
1,5,"cost_income",0,0
1,5,"prot25_child",0,0
1,5,"prot50_child",-0.6,0
1,5,"invasive_child",-0.6,0
1,6,"ASC2_male",0.8,0
1,6,"ASC3_age",0,0
1,6,"cost_income",-0.8,1
1,6,"prot25_child",0,0
1,6,"prot50_child",0,0
1,6,"invasive_child",-0.9,0
1,7,"ASC2_male",0,0
1,7,"ASC3_age",0.5,1
1,7,"cost_income",-0.7,1
1,7,"prot25_child",0,0
1,7,"prot50_child",0,0
1,7,"invasive_child",0.5,0
1,8,"ASC2_male",-0.6,0
1,8,"ASC3_age",0,0
1,8,"cost_income",1.1,1
1,8,"prot25_child",-1,0
1,8,"prot50_child",0,0
1,8,"invasive_child",0,0
1,9,"ASC2_male",0.9,0
1,9,"ASC3_age",0.7,0
1,9,"cost_income",-1.1,1
1,9,"prot25_child",0,0
1,9,"prot50_child",0,0
1,9,"invasive_child",0,0
1,10,"ASC2_male",-0.8,0
1,10,"ASC3_age",0.5,1
1,10,"cost_income",0,0
1,10,"prot25_child",0.6,0
1,10,"prot50_child",0,0
1,10,"invasive_child",0,0
