"Alpha","Iteration","SimSeed","SplitSeed","BestLambda","PenLogLik","PenCode","RefitLogLik","RefitCode"
1,1,2124,3000,0.000663732883120058,-111.400684593324,4,-106.527534402925,8
1,2,2125,3001,0.0753315095147334,-126.469449338666,8,-116.069682643883,8
1,3,2126,3002,0.0753315095147334,-120.667938361214,4,-109.515292028345,8
1,4,2127,3003,0.0292401773821287,-135.003735173496,8,-116.053922494935,8
1,5,2128,3004,0.0113496726515367,-98.902204302461,8,-114.439802321489,8
1,6,2129,3005,0.0753315095147334,-114.83947884273,8,-108.326183654761,8
1,7,2130,3006,0.0753315095147334,-129.882063229274,8,-134.601311895364,8
1,8,2131,3007,0.0292401773821287,-128.588912322338,4,-125.87418358907,8
1,9,2132,3008,1e-04,-106.301683036322,8,-103.32942002493,8
1,10,2133,3009,0.0292401773821287,-116.066648720401,8,-118.773558299992,8
